"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m5","m20","m25","m30","m35","m40","m45","m50","m55","m65","f0","f10","f15","f20","f25","f35","f40","f50","f65","f70","sub_passenger"
5,-6.9,0,1.7,55,0,1,47.61,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,468.4626,672.8843,2482.0831,2662.0406,1612.2712,1395.7268,1181.4821,1250.4559,1103.368,1001.3734,549.8313,376.2878,174.7467,686.4385,3956.3774,2871.5283,1285.0733,940.7677,915.2747,562.8275,1391.9837,2597
1,-4,0,1.2,55,0,2,16,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.9497,744.7539,2511.324,2688.0373,1640.1081,1439.9264,1159.787,1312.3121,1166.6949,1056.6613,514.519,362.6595,168.4183,754.2041,3960.7385,2821.1083,1342.5714,1009.0316,943.9601,586.9194,1392.7046,1361
2,-1.4,0,1.5,44,0,0,1.96,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,517.4044,878.6157,2534.5863,2626.2692,1662.9091,1466.3247,1156.4928,1295.4737,1122.7146,1081.0416,551.6107,430.8532,200.087,863.6813,4061.4116,2868.6999,1418.3272,1043.2783,946.7855,593.273,1475.7007,1430
3,0.9,0,2.1,36,0,2,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,458.3968,857.3689,2710.3982,2693.7614,1720.4887,1510.9998,1224.5282,1293.3652,1154.8022,1075.5495,541.5435,371.4619,172.5057,1014.0743,4233.7315,2922.4458,1447.0067,1013.2716,1008.2463,622.8533,1309.883,1601
2,1.7,0,2.8,43,0,4,2.89,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,554.3713,776.4583,2856.6664,2721.8669,1717.156,1460.7442,1210.1774,1311.0648,1217.4117,1066.5346,542.9097,477.6398,221.8147,1117.9918,4305.2457,2941.0495,1398.3945,1056.2872,1044.9356,629.8864,1360.3603,1661
1,2,0,2.4,43,0,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,451.932,774.643,2913.5869,2828.2211,1716.8676,1520.8883,1277.6667,1334.6582,1235.0978,1092.2724,541.6243,405.9336,188.5142,1331.7675,4551.2047,2947.6832,1423.4154,1152.2567,1042.1027,617.1358,1314.2719,1746
0,2.2,0,2.2,48,0,6,4.84,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,518.499,862.0225,3048.8963,2861.655,1743.0036,1563.615,1279.4113,1273.3366,1182.228,1004.7152,503.9378,421.9394,195.9476,1509.9943,4622.7266,3001.5806,1458.7331,1115.5868,987.4939,633.3601,1320.5806,2078
2,2.3,0,2.4,49,0,7,5.29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,527.9048,1113.7642,3128.9349,2945.7799,1758.573,1541.2622,1264.2411,1286.7302,1200.9963,931.7262,509.5979,401.7319,186.5631,1773.7533,4704.3098,3014.8984,1330.0928,1060.8693,1036.4946,575.3131,1322.5985,2675
1,1.6,0,3,56,0,8,2.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,478.9472,1462.203,3566.9292,3144.4974,1832.8592,1580.843,1260.9816,1265.1751,1119.0981,862.4286,528.022,470.282,218.3977,2060.307,5077.701,3165.3341,1307.0461,1050.205,969.4632,591.3638,1304.803,3455
1,1.3,0,1.9,58,0,9,1.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,486.4166,1744.4481,4113.3908,3613.3573,2164.098,1658.274,1358.0766,1371.9742,1149.0736,922.902,510.3344,458.8049,213.0678,2215.459,5727.6594,3976.3613,1477.9913,1075.355,969.3633,613.0449,1259.3332,4126
1,1.3,0,2.6,65,0,9,1.69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,477.2858,1583.4592,4065.1125,3726.0957,2131.5452,1653.4535,1230.2638,1213.1551,1018.1303,864.4499,491.4713,461.8789,214.495,2102.8311,5850.444,4043.4377,1431.2488,979.0794,904.3468,628.8605,1230.6667,2725
0,1.2,0,1.8,68,0,9,1.44,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,497.7466,1381.3895,3789.5552,3683.61,2130.5112,1583.3262,1089.3896,1167.5954,952.5821,816.706,479.5888,466.3662,216.5793,1698.0712,5604.409,3963.7459,1380.969,899.9572,849.9934,628.7436,1215.3251,3443
