"y","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X7_8","X8_9","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m5","m25","m45","m50","m55","m65","m70","f10","f20","f30","f35","f40","f50","bus_passenger","sub_passenger"
0,-7,0,1.6,59,2,21,49,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.2313,3487.9432,965.8599,749.408,719.0592,390.0664,759.2225,140.6699,4798.7789,1884.7284,1176.7656,675.5828,687.0972,9,0
0,-7.2,0,1.3,61,3,30,51.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.1406,3518.3709,970.6791,742.6971,708.5429,397.9289,770.3506,142.7852,4752.0265,1880.5437,1212.531,685.3887,698.4787,35,10
0,-7.4,0,0.3,59,2,24,54.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.6551,3487.6214,1008.9347,762.1957,727.9901,409.5458,793.6769,135.3952,4772.6754,1910.9327,1226.4843,683.1681,712.693,64,565
0,-7.8,0,2.1,55,1,22,60.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.447,3454.61,996.9741,789.6308,774.9457,434.1096,819.6501,139.9815,4694.4118,1890.5477,1238.8622,683.3059,696.985,173,892
0,-7.7,0,2,54,0,21,59.29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.9352,3324.0483,1149.7792,895.0344,844.6391,484.3968,858.7583,163.6295,4636.7636,1902.6712,1310.0714,743.9412,772.7932,344,2435
1,-7.6,0,1.6,55,1,25,57.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644.902,2847.9055,1208.1979,1018.9741,913.6478,517.2983,869.331,174.5323,4270.768,1705.8362,1263.8432,925.8083,936.5414,712,4472
4,-6.9,0,1.7,55,1,23,47.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,672.8843,2662.0406,1250.4559,1103.368,1001.3734,549.8313,922.4688,174.7467,3956.3774,1671.153,1285.0733,940.7677,915.2747,484,2597
3,-4,0,1.2,55,2,20,16,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,744.7539,2688.0373,1312.3121,1166.6949,1056.6613,514.519,859.6573,168.4183,3960.7385,1675.3203,1342.5714,1009.0316,943.9601,332,1361
1,-1.4,0,1.5,44,0,32,1.96,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,878.6157,2626.2692,1295.4737,1122.7146,1081.0416,551.6107,906.669,200.087,4061.4116,1684.9537,1418.3272,1043.2783,946.7855,306,1430
0,0.9,0,2.1,36,2,38,0.81,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,857.3689,2693.7614,1293.3652,1154.8022,1075.5495,541.5435,926.741,172.5057,4233.7315,1625.2388,1447.0067,1013.2716,1008.2463,350,1601
0,1.7,0,2.8,43,4,35,2.89,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,776.4583,2721.8669,1311.0648,1217.4117,1066.5346,542.9097,956.0724,221.8147,4305.2457,1699.0385,1398.3945,1056.2872,1044.9356,407,1661
1,2,0,2.4,43,6,37,4,1,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,774.643,2828.2211,1334.6582,1235.0978,1092.2724,541.6243,924.2738,188.5142,4551.2047,1718.2784,1423.4154,1152.2567,1042.1027,409,1746
2,2.2,0,2.2,48,6,33,4.84,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,862.0225,2861.655,1273.3366,1182.228,1004.7152,503.9378,908.7911,195.9476,4622.7266,1732.9643,1458.7331,1115.5868,987.4939,475,2078
2,2.3,0,2.4,49,7,37,5.29,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1113.7642,2945.7799,1286.7302,1200.9963,931.7262,509.5979,924.7538,186.5631,4704.3098,1653.7936,1330.0928,1060.8693,1036.4946,576,2675
1,1.6,0,3,56,8,38,2.56,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1462.203,3144.4974,1265.1751,1119.0981,862.4286,528.022,918.6571,218.3977,5077.701,1699.6399,1307.0461,1050.205,969.4632,626,3455
2,1.3,0,1.9,58,9,31,1.69,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1744.4481,3613.3573,1371.9742,1149.0736,922.902,510.3344,933.1072,213.0678,5727.6594,2191.8572,1477.9913,1075.355,969.3633,939,4126
1,1.3,0,2.6,65,9,21,1.69,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1583.4592,3726.0957,1213.1551,1018.1303,864.4499,491.4713,876.745,214.495,5850.444,2116.7063,1431.2488,979.0794,904.3468,729,2725
1,1.2,0,1.8,68,9,22,1.44,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1381.3895,3683.61,1167.5954,952.5821,816.706,479.5888,848.6156,216.5793,5604.409,2055.64,1380.969,899.9572,849.9934,627,3443
0,1.1,0,2.8,74,9,29,1.21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,873.1528,3461.494,1045.0666,884.6691,776.5617,450.1245,876.2562,189.6668,5014.7695,1898.2962,1354.3022,788.8963,837.7435,723,3962
1,0.9,0,1.5,75,8,28,0.81,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,609.4041,3518.1665,1037.7303,845.0835,744.7992,441.0624,871.3815,187.1731,4899.2655,1918.2531,1286.4655,740.4864,792.4223,362,1166
2,0.6,0,1.3,75,9,27,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,470.2152,3416.9302,970.2347,749.8151,743.2161,424.8363,783.018,159.3929,4984.0756,1884.8524,1181.4152,711.5363,717.6586,203,319
