"y","past_return","bus_passenger","temp","sub_passenger","f45","m40","wet","cloud","m25","f55","rain","m30","m50","f15","m45","m35","f70","m60","f30","m70","m0","f35","f20","dust","sunny","m20","m65","f0","wind","X18_19","m55","m5","f50","f60","f65","f25","most_use","f40","semester","X9_10","X8_9","X7_8","temp.sqr"
0,1,251,1.4,1307,866.4332,973.1295,74,6,3096.9322,743.7875,0,1808.7333,842.0146,848.3786,1052.0858,1358.0544,1288.6323,529.9763,1666.6389,693.9417,569.5927,1245.0799,4098.2867,65,1,2553.8709,428.0588,536.9017,2.4,0,805.2971,774.3842,803.6848,646.2579,541.7407,3010.0309,18837.6272,881.6837,0,0,0,0,1.96
0,0,343,1.4,1489,935.6483,1029.1762,67,3,3235.9751,777.4661,0,1888.7752,869.0742,983.88,1044.7225,1387.0997,1370.8558,532.6915,1715.4634,755.5868,815.6734,1306.1918,4258.0445,59,1,2719.6056,408.0048,818.0814,3.6,0,808.177,808.9133,821.4102,658.2622,533.556,3205.7348,19716.8901,952.7356,0,0,0,0,1.96
1,0,367,2.4,1618,968.025,1062.4139,55,1,3349.7157,833.2126,0,1954.7321,883.5678,1331.7228,1137.1555,1497.7037,1245.7425,521.6277,1794.8592,756.9006,817.1264,1320.17,4481.4933,62,1,2882.892,408.1565,878.6592,3.5,0,804.7556,1002.3004,846.7926,654.9396,603.1208,3361.0543,20642.6203,992.1802,0,0,0,0,5.76
1,1,388,2.5,2054,954.9945,1109.1937,46,0,3486.664,823.7659,0,2063.8073,853.4059,1688.3151,1091.4846,1445.9994,1216.4534,519.9179,1830.8999,773.9112,864.6418,1303.2258,4712.0271,46,1,3120.7859,428.9827,939.6766,3.3,0,807.2075,1297.0896,846.7644,629.5059,596.9327,3529.1173,21492.5267,994.0372,0,0,0,0,6.25
0,0,465,2.5,2230,956.3247,1039.4907,45,0,3669.4364,864.8622,0,2082.8798,863.2513,2171.2288,1119.0707,1451.9756,1290.0584,554.4749,1920.2308,799.1847,777.8725,1317.1841,5063.1589,37,1,3374.3148,385.5774,1007.2311,3,0,853.5617,1600.7282,899.8927,651.7925,562.35,3639.9819,22519.1623,973.9869,0,0,0,0,6.25
3,1,464,1.2,2283,984.5096,1053.9673,45,0,3893.5444,836.6289,0,2206.5296,863.1784,2424.7573,1098.6465,1526.3762,1274.2889,585.6299,1925.9611,815.0186,741.337,1307.3212,5532.0384,35,1,3887.7327,408.6593,830.7737,2.7,0,859.1337,1846.4531,860.2495,648.4771,538.1844,3886.1084,24165.612,903.5491,0,0,0,0,1.44
0,0,406,-0.5,2227,958.3552,1041.9536,40,0,4015.2045,788.0574,0,2201.5787,889.1927,2460.2036,1046.2956,1517.6441,1177.0982,574.8783,1985.6483,833.3295,650.3535,1222.7737,5673.6481,34,0,4151.5567,423.7561,637.631,2.9,1,811.1428,2041.3181,852.6026,676.5605,577.2871,4022.5551,24790.6092,920.1534,0,0,0,0,0.25
2,0,371,-1.6,2152,902.1259,1012.3337,41,0,4121.813,775.9222,0,2198.7499,871.3076,2455.9861,1060.9019,1547.3232,1223.7716,552.3845,1914.8314,829.5648,648.1827,1315.8114,5723.259,28,0,4383.8353,427.686,546.9288,2,0,823.536,1931.3085,810.5095,648.6117,559.4414,3991.8154,25197.4386,870.9679,0,0,0,0,2.56
1,1,469,-2.6,3853,898.2168,964.321,46,0,3996.4277,800.1316,0,2047.8595,803.9074,1915.152,1073.7328,1432.3184,1219.6571,540.6714,1875.5813,788.7672,580.0914,1295.8298,5350.0875,27,0,3990.1439,408.2072,416.575,1.6,0,808.785,1639.9636,785.26,691.6397,551.7985,3893.08,23881.3281,809.7796,0,0,0,0,6.76
1,1,642,-2.9,4295,847.5671,942.9685,48,0,3656.7708,765.0819,0,1917.7334,841.3478,1058.0538,1028.2462,1363.413,1175.6434,547.0492,1843.4158,778.7249,558.5282,1194.3992,4760.5238,20,0,3147.1985,427.58,419.1941,2.7,0,811.96,906.2387,799.0475,666.741,551.3256,3619.6258,21503.0803,783.3676,0,0,0,0,8.41
0,4,290,-3.8,1183,827.7268,895.4819,49,0,3555.0641,737.9257,0,1884.5123,800.7484,767.9079,1039.9894,1342.2597,1165.0347,558.7961,1842.3086,793.1548,576.0977,1203.7896,4706.2114,33,0,2838.5561,434.2469,392.1807,2.1,0,763.2258,642.8577,799.6374,683.2331,564.4722,3542.5483,20915.2501,795.783,0,0,0,0,14.44
0,0,116,-4.4,296,705.2005,892.449,48,0,3454.4892,641.8205,0,1756.178,746.819,635.5786,983.0021,1322.5,1144.6911,527.5285,1853.8448,750.5164,454.4504,1167.7962,4753.8475,26,0,2702.1775,409.5073,302.5978,2.9,0,704.2859,412.8902,693.2796,613.1592,500.2525,3512.6591,20523.4923,711.2368,0,0,0,0,19.36
0,0,54,-5.2,0,710.2858,898.57,51,1,3483.7838,640.3266,0,1746.7593,731.7209,630.3021,991.3523,1301.7749,1090.2994,527.1577,1867.0894,760.0452,470.1789,1180.2811,4745.3337,27,0,2739.8139,412.3134,298.2608,1.6,0,702.5412,429.0108,685.142,623.4963,494.7284,3556.0776,20620.9137,689.1734,0,0,0,0,27.04
0,1,28,-5.8,0,723.9464,884.6295,52,0,3502.4904,647.3592,0,1760.4701,748.8319,650.0474,953.1996,1298.267,1091.5168,519.202,1899.451,768.6048,451.7634,1171.9583,4775.0704,29,0,2757.503,402.6155,288.5762,2.1,0,699.2396,434.1726,681.5611,636.0671,496.2779,3567.5378,20732.748,663.4489,0,0,0,0,33.64
0,0,21,-6.4,0,722.0812,901.255,56,5,3491.2571,640.2234,0,1754.8118,757.3202,671.1149,957.8903,1314.0017,1121.5832,507.8375,1887.8221,754.1195,464.014,1184.0139,4815.8483,25,0,2772.7609,407.4006,285.7222,1.7,0,683.5991,417.6675,681.0465,631.7989,502.6214,3579.102,20799.6178,662.989,0,0,0,0,40.96
0,1,9,-7,0,724.244,904.8807,59,2,3487.9432,632.5592,0,1754.4657,749.408,687.2134,965.8599,1299.2547,1092.3598,493.8672,1884.7284,759.2225,494.9173,1176.7656,4798.7789,21,0,2780.6139,390.0664,302.9079,1.6,0,719.0592,438.2313,687.0972,633.0392,504.5646,3579.6345,20762.1849,675.5828,0,0,0,0,49
0,0,35,-7.2,10,723.0045,894.8631,61,3,3518.3709,656.7043,0,1779.2022,742.6971,678.9458,970.6791,1301.6667,1133.1607,502.8778,1880.5437,770.3506,507.3804,1212.531,4752.0265,30,0,2803.1913,397.9289,307.4638,1.3,0,708.5429,446.1406,698.4787,631.4011,478.4149,3579.2221,20826.7544,685.3887,0,0,0,0,51.84
0,0,64,-7.4,565,709.2058,915.6993,59,2,3487.6214,666.4392,0,1789.8582,762.1957,675.2878,1008.9347,1292.5421,1113.8521,530.6742,1910.9327,793.6769,445.032,1226.4843,4772.6754,24,0,2795.1302,409.5458,291.5509,0.3,0,727.9901,440.6551,712.693,659.0093,483.2726,3560.5171,20835.7614,683.1681,0,0,0,0,54.76
0,0,173,-7.8,892,731.2445,926.5137,55,1,3454.61,722.7125,0,1791.7569,789.6308,674.2249,996.9741,1361.1127,1165.0858,536.3459,1890.5477,819.6501,460.1583,1238.8622,4694.4118,22,0,2756.9281,434.1096,301.4263,2.1,0,774.9457,459.447,696.985,642.1534,523.1746,3569.0227,20757.2521,683.3059,0,0,0,0,60.84
0,0,344,-7.7,2435,802.7161,1025.6266,54,0,3324.0483,779.1232,0,1801.4965,895.0344,658.9151,1149.7792,1453.0328,1267.5847,598.5327,1902.6712,858.7583,487.1381,1310.0714,4636.7636,21,0,2652.1441,484.3968,352.3485,2,0,844.6391,430.9352,772.7932,697.5645,534.9,3455.4277,20535.6556,743.9412,0,0,0,1,59.29
1,0,712,-7.6,4472,924.3551,1119.5196,55,1,2847.9055,843.9229,0,1648.7732,1018.9741,743.7441,1208.1979,1426.351,1304.7471,643.2286,1705.8362,869.331,436.3641,1263.8432,4270.768,25,0,2519.3405,517.2983,375.8258,1.6,0,913.6478,644.902,936.5414,728.622,533.7396,3084.5751,18767.3927,925.8083,0,0,1,0,57.76
4,0,484,-6.9,2597,1035.5256,1181.4821,55,1,2662.0406,895.3672,0,1612.2712,1103.368,686.4385,1250.4559,1395.7268,1391.9837,736.8433,1671.153,922.4688,468.4626,1285.0733,3956.3774,23,0,2482.0831,549.8313,376.2878,1.7,0,1001.3734,672.8843,915.2747,767.7525,562.8275,2871.5283,17936.2537,940.7677,0,1,0,0,47.61
3,0,332,-4,1361,1173.343,1159.787,55,2,2688.0373,910.2718,0,1640.1081,1166.6949,754.2041,1312.3121,1439.9264,1392.7046,746.2477,1675.3203,859.6573,509.9497,1342.5714,3960.7385,20,0,2511.324,514.519,362.6595,1.2,0,1056.6613,744.7539,943.9601,765.2355,586.9194,2821.1083,18079.1343,1009.0316,0,0,0,0,16
1,1,306,-1.4,1430,1104.404,1156.4928,44,0,2626.2692,919.8563,0,1662.9091,1122.7146,863.6813,1295.4737,1466.3247,1475.7007,717.0376,1684.9537,906.669,517.4044,1418.3272,4061.4116,32,0,2534.5863,551.6107,430.8532,1.5,0,1081.0416,878.6157,946.7855,776.9227,593.273,2868.6999,18323.4817,1043.2783,0,0,0,0,1.96
0,2,350,0.9,1601,1121.1977,1224.5282,36,2,2693.7614,921.7864,0,1720.4887,1154.8022,1014.0743,1293.3652,1510.9998,1309.883,739.0346,1625.2388,926.741,458.3968,1447.0067,4233.7315,38,0,2710.3982,541.5435,371.4619,2.1,0,1075.5495,857.3689,1008.2463,798.234,622.8533,2922.4458,18864.0709,1013.2716,0,0,0,0,0.81
0,0,407,1.7,1661,1156.7422,1210.1774,43,4,2721.8669,930.1997,0,1717.156,1217.4117,1117.9918,1311.0648,1460.7442,1360.3603,759.8518,1699.0385,956.0724,554.3713,1398.3945,4305.2457,35,1,2856.6664,542.9097,477.6398,2.8,0,1066.5346,776.4583,1044.9356,807.4246,629.8864,2941.0495,19100.1617,1056.2872,0,0,0,0,2.89
