"y","past_return","bus_passenger","sub_passenger","temp","X8_9","m50","wet","rain","m30","sunny","f25","m45","m25","m40","f45","f20","m35","X7_8","m20","m5","f55","m65","f70","wind","m70","f65","f0","f15","f30","m0","m55","m60","f35","f40","dust","f50","cloud","most_use","weekend","f60","semester","X17_18","temp.sqr","X9_10","X18_19"
2,3,290,1183,-3.8,0,800.7484,49,0,1884.5123,0,3542.5483,1039.9894,3555.0641,895.4819,827.7268,4706.2114,1342.2597,0,2838.5561,642.8577,737.9257,434.2469,1165.0347,2.1,793.1548,564.4722,392.1807,767.9079,1842.3086,576.0977,763.2258,558.7961,1203.7896,795.783,33,799.6374,0,20915.2501,1,683.2331,0,0,14.44,0,0
0,2,116,296,-4.4,0,746.819,48,0,1756.178,0,3512.6591,983.0021,3454.4892,892.449,705.2005,4753.8475,1322.5,0,2702.1775,412.8902,641.8205,409.5073,1144.6911,2.9,750.5164,500.2525,302.5978,635.5786,1853.8448,454.4504,704.2859,527.5285,1167.7962,711.2368,26,693.2796,0,20523.4923,1,613.1592,0,0,19.36,0,0
1,2,54,0,-5.2,0,731.7209,51,0,1746.7593,0,3556.0776,991.3523,3483.7838,898.57,710.2858,4745.3337,1301.7749,0,2739.8139,429.0108,640.3266,412.3134,1090.2994,1.6,760.0452,494.7284,298.2608,630.3021,1867.0894,470.1789,702.5412,527.1577,1180.2811,689.1734,27,685.142,1,20620.9137,0,623.4963,0,0,27.04,0,0
0,3,28,0,-5.8,0,748.8319,52,0,1760.4701,0,3567.5378,953.1996,3502.4904,884.6295,723.9464,4775.0704,1298.267,0,2757.503,434.1726,647.3592,402.6155,1091.5168,2.1,768.6048,496.2779,288.5762,650.0474,1899.451,451.7634,699.2396,519.202,1171.9583,663.4489,29,681.5611,0,20732.748,0,636.0671,0,0,33.64,0,0
0,0,21,0,-6.4,0,757.3202,56,0,1754.8118,0,3579.102,957.8903,3491.2571,901.255,722.0812,4815.8483,1314.0017,0,2772.7609,417.6675,640.2234,407.4006,1121.5832,1.7,754.1195,502.6214,285.7222,671.1149,1887.8221,464.014,683.5991,507.8375,1184.0139,662.989,25,681.0465,5,20799.6178,0,631.7989,0,0,40.96,0,0
1,1,9,0,-7,0,749.408,59,0,1754.4657,0,3579.6345,965.8599,3487.9432,904.8807,724.244,4798.7789,1299.2547,0,2780.6139,438.2313,632.5592,390.0664,1092.3598,1.6,759.2225,504.5646,302.9079,687.2134,1884.7284,494.9173,719.0592,493.8672,1176.7656,675.5828,21,687.0972,2,20762.1849,0,633.0392,0,0,49,0,0
1,0,35,10,-7.2,0,742.6971,61,0,1779.2022,0,3579.2221,970.6791,3518.3709,894.8631,723.0045,4752.0265,1301.6667,0,2803.1913,446.1406,656.7043,397.9289,1133.1607,1.3,770.3506,478.4149,307.4638,678.9458,1880.5437,507.3804,708.5429,502.8778,1212.531,685.3887,30,698.4787,3,20826.7544,0,631.4011,0,0,51.84,0,0
0,0,64,565,-7.4,0,762.1957,59,0,1789.8582,0,3560.5171,1008.9347,3487.6214,915.6993,709.2058,4772.6754,1292.5421,0,2795.1302,440.6551,666.4392,409.5458,1113.8521,0.3,793.6769,483.2726,291.5509,675.2878,1910.9327,445.032,727.9901,530.6742,1226.4843,683.1681,24,712.693,2,20835.7614,0,659.0093,0,0,54.76,0,0
3,0,173,892,-7.8,0,789.6308,55,0,1791.7569,0,3569.0227,996.9741,3454.61,926.5137,731.2445,4694.4118,1361.1127,0,2756.9281,459.447,722.7125,434.1096,1165.0858,2.1,819.6501,523.1746,301.4263,674.2249,1890.5477,460.1583,774.9457,536.3459,1238.8622,683.3059,22,696.985,1,20757.2521,0,642.1534,0,0,60.84,0,0
3,1,344,2435,-7.7,0,895.0344,54,0,1801.4965,0,3455.4277,1149.7792,3324.0483,1025.6266,802.7161,4636.7636,1453.0328,1,2652.1441,430.9352,779.1232,484.3968,1267.5847,2,858.7583,534.9,352.3485,658.9151,1902.6712,487.1381,844.6391,598.5327,1310.0714,743.9412,21,772.7932,0,20535.6556,0,697.5645,0,0,59.29,0,0
9,2,712,4472,-7.6,1,1018.9741,55,0,1648.7732,0,3084.5751,1208.1979,2847.9055,1119.5196,924.3551,4270.768,1426.351,0,2519.3405,644.902,843.9229,517.2983,1304.7471,1.6,869.331,533.7396,375.8258,743.7441,1705.8362,436.3641,913.6478,643.2286,1263.8432,925.8083,25,936.5414,1,18767.3927,0,728.622,0,0,57.76,0,0
3,4,484,2597,-6.9,0,1103.368,55,0,1612.2712,0,2871.5283,1250.4559,2662.0406,1181.4821,1035.5256,3956.3774,1395.7268,0,2482.0831,672.8843,895.3672,549.8313,1391.9837,1.7,922.4688,562.8275,376.2878,686.4385,1671.153,468.4626,1001.3734,736.8433,1285.0733,940.7677,23,915.2747,1,17936.2537,0,767.7525,0,0,47.61,1,0
1,7,332,1361,-4,0,1166.6949,55,0,1640.1081,0,2821.1083,1312.3121,2688.0373,1159.787,1173.343,3960.7385,1439.9264,0,2511.324,744.7539,910.2718,514.519,1392.7046,1.2,859.6573,586.9194,362.6595,754.2041,1675.3203,509.9497,1056.6613,746.2477,1342.5714,1009.0316,20,943.9601,2,18079.1343,0,765.2355,0,0,16,0,0
3,1,306,1430,-1.4,0,1122.7146,44,0,1662.9091,0,2868.6999,1295.4737,2626.2692,1156.4928,1104.404,4061.4116,1466.3247,0,2534.5863,878.6157,919.8563,551.6107,1475.7007,1.5,906.669,593.273,430.8532,863.6813,1684.9537,517.4044,1081.0416,717.0376,1418.3272,1043.2783,32,946.7855,0,18323.4817,0,776.9227,0,0,1.96,0,0
1,1,350,1601,0.9,0,1154.8022,36,0,1720.4887,0,2922.4458,1293.3652,2693.7614,1224.5282,1121.1977,4233.7315,1510.9998,0,2710.3982,857.3689,921.7864,541.5435,1309.883,2.1,926.741,622.8533,371.4619,1014.0743,1625.2388,458.3968,1075.5495,739.0346,1447.0067,1013.2716,38,1008.2463,2,18864.0709,0,798.234,0,0,0.81,0,0
4,2,407,1661,1.7,0,1217.4117,43,0,1717.156,1,2941.0495,1311.0648,2721.8669,1210.1774,1156.7422,4305.2457,1460.7442,0,2856.6664,776.4583,930.1997,542.9097,1360.3603,2.8,956.0724,629.8864,477.6398,1117.9918,1699.0385,554.3713,1066.5346,759.8518,1398.3945,1056.2872,35,1044.9356,4,19100.1617,0,807.4246,0,0,2.89,0,0
1,2,409,1746,2,0,1235.0978,43,0,1716.8676,1,2947.6832,1334.6582,2828.2211,1277.6667,1176.4602,4551.2047,1520.8883,0,2913.5869,774.643,1000.6554,541.6243,1314.2719,2.4,924.2738,617.1358,405.9336,1331.7675,1718.2784,451.932,1092.2724,737.439,1423.4154,1152.2567,37,1042.1027,6,19620.1456,0,841.7481,0,0,4,0,0
0,1,475,2078,2.2,0,1182.228,48,0,1743.0036,1,3001.5806,1273.3366,2861.655,1279.4113,1213.4825,4622.7266,1563.615,0,3048.8963,862.0225,964.4287,503.9378,1320.5806,2.2,908.7911,633.3601,421.9394,1509.9943,1732.9643,518.499,1004.7152,739.1344,1458.7331,1115.5868,33,987.4939,6,20033.1745,0,844.4154,0,0,4.84,0,0
3,2,576,2675,2.3,0,1200.9963,49,0,1758.573,1,3014.8984,1286.7302,2945.7799,1264.2411,1165.018,4704.3098,1541.2622,0,3128.9349,1113.7642,913.6478,509.5979,1322.5985,2.4,924.7538,575.3131,401.7319,1773.7533,1653.7936,527.9048,931.7262,703.575,1330.0928,1060.8693,37,1036.4946,7,20077.6446,0,837.3723,0,0,5.29,0,0
1,1,626,3455,1.6,0,1119.0981,56,0,1832.8592,1,3165.3341,1265.1751,3144.4974,1260.9816,1125.9201,5077.701,1580.843,0,3566.9292,1462.203,912.9846,528.022,1304.803,3,918.6571,591.3638,470.282,2060.307,1699.6399,478.9472,862.4286,662.4177,1307.0461,1050.205,38,969.4632,8,21374.8499,0,794.8837,0,1,2.56,0,0
9,1,939,4126,1.3,0,1149.0736,58,0,2164.098,1,3976.3613,1371.9742,3613.3573,1358.0766,1187.7941,5727.6594,1658.274,0,4113.3908,1744.4481,952.0257,510.3344,1259.3332,1.9,933.1072,613.0449,458.8049,2215.459,2191.8572,486.4166,922.902,717.9191,1477.9913,1075.355,31,969.3633,9,24922.9893,0,790.7419,0,0,1.69,0,1
4,12,729,2725,1.3,0,1018.1303,65,0,2131.5452,1,4043.4377,1213.1551,3726.0957,1230.2638,1112.8779,5850.444,1653.4535,0,4065.1125,1583.4592,909.9748,491.4713,1230.6667,2.6,876.745,628.8605,461.8789,2102.8311,2116.7063,477.2858,864.4499,650.9527,1431.2488,979.0794,21,904.3468,9,25018.0437,0,784.2587,0,0,1.69,0,0
3,3,627,3443,1.2,0,952.5821,68,0,2130.5112,1,3963.7459,1167.5954,3683.61,1089.3896,1040.8249,5604.409,1583.3262,0,3789.5552,1381.3895,842.1525,479.5888,1215.3251,1.8,848.6156,628.7436,466.3662,1698.0712,2055.64,497.7466,816.706,590.3687,1380.969,899.9572,22,849.9934,9,24191.7665,0,732.2397,0,0,1.44,0,0
2,2,723,3962,1.1,0,884.6691,74,0,1987.1486,1,3702.9449,1045.0666,3461.494,994.5742,999.9461,5014.7695,1515.8027,0,3060.5916,873.1528,787.7225,450.1245,1199.8616,2.8,876.2562,618.7889,408.4166,1002.9422,1898.2962,531.9859,776.5617,607.2116,1354.3022,788.8963,29,837.7435,9,21995.3497,0,753.9444,0,0,1.21,0,0
