"y","past_return","bus_passenger","temp","sub_passenger","m5","m70","m45","m65","wet","m20","f15","f35","f50","f55","m60","f0","m35","f70","m0","f40","dust","f65","m50","m55","m30","m40","m25","wind","sunny","f45","f20","f60","f30","f25","most_use","X8_9","cloud","rain","semester","temp.sqr"
1,0,343,1.4,1489,808.9133,755.5868,1044.7225,408.0048,67,2719.6056,983.88,1306.1918,821.4102,777.4661,532.6915,818.0814,1387.0997,1370.8558,815.6734,952.7356,59,533.556,869.0742,808.177,1888.7752,1029.1762,3235.9751,3.6,1,935.6483,4258.0445,658.2622,1715.4634,3205.7348,19716.8901,0,3,0,0,1.96
0,2,367,2.4,1618,1002.3004,756.9006,1137.1555,408.1565,55,2882.892,1331.7228,1320.17,846.7926,833.2126,521.6277,878.6592,1497.7037,1245.7425,817.1264,992.1802,62,603.1208,883.5678,804.7556,1954.7321,1062.4139,3349.7157,3.5,1,968.025,4481.4933,654.9396,1794.8592,3361.0543,20642.6203,0,1,0,0,5.76
0,0,388,2.5,2054,1297.0896,773.9112,1091.4846,428.9827,46,3120.7859,1688.3151,1303.2258,846.7644,823.7659,519.9179,939.6766,1445.9994,1216.4534,864.6418,994.0372,46,596.9327,853.4059,807.2075,2063.8073,1109.1937,3486.664,3.3,1,954.9945,4712.0271,629.5059,1830.8999,3529.1173,21492.5267,0,0,0,0,6.25
1,0,465,2.5,2230,1600.7282,799.1847,1119.0707,385.5774,45,3374.3148,2171.2288,1317.1841,899.8927,864.8622,554.4749,1007.2311,1451.9756,1290.0584,777.8725,973.9869,37,562.35,863.2513,853.5617,2082.8798,1039.4907,3669.4364,3,1,956.3247,5063.1589,651.7925,1920.2308,3639.9819,22519.1623,0,0,0,0,6.25
2,1,464,1.2,2283,1846.4531,815.0186,1098.6465,408.6593,45,3887.7327,2424.7573,1307.3212,860.2495,836.6289,585.6299,830.7737,1526.3762,1274.2889,741.337,903.5491,35,538.1844,863.1784,859.1337,2206.5296,1053.9673,3893.5444,2.7,1,984.5096,5532.0384,648.4771,1925.9611,3886.1084,24165.612,0,0,0,0,1.44
0,1,406,-0.5,2227,2041.3181,833.3295,1046.2956,423.7561,40,4151.5567,2460.2036,1222.7737,852.6026,788.0574,574.8783,637.631,1517.6441,1177.0982,650.3535,920.1534,34,577.2871,889.1927,811.1428,2201.5787,1041.9536,4015.2045,2.9,0,958.3552,5673.6481,676.5605,1985.6483,4022.5551,24790.6092,0,0,0,0,0.25
0,0,371,-1.6,2152,1931.3085,829.5648,1060.9019,427.686,41,4383.8353,2455.9861,1315.8114,810.5095,775.9222,552.3845,546.9288,1547.3232,1223.7716,648.1827,870.9679,28,559.4414,871.3076,823.536,2198.7499,1012.3337,4121.813,2,0,902.1259,5723.259,648.6117,1914.8314,3991.8154,25197.4386,0,0,0,0,2.56
0,0,469,-2.6,3853,1639.9636,788.7672,1073.7328,408.2072,46,3990.1439,1915.152,1295.8298,785.26,800.1316,540.6714,416.575,1432.3184,1219.6571,580.0914,809.7796,27,551.7985,803.9074,808.785,2047.8595,964.321,3996.4277,1.6,0,898.2168,5350.0875,691.6397,1875.5813,3893.08,23881.3281,0,0,0,0,6.76
0,0,642,-2.9,4295,906.2387,778.7249,1028.2462,427.58,48,3147.1985,1058.0538,1194.3992,799.0475,765.0819,547.0492,419.1941,1363.413,1175.6434,558.5282,783.3676,20,551.3256,841.3478,811.96,1917.7334,942.9685,3656.7708,2.7,0,847.5671,4760.5238,666.741,1843.4158,3619.6258,21503.0803,0,0,0,0,8.41
0,1,290,-3.8,1183,642.8577,793.1548,1039.9894,434.2469,49,2838.5561,767.9079,1203.7896,799.6374,737.9257,558.7961,392.1807,1342.2597,1165.0347,576.0977,795.783,33,564.4722,800.7484,763.2258,1884.5123,895.4819,3555.0641,2.1,0,827.7268,4706.2114,683.2331,1842.3086,3542.5483,20915.2501,0,0,0,0,14.44
