"y","station_dist","station_type","temp","rain","wet","cloud","temp.sqr","semester","past_return","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m5","m25","m30","m40","m50","m55","m65","m70","f10","f25","f35","f55","f70","bus_passenger","m0","f65"
0,246,0,23.8,0,33,2,566.44,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1390.6868,791.1954,888.0191,1162.2014,1038.2863,907.4387,637.2099,1195.1519,2173.2952,927.2557,1383.8558,1398.1288,1808.7188,192,2301.8123,876.5034
3,7,0,8.5,0,36,0,72.25,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,590.3749,751.6088,678.9979,714.2943,662.4644,584.3106,427.2484,787.703,523.534,900.4661,909.4234,948.3358,1212.0352,325,982.0936,591.1198
1,118,0,-5,0,45,1,25,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,371.962,1231.7753,956.1392,703.2186,710.4273,613.7595,340.5288,666.8079,163.4141,1221.5626,866.8645,637.4976,1092.4424,352,410.9064,433.8595
6,85,0,12.3,0,26,0,151.29,1,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,464.4271,1096.6611,1048.8087,794.3704,736.2367,699.7806,329.7017,613.7209,246.0525,1140.1408,968.349,724.3008,1045.6658,366,704.0776,480.7448
1,91,0,19.6,0,28,8,384.16,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,562.8471,680.8351,782.1312,844.1036,656.0379,813.3915,409.829,964.9081,454.521,712.9864,943.7547,869.307,1480.9647,314,732.3308,621.2646
2,10,0,30.7,0,44,2,942.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,354.3129,747.6391,686.0663,574.3251,543.8154,590.5199,317.9826,642.9111,409.7207,883.4456,806.782,633.4401,1054.5699,448,453.8024,435.6075
3,88,0,22.8,0,52,1,519.84,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,387.8248,950.2754,995.6397,1024.7501,527.6822,565.6548,310.637,714.0988,453.4749,1149.5978,1622.6242,671.228,1094.4997,312,1160.3588,477.1282
0,38,1,-10.7,0,58,0,114.49,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,661.504,774.423,765.5765,908.5539,767.5776,984.0858,468.8192,1014.3308,523.1541,995.3723,963.2041,999.1917,1517.5577,22,688.7177,674.5712
3,43,0,22.6,0,85,5,510.76,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,910.389,971.8384,916.3103,1064.5952,1207.8549,1080.3611,609.7623,1013.1489,735.8609,1076.3046,1146.2778,1198.091,1631.5753,2,961.1724,666.7919
1,88,0,26,0,72,8,676,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1243.1728,612.6411,593.9248,583.228,603.6916,740.2885,467.5669,1157.9762,524.5815,679.9204,875.6018,961.1367,1823.782,185,1307.3131,641.8949
10,37,0,16.9,0,66,7,285.61,1,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1537.3234,2904.7356,1704.4553,1266.3523,1051.1118,1104.2556,521.0347,905.2329,362.6051,3114.0358,1450.1138,963.0231,1280.0484,524,794.6383,624.5799
1,248,0,12.7,0,40,0,161.29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,532.3403,543.307,613.6678,640.8314,655.6024,619.9741,415.4785,849.3923,451.9016,617.9732,811.8745,738.8867,1099.1083,292,1058.7723,479.9045
