"y","past_return","sub_passenger","station_dist","bus_passenger","temp","m50","m25","m30","m35","f60","m20","m5","station_type","f50","f30","f70","f0","f15","f45","m40","m55","m45","f20","m0","m70","m60","wind","f55","f40","f65","f25","wet","f35","dust","m65","most_use","cloud","sunny","X16_17","temp.sqr","X8_9","X7_8","rain","semester","X19_20","X12_13"
4,6,0,83,72,25.8,780.0309,3552.2843,1937.1994,1332.8307,622.1931,3605.7481,655.7989,0,739.3922,1909.8735,1247.8359,458.3152,928.4014,777.2448,930.9179,739.151,875.0773,5563.28,470.684,798.0383,541.0628,1.4,668.3947,751.4547,475.6525,3972.8639,77,1262.2925,10,417.71,23136.3724,3,1,0,665.64,0,0,0,0,0,0
9,9,3261,116,631,19.3,950.9194,4055.3679,2074.4859,1647.3566,728.3113,4767.9581,1498.1393,1,915.1569,2051.6249,1345.7939,392.8982,1821.7803,875.8103,1140.8606,898.0076,1255.865,7013.1238,511.6911,955.3327,649.2326,2.7,791.7834,918.1512,589.1802,4448.2436,65,1430.6037,59,473.8886,27488.7645,3,1,0,372.49,0,0,0,1,0,0
0,5,2780,113,892,27.1,1046.4075,3775.6865,1992.6625,1742.1269,790.4833,4565.4168,1357.4267,0,981.4715,2127.8057,1347.9152,406.1254,1850.9453,1027.6157,1290.9864,840.133,1214.9757,6657.9551,453.9991,869.3385,656.4859,5.6,858.9726,1049.6929,583.506,4224.9729,83,1493.3233,19,463.5016,26579.9497,10,1,0,734.41,0,0,0,0,1,0
1,0,945,611,178,5.4,788.3984,3657.8853,1875.7586,1318.847,647.616,3607.5269,859.5857,0,769.4579,1903.4761,1220.1496,364.835,1094.576,731.6879,871.0597,737.9214,929.0885,5677.2366,398.0729,793.1776,521.0214,0.7,634.8649,725.0075,532.4756,3734.9887,81,1191.2186,52,452.896,22966.9378,0,0,0,29.16,0,0,0,1,0,0
24,16,5045,116,896,9,948.8438,3155.5023,1695.6545,1408.2856,719.0344,3746.0992,994.2361,1,929.3454,1665.6462,1374.0614,365.5669,1155.3464,1057.9205,1051.4849,956.9297,1239.3006,5844.8259,519.3258,809.6997,657.2582,0.9,792.299,977.8795,589.3387,3561.6382,92,1361.3636,55,442.5578,22439.0155,0,0,0,81,1,0,0,1,0,0
1,2,4,37,173,22.3,743.4649,4348.4875,2121.6018,1502.858,612.4003,4420.7022,788.9616,0,783.5531,1870.4519,1133.2231,349.6234,1209.3244,769.4648,939.434,766.3213,947.3157,6098.2315,421.3526,754.1215,507.9595,2.8,678.5716,773.8091,458.091,4093.1609,96,1254.5622,10,381.6633,25710.056,10,0,0,497.29,0,0,1.1,0,0,0
8,2,4082,37,888,3.8,1115.1386,3543.9906,2071.7132,1760.8831,779.7125,4102.1777,1534.5418,0,971.7442,2126.621,1321.9867,463.7181,2212.525,1027.6343,1259.8491,1016.0674,1363.7846,5948.0392,466.9907,915.1583,723.712,4.5,951.3065,1137.5705,550.5538,4144.5291,68,1603.8722,42,489.1888,25301.8261,9,1,0,14.44,0,0,0,0,0,0
0,0,794,113,169,-13.3,822.3231,3621.0151,1874.5567,1391.9404,623.3159,3474.3373,686.6044,0,834.8478,1946.9157,1189.129,344.5301,879.1885,831.4662,872.8379,845.4814,1018.8743,5483.4811,391.3439,820.2868,559.3736,2.6,693.853,677.4113,503.3485,3848.0745,64,1294.0604,21,424.9105,22934.3812,0,0,0,176.89,0,1,0,0,0,0
0,1,0,37,10,3.5,727.0044,3557.4093,1809.4586,1213.6339,595.0969,3218.0804,667.43,0,703.8658,1924.8831,1155.0998,280.611,1061.7484,740.2734,882.9264,734.8339,1039.5843,5363.4623,463.4999,850.2742,491.2576,1.6,667.1809,757.1842,487.037,3745.0383,83,1141.3234,43,372.2636,21973.2893,8,1,0,12.25,0,0,0,0,0,0
0,0,2629,546,670,25.9,971.0103,3751.4387,1941.7568,1519.4263,724.5669,4163.3567,1012.9012,0,922.1391,2044.443,1344.7399,517.7075,1310.2499,911.0729,1129.3918,808.8848,1086.2684,5941.7779,548.6961,864.3732,570.5671,2.1,815.8761,846.4642,557.3867,4102.9833,96,1384.7365,19,462.186,24849.9192,10,0,0,670.81,0,0,1.9,0,0,0
