"y","sub_passenger","past_return","bus_passenger","temp","sunny","f0","f45","wet","f35","dust","m25","m0","m70","m55","f25","m45","m65","f40","m30","m35","m50","m40","f70","f65","m60","f50","f15","f60","wind","f55","m5","X18_19","m20","f30","cloud","f20","most_use","rain","weekend","temp.sqr","X7_8","X5_6","X8_9","X9_10","X12_13","X15_16","semester"
0,2435,0,344,-7.7,0,352.3485,802.7161,54,1310.0714,21,3324.0483,487.1381,858.7583,844.6391,3455.4277,1149.7792,484.3968,743.9412,1801.4965,1453.0328,895.0344,1025.6266,1267.5847,534.9,598.5327,772.7932,658.9151,697.5645,2,779.1232,430.9352,0,2652.1441,1902.6712,0,4636.7636,20535.6556,0,0,59.29,1,0,0,0,0,0,0
2,4472,1,712,-7.6,0,375.8258,924.3551,55,1263.8432,25,2847.9055,436.3641,869.331,913.6478,3084.5751,1208.1979,517.2983,925.8083,1648.7732,1426.351,1018.9741,1119.5196,1304.7471,533.7396,643.2286,936.5414,743.7441,728.622,1.6,843.9229,644.902,0,2519.3405,1705.8362,1,4270.768,18767.3927,0,0,57.76,0,0,1,0,0,0,0
2,2597,4,484,-6.9,0,376.2878,1035.5256,55,1285.0733,23,2662.0406,468.4626,922.4688,1001.3734,2871.5283,1250.4559,549.8313,940.7677,1612.2712,1395.7268,1103.368,1181.4821,1391.9837,562.8275,736.8433,915.2747,686.4385,767.7525,1.7,895.3672,672.8843,0,2482.0831,1671.153,1,3956.3774,17936.2537,0,0,47.61,0,0,0,1,0,0,0
0,1361,1,332,-4,0,362.6595,1173.343,55,1342.5714,20,2688.0373,509.9497,859.6573,1056.6613,2821.1083,1312.3121,514.519,1009.0316,1640.1081,1439.9264,1166.6949,1159.787,1392.7046,586.9194,746.2477,943.9601,754.2041,765.2355,1.2,910.2718,744.7539,0,2511.324,1675.3203,2,3960.7385,18079.1343,0,0,16,0,0,0,0,0,0,0
0,1430,0,306,-1.4,0,430.8532,1104.404,44,1418.3272,32,2626.2692,517.4044,906.669,1081.0416,2868.6999,1295.4737,551.6107,1043.2783,1662.9091,1466.3247,1122.7146,1156.4928,1475.7007,593.273,717.0376,946.7855,863.6813,776.9227,1.5,919.8563,878.6157,0,2534.5863,1684.9537,0,4061.4116,18323.4817,0,0,1.96,0,0,0,0,0,0,0
0,1601,0,350,0.9,0,371.4619,1121.1977,36,1447.0067,38,2693.7614,458.3968,926.741,1075.5495,2922.4458,1293.3652,541.5435,1013.2716,1720.4887,1510.9998,1154.8022,1224.5282,1309.883,622.8533,739.0346,1008.2463,1014.0743,798.234,2.1,921.7864,857.3689,0,2710.3982,1625.2388,2,4233.7315,18864.0709,0,0,0.81,0,0,0,0,1,0,0
0,1661,0,407,1.7,1,477.6398,1156.7422,43,1398.3945,35,2721.8669,554.3713,956.0724,1066.5346,2941.0495,1311.0648,542.9097,1056.2872,1717.156,1460.7442,1217.4117,1210.1774,1360.3603,629.8864,759.8518,1044.9356,1117.9918,807.4246,2.8,930.1997,776.4583,0,2856.6664,1699.0385,4,4305.2457,19100.1617,0,0,2.89,0,0,0,0,0,0,0
1,1746,0,409,2,1,405.9336,1176.4602,43,1423.4154,37,2828.2211,451.932,924.2738,1092.2724,2947.6832,1334.6582,541.6243,1152.2567,1716.8676,1520.8883,1235.0978,1277.6667,1314.2719,617.1358,737.439,1042.1027,1331.7675,841.7481,2.4,1000.6554,774.643,0,2913.5869,1718.2784,6,4551.2047,19620.1456,0,0,4,0,0,0,0,0,0,0
0,2078,2,475,2.2,1,421.9394,1213.4825,48,1458.7331,33,2861.655,518.499,908.7911,1004.7152,3001.5806,1273.3366,503.9378,1115.5868,1743.0036,1563.615,1182.228,1279.4113,1320.5806,633.3601,739.1344,987.4939,1509.9943,844.4154,2.2,964.4287,862.0225,0,3048.8963,1732.9643,6,4622.7266,20033.1745,0,0,4.84,0,0,0,0,0,1,0
5,2675,0,576,2.3,1,401.7319,1165.018,49,1330.0928,37,2945.7799,527.9048,924.7538,931.7262,3014.8984,1286.7302,509.5979,1060.8693,1758.573,1541.2622,1200.9963,1264.2411,1322.5985,575.3131,703.575,1036.4946,1773.7533,837.3723,2.4,913.6478,1113.7642,0,3128.9349,1653.7936,7,4704.3098,20077.6446,0,0,5.29,0,0,0,0,0,0,0
1,3455,3,626,1.6,1,470.282,1125.9201,56,1307.0461,38,3144.4974,478.9472,918.6571,862.4286,3165.3341,1265.1751,528.022,1050.205,1832.8592,1580.843,1119.0981,1260.9816,1304.803,591.3638,662.4177,969.4632,2060.307,794.8837,3,912.9846,1462.203,0,3566.9292,1699.6399,8,5077.701,21374.8499,0,0,2.56,0,0,0,0,0,0,0
2,4126,1,939,1.3,1,458.8049,1187.7941,58,1477.9913,31,3613.3573,486.4166,933.1072,922.902,3976.3613,1371.9742,510.3344,1075.355,2164.098,1658.274,1149.0736,1358.0766,1259.3332,613.0449,717.9191,969.3633,2215.459,790.7419,1.9,952.0257,1744.4481,1,4113.3908,2191.8572,9,5727.6594,24922.9893,0,0,1.69,0,0,0,0,0,0,0
1,2725,3,729,1.3,1,461.8789,1112.8779,65,1431.2488,21,3726.0957,477.2858,876.745,864.4499,4043.4377,1213.1551,491.4713,979.0794,2131.5452,1653.4535,1018.1303,1230.2638,1230.6667,628.8605,650.9527,904.3468,2102.8311,784.2587,2.6,909.9748,1583.4592,0,4065.1125,2116.7063,9,5850.444,25018.0437,0,0,1.69,0,0,0,0,0,0,0
