"y","temp","rain","wet","cloud","temp.sqr","sunny","semester","past_return","X4_5","X5_6","X6_7","X7_8","X8_9","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m25","m35","m45","m55","m65","m70","f20","f30","bus_passenger","sub_passenger"
0,-6.6,0,49,0,43.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,219.4463,3435.3492,1215.3463,958.5225,687.2364,409.597,781.3408,4936.599,1950.5218,19,0
0,-7,0,52,0,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,230.5291,3440.3751,1226.9726,960.3698,688.3981,398.82,776.3321,4943.5125,1935.9849,13,0
0,-7.2,0,52,0,51.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226.7273,3451.7501,1211.9458,974.0201,712.1095,407.5604,777.9506,4987.5214,1945.8215,37,12
1,-7.3,0,54,0,53.29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,225.9366,3478.0602,1239.7007,999.5204,711.5819,413.3529,792.1598,4976.4909,1980.2451,73,533
0,-7.6,0,55,6,57.76,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,210.6708,3449.5003,1245.02,990.0505,791.3077,425.3057,812.1216,4927.9203,1947.9,165,879
2,-7.7,0,57,7,59.29,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.8216,3343.4782,1409.0259,1145.8054,825.7137,446.152,799.4512,4822.5069,1900.0812,409,2390
2,-7.5,0,58,7,56.25,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,185.6437,2930.9373,1373.2947,1093.0194,885.5022,503.9147,850.2804,4545.3299,1828.1569,703,4454
2,-6.4,0,56,7,40.96,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.3974,2718.9466,1338.0577,1250.0208,987.0627,546.9377,920.0955,4190.6382,1709.1042,563,2763
0,-4.4,0,50,8,19.36,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,200.8817,2741.5037,1448.5316,1269.4163,1022.4542,544.8752,909.8634,4145.0578,1720.2381,339,1469
1,-2.4,0,46,10,5.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,238.5545,2697.6369,1439.6284,1204.6195,1017.8358,507.085,936.9902,4107.8265,1617.9179,308,1379
1,-0.6,0,41,10,0.36,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,199.4795,2742.3477,1483.1251,1232.9358,940.0276,503.3555,978.1981,4277.7087,1683.5546,370,1599
1,0.5,0,37,10,0.25,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,215.6398,2726.1302,1521.8152,1328.1765,1029.7398,516.0204,950.5563,4358.3839,1654.6865,467,1782
0,1.3,0,35,10,1.69,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,241.5931,2752.27,1510.499,1314.2073,1001.8198,552.1517,961.8978,4520.3603,1752.1457,409,1826
1,1.7,0,36,10,2.89,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,241.5798,2861.2712,1541.0543,1290.724,928.5539,537.0426,944.3051,4615.5504,1734.3122,534,2153
1,1.8,0,36,10,3.24,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,213.2677,2938.594,1560.9858,1226.5677,976.748,531.5554,925.7484,4898.5381,1648.9586,543,2758
2,1.4,0,38,10,1.96,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238.9272,3081.7565,1602.4372,1240.6573,985.0915,478.1139,905.2865,5166.1776,1752.6285,654,3630
2,0.7,0,42,10,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,219.9817,3632.8523,1690.9901,1284.3955,974.52,505.533,915.633,5840.3126,2206.7941,905,4137
0,0.1,0,42,10,0.01,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,218.4464,3848.3147,1632.2916,1211.9287,918.758,471.6176,882.3974,6094.8715,2138.6823,730,2757
1,-0.6,0,44,9,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,224.7523,3763.9719,1521.6794,1176.7038,907.1108,487.8744,882.0477,5873.572,2075.4238,652,3519
2,-1,0,46,8,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,227.4085,3534.1431,1523.1841,1173.1242,870.0983,460.746,892.3545,5143.4073,2035.6102,824,4445
1,-1.3,0,46,7,1.69,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,215.9756,3534.5626,1353.0831,1098.9758,810.0104,428.6366,881.1481,4978.618,1985.1965,384,1263
