"y","station_dist","station_type","rain","wet","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m5","m20","m25","m50","m60","m70","f0","f10","f25","f30","f50","bus_passenger","sub_passenger"
2,113,0,0,80,10,24,800.89,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,284.0347,808.2657,3274.3492,2757.8127,1152.7748,721.2154,945.9005,619.7903,287.8288,3076.3946,1673.4837,1054.9817,452,1935
3,611,0,0,72,0,28,249.64,0,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,223.824,1138.0694,4505.4227,4002.0918,842.466,574.7556,875.3886,437.9598,203.3871,4057.3178,1945.4224,820.7783,92,0
0,17,1,0,65,5,29,979.69,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,253.0616,691.3157,3093.4234,2764.4843,1059.6027,709.1064,852.0375,422.153,196.0467,2982.134,1660.1584,1019.9158,416,1642
1,83,0,0,48,2,8,5.76,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187.8929,798.4016,4073.9169,3891.7546,802.2049,530.7529,795.8266,362.5735,168.3782,4173.9571,2029.866,745.6475,75,0
7,37,0,0,34,2,44,424.36,1,1,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,158.038,1260.8784,3994.4308,2907.4631,1095.1078,735.8118,933.3242,364.9849,169.4976,2963.8099,1810.8207,1026.6262,540,2390
0,546,0,0,85,2,48,62.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,221.1921,851.3242,3344.0536,3129.1386,852.751,563.8095,830.0343,475.7435,220.9339,3304.434,1783.6641,875.3452,756,4129
1,17,1,0,26,0,56,3.24,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,209.3083,1528.2924,4739.5799,3151.8717,1065.9966,708.7271,957.794,324.9221,150.8926,3127.3926,1833.3871,1028.4899,595,2558
0,232,0,0.5,92,10,24,556.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.7308,716.5344,3536.3926,3745.9008,792.7009,563.48,752.6252,431.2784,200.2843,4029.3251,1957.7013,775.266,51,0
0,232,0,1.3,94,10,31,645.16,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,309.3338,887.2151,3456.4855,2648.0435,1126.5872,702.9655,1018.5321,570.5656,264.9689,3003.802,1672.0661,1116.6556,558,2021
4,83,0,0,77,3,10,665.64,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.2384,655.7989,3605.7481,3552.2843,780.0309,541.0628,798.0383,458.3152,212.8401,3972.8639,1909.8735,739.3922,72,0
9,116,1,0,65,3,59,372.49,1,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,236.1646,1498.1393,4767.9581,4055.3679,950.9194,649.2326,955.3327,392.8982,182.4609,4448.2436,2051.6249,915.1569,631,3261
0,113,0,0,83,10,19,734.41,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,209.538,1357.4267,4565.4168,3775.6865,1046.4075,656.4859,869.3385,406.1254,188.6036,4224.9729,2127.8057,981.4715,892,2780
1,611,0,0,81,0,52,29.16,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,183.7257,859.5857,3607.5269,3657.8853,788.3984,521.0214,793.1776,364.835,169.4282,3734.9887,1903.4761,769.4579,178,945
24,116,1,0,92,0,55,81,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239.6886,994.2361,3746.0992,3155.5023,948.8438,657.2582,809.6997,365.5669,169.768,3561.6382,1665.6462,929.3454,896,5045
1,37,0,1.1,96,10,10,497.29,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194.47,788.9616,4420.7022,4348.4875,743.4649,507.9595,754.1215,349.6234,162.3643,4093.1609,1870.4519,783.5531,173,4
8,37,0,0,68,9,42,14.44,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,215.5337,1534.5418,4102.1777,3543.9906,1115.1386,723.712,915.1583,463.7181,215.3491,4144.5291,2126.621,971.7442,888,4082
0,113,0,0,64,0,21,176.89,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,180.6199,686.6044,3474.3373,3621.0151,822.3231,559.3736,820.2868,344.5301,159.9991,3848.0745,1946.9157,834.8478,169,794
0,37,0,0,83,8,43,12.25,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.9226,667.43,3218.0804,3557.4093,727.0044,491.2576,850.2742,280.611,130.3149,3745.0383,1924.8831,703.8658,10,0
0,546,0,1.9,96,10,19,670.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,253.2439,1012.9012,4163.3567,3751.4387,971.0103,570.5671,864.3732,517.7075,240.4218,4102.9833,2044.443,922.1391,670,2629
0,546,0,0,48,0,7,492.84,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,244.3531,1675.9735,5722.3321,5219.9324,970.009,654.5783,868.5096,551.0705,255.9155,4773.797,2195.3528,867.3329,628,4344
0,554,0,0,71,8,63,918.09,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,324.4551,1119.7173,3749.6478,3495.9907,904.076,570.6904,922.8138,733.9798,340.8579,3745.6204,2017.5822,986.8023,562,2921
5,83,0,0,41,2,69,272.25,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,245.8264,1422.6175,4168.4796,2918.3113,1084.2967,738.433,895.2128,407.7092,189.339,3063.4423,1730.8059,1034.4204,362,1672
