"y","past_return","m20","m25","f15","temp","bus_passenger","f45","X17_18","sub_passenger","f50","m30","f20","wet","m50","m5","f55","m55","f70","f0","most_use","f30","X14_15","f40","f25","m0","m35","X16_17","m65","m40","m60","m45","f35","f60","m70","f65","dust","sunny","wind","cloud","X9_10","X12_13","semester","rain","X18_19","X11_12"
0,0,2838.5561,3555.0641,767.9079,-3.8,290,827.7268,0,1183,799.6374,1884.5123,4706.2114,49,800.7484,642.8577,737.9257,763.2258,1165.0347,392.1807,20915.2501,1842.3086,0,795.783,3542.5483,576.0977,1342.2597,0,434.2469,895.4819,558.7961,1039.9894,1203.7896,683.2331,793.1548,564.4722,33,0,2.1,0,0,0,0,0,0,0
0,0,2702.1775,3454.4892,635.5786,-4.4,116,705.2005,0,296,693.2796,1756.178,4753.8475,48,746.819,412.8902,641.8205,704.2859,1144.6911,302.5978,20523.4923,1853.8448,0,711.2368,3512.6591,454.4504,1322.5,0,409.5073,892.449,527.5285,983.0021,1167.7962,613.1592,750.5164,500.2525,26,0,2.9,0,0,0,0,0,0,0
0,0,2739.8139,3483.7838,630.3021,-5.2,54,710.2858,0,0,685.142,1746.7593,4745.3337,51,731.7209,429.0108,640.3266,702.5412,1090.2994,298.2608,20620.9137,1867.0894,0,689.1734,3556.0776,470.1789,1301.7749,0,412.3134,898.57,527.1577,991.3523,1180.2811,623.4963,760.0452,494.7284,27,0,1.6,1,0,0,0,0,0,0
0,0,2757.503,3502.4904,650.0474,-5.8,28,723.9464,0,0,681.5611,1760.4701,4775.0704,52,748.8319,434.1726,647.3592,699.2396,1091.5168,288.5762,20732.748,1899.451,0,663.4489,3567.5378,451.7634,1298.267,0,402.6155,884.6295,519.202,953.1996,1171.9583,636.0671,768.6048,496.2779,29,0,2.1,0,0,0,0,0,0,0
0,0,2772.7609,3491.2571,671.1149,-6.4,21,722.0812,0,0,681.0465,1754.8118,4815.8483,56,757.3202,417.6675,640.2234,683.5991,1121.5832,285.7222,20799.6178,1887.8221,0,662.989,3579.102,464.014,1314.0017,0,407.4006,901.255,507.8375,957.8903,1184.0139,631.7989,754.1195,502.6214,25,0,1.7,5,0,0,0,0,0,0
0,0,2780.6139,3487.9432,687.2134,-7,9,724.244,0,0,687.0972,1754.4657,4798.7789,59,749.408,438.2313,632.5592,719.0592,1092.3598,302.9079,20762.1849,1884.7284,0,675.5828,3579.6345,494.9173,1299.2547,0,390.0664,904.8807,493.8672,965.8599,1176.7656,633.0392,759.2225,504.5646,21,0,1.6,2,0,0,0,0,0,0
0,0,2803.1913,3518.3709,678.9458,-7.2,35,723.0045,0,10,698.4787,1779.2022,4752.0265,61,742.6971,446.1406,656.7043,708.5429,1133.1607,307.4638,20826.7544,1880.5437,0,685.3887,3579.2221,507.3804,1301.6667,0,397.9289,894.8631,502.8778,970.6791,1212.531,631.4011,770.3506,478.4149,30,0,1.3,3,0,0,0,0,0,0
0,0,2795.1302,3487.6214,675.2878,-7.4,64,709.2058,0,565,712.693,1789.8582,4772.6754,59,762.1957,440.6551,666.4392,727.9901,1113.8521,291.5509,20835.7614,1910.9327,0,683.1681,3560.5171,445.032,1292.5421,0,409.5458,915.6993,530.6742,1008.9347,1226.4843,659.0093,793.6769,483.2726,24,0,0.3,2,0,0,0,0,0,0
0,0,2756.9281,3454.61,674.2249,-7.8,173,731.2445,0,892,696.985,1791.7569,4694.4118,55,789.6308,459.447,722.7125,774.9457,1165.0858,301.4263,20757.2521,1890.5477,0,683.3059,3569.0227,460.1583,1361.1127,0,434.1096,926.5137,536.3459,996.9741,1238.8622,642.1534,819.6501,523.1746,22,0,2.1,1,0,0,0,0,0,0
0,0,2652.1441,3324.0483,658.9151,-7.7,344,802.7161,0,2435,772.7932,1801.4965,4636.7636,54,895.0344,430.9352,779.1232,844.6391,1267.5847,352.3485,20535.6556,1902.6712,0,743.9412,3455.4277,487.1381,1453.0328,0,484.3968,1025.6266,598.5327,1149.7792,1310.0714,697.5645,858.7583,534.9,21,0,2,0,0,0,0,0,0,0
