"y","past_return","bus_passenger","station_dist","temp","m5","m0","sub_passenger","wind","wet","X8_9","dust","f25","m40","m20","m30","f0","f15","m70","m65","m25","X14_15","cloud","m55","m35","m60","f70","f40","f65","m50","f60","f30","m45","f35","f45","f55","f20","X18_19","station_type","f50","rain","m10","most_use","f10","X9_10","semester","X16_17","X19_20","sunny","X22_23","X7_8"
2,7,308,70,26.8,605.3852,1035.1541,0,3.5,82,0,9,999.7668,1004.8748,830.2619,754.308,890.5792,672.3924,912.1983,464.4929,882.2593,0,10,777.6523,1141.4702,608.598,1378.0283,1045.5999,623.1435,830.6179,784.7365,900.5659,968.0674,1227.7209,1052.6519,1012.4407,914.4717,0,1,942.0395,0,534.3445,7650.8247,473.3774,0,0,0,0,0,1,0
0,0,165,21,17.4,193.2944,426.8006,550,5,98,0,45.5,981.1301,517.9198,554.0726,831.0673,359.8157,285.2253,382.3164,186.0236,739.8124,0,10,422.9926,722.1906,269.2406,700.1385,535.8878,350.9972,437.1573,355.9735,957.7238,464.5726,762.2639,415.2883,483.0579,797.5983,0,1,407.6672,2.6,142.2669,6345.859,128.6488,0,1,0,0,0,0,0
2,3,484,428,11.5,725.9381,299.3321,0,3.2,59,0,43,1379.5142,766.6574,2558.803,893.7144,308.2821,848.4418,649.9367,314.6982,1651.5125,0,10,650.8908,945.5709,426.3261,941.0243,673.3963,421.0385,632.0137,506.0209,874.8139,822.3005,1007.7575,718.5674,638.1232,2870.9442,0,0,604.5515,0,125.2796,12182.6306,151.0414,0,1,0,0,0,0,0
6,3,420,100,25.9,634.4169,741.1565,552,1.9,82,0,9,1468.2379,1040.5078,812.0656,1282.1254,554.2074,525.004,913.8477,477.4965,1301.0673,0,7,864.1706,1124.3999,639.1689,1342.6255,1016.038,636.3344,911.5503,775.9839,1273.3864,1140.1623,1295.3832,1040.4008,1061.6485,1054.4021,0,0,983.6624,0,345.164,9611.0678,295.1866,0,0,0,0,0,0,0
8,8,236,58,24.2,349.0172,526.4754,0,1.4,79,0,42,837.2829,674.617,449.5516,706.6932,557.708,351.4847,599.7072,362.2216,708.574,0,9,616.7661,659.2351,451.7149,1041.1978,652.8847,408.6711,608.8999,576.0819,688.5048,721.4111,856.9036,612.1193,650.7968,516.4464,0,0,667.3894,0,245.5103,5423.1916,275.7202,0,1,1,0,0,0,0
0,0,15,41,19.2,561.3922,702.8709,0,1.4,93,0,15,1102.3391,837.8892,702.1275,1010.2734,788.5253,544.1252,1290.3212,668.882,1055.0492,0,9,1141.0626,1147.2444,908.2234,2110.1901,960.9689,884.0146,967.8741,1267.6831,1181.1118,981.2658,1130.7063,1059.247,1357.7232,802.9118,0,0,1151.2929,0,343.1849,8131.7635,365.6574,0,1,0,0,0,0,0
5,4,602,83,14.2,2016.3014,517.1932,3242,2.8,89,0,79,5048.9027,1222.562,5784.5528,2513.5219,437.4412,2260.8518,884.3469,452.9087,4934.6045,0,10,911.0854,1961.5716,663.6994,1270.1596,1018.787,654.3257,962.7043,743.6133,2242.2265,1175.9359,1453.3096,1019.8527,893.5775,7762.7207,0,0,948.5246,0,238.704,31701.4103,203.1464,0,1,0,0,0,0,0
3,1,381,83,25.9,697.6903,536.2912,1671,0.7,82,0,15,2997.9822,1172.7864,3128.3385,1638.3894,590.9543,1016.9442,918.9675,456.5954,2828.3096,0,7,950.8742,1493.5951,729.6226,1298.3971,1168.9059,655.5729,1035.8538,753.9267,1722.4892,1212.2306,1396.4207,1080.4643,927.1058,4514.9281,0,0,1062.3257,0,247.5189,19720.4528,274.4376,0,0,0,0,0,0,0
5,7,445,118,23.1,683.5892,312.6105,0,5,39,0,52,1202.5981,709.6316,1859.2903,958.6847,437.8912,759.7793,697.3022,310.9607,1486.914,0,0,663.7368,917.9499,456.3349,1031.5025,629.5475,395.4023,715.9681,489.5983,877.9571,836.0607,934.5101,708.9503,590.1641,2007.424,0,0,583.9392,0,130.8371,10245.3282,214.5431,0,1,0,0,0,0,0
1,1,413,34,-4.5,338.0791,429.0052,0,3.5,36,0,30,1216.0374,699.5813,1050.2718,945.5737,294.3731,289.1643,645.3953,428.318,1353.2314,0,2,658.8961,926.3857,441.6885,1036.751,611.0377,361.2507,646.1134,567.5851,849.4018,860.1425,808.3133,655.514,636.4128,1327.65,0,0,562.0127,0,179.5517,8476.8651,144.2268,0,0,0,0,0,0,0
