"y","past_return","bus_passenger","sub_passenger","temp","wet","m35","f45","m30","m0","wind","sunny","m5","m40","f70","f40","f30","m20","m25","f0","dust","m45","f65","m70","m50","f55","f60","m65","f35","m60","m55","most_use","f50","f15","f20","f25","cloud","rain","X8_9","semester","X18_19","X17_18","temp.sqr"
3,0,406,2227,-0.5,40,1517.6441,958.3552,2201.5787,650.3535,2.9,0,2041.3181,1041.9536,1177.0982,920.1534,1985.6483,4151.5567,4015.2045,637.631,34,1046.2956,577.2871,833.3295,889.1927,788.0574,676.5605,423.7561,1222.7737,574.8783,811.1428,24790.6092,852.6026,2460.2036,5673.6481,4022.5551,0,0,0,0,1,0,0.25
1,3,371,2152,-1.6,41,1547.3232,902.1259,2198.7499,648.1827,2,0,1931.3085,1012.3337,1223.7716,870.9679,1914.8314,4383.8353,4121.813,546.9288,28,1060.9019,559.4414,829.5648,871.3076,775.9222,648.6117,427.686,1315.8114,552.3845,823.536,25197.4386,810.5095,2455.9861,5723.259,3991.8154,0,0,0,0,0,0,2.56
1,0,469,3853,-2.6,46,1432.3184,898.2168,2047.8595,580.0914,1.6,0,1639.9636,964.321,1219.6571,809.7796,1875.5813,3990.1439,3996.4277,416.575,27,1073.7328,551.7985,788.7672,803.9074,800.1316,691.6397,408.2072,1295.8298,540.6714,808.785,23881.3281,785.26,1915.152,5350.0875,3893.08,0,0,0,0,0,0,6.76
1,0,642,4295,-2.9,48,1363.413,847.5671,1917.7334,558.5282,2.7,0,906.2387,942.9685,1175.6434,783.3676,1843.4158,3147.1985,3656.7708,419.1941,20,1028.2462,551.3256,778.7249,841.3478,765.0819,666.741,427.58,1194.3992,547.0492,811.96,21503.0803,799.0475,1058.0538,4760.5238,3619.6258,0,0,0,0,0,0,8.41
0,0,290,1183,-3.8,49,1342.2597,827.7268,1884.5123,576.0977,2.1,0,642.8577,895.4819,1165.0347,795.783,1842.3086,2838.5561,3555.0641,392.1807,33,1039.9894,564.4722,793.1548,800.7484,737.9257,683.2331,434.2469,1203.7896,558.7961,763.2258,20915.2501,799.6374,767.9079,4706.2114,3542.5483,0,0,0,0,0,0,14.44
0,1,116,296,-4.4,48,1322.5,705.2005,1756.178,454.4504,2.9,0,412.8902,892.449,1144.6911,711.2368,1853.8448,2702.1775,3454.4892,302.5978,26,983.0021,500.2525,750.5164,746.819,641.8205,613.1592,409.5073,1167.7962,527.5285,704.2859,20523.4923,693.2796,635.5786,4753.8475,3512.6591,0,0,0,0,0,0,19.36
0,0,54,0,-5.2,51,1301.7749,710.2858,1746.7593,470.1789,1.6,0,429.0108,898.57,1090.2994,689.1734,1867.0894,2739.8139,3483.7838,298.2608,27,991.3523,494.7284,760.0452,731.7209,640.3266,623.4963,412.3134,1180.2811,527.1577,702.5412,20620.9137,685.142,630.3021,4745.3337,3556.0776,1,0,0,0,0,0,27.04
1,1,28,0,-5.8,52,1298.267,723.9464,1760.4701,451.7634,2.1,0,434.1726,884.6295,1091.5168,663.4489,1899.451,2757.503,3502.4904,288.5762,29,953.1996,496.2779,768.6048,748.8319,647.3592,636.0671,402.6155,1171.9583,519.202,699.2396,20732.748,681.5611,650.0474,4775.0704,3567.5378,0,0,0,0,0,0,33.64
0,1,21,0,-6.4,56,1314.0017,722.0812,1754.8118,464.014,1.7,0,417.6675,901.255,1121.5832,662.989,1887.8221,2772.7609,3491.2571,285.7222,25,957.8903,502.6214,754.1195,757.3202,640.2234,631.7989,407.4006,1184.0139,507.8375,683.5991,20799.6178,681.0465,671.1149,4815.8483,3579.102,5,0,0,0,0,0,40.96
0,0,9,0,-7,59,1299.2547,724.244,1754.4657,494.9173,1.6,0,438.2313,904.8807,1092.3598,675.5828,1884.7284,2780.6139,3487.9432,302.9079,21,965.8599,504.5646,759.2225,749.408,632.5592,633.0392,390.0664,1176.7656,493.8672,719.0592,20762.1849,687.0972,687.2134,4798.7789,3579.6345,2,0,0,0,0,0,49
