"y","temp","rain","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","m10","m5","m20","m25","m30","m40","m70","f0","f15","f20","f25","f30","f35","f40","f50","f60","f65","f70","bus_passenger","sub_passenger"
0,-7.2,0,61,0,3,30,51.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.1749,446.1406,2803.1913,3518.3709,1779.2022,894.8631,770.3506,307.4638,678.9458,4752.0265,3579.2221,1880.5437,1212.531,685.3887,698.4787,631.4011,478.4149,1133.1607,35,10
0,-7.4,0,59,0,2,24,54.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.3992,440.6551,2795.1302,3487.6214,1789.8582,915.6993,793.6769,291.5509,675.2878,4772.6754,3560.5171,1910.9327,1226.4843,683.1681,712.693,659.0093,483.2726,1113.8521,64,565
0,-7.8,0,55,0,1,22,60.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.3803,459.447,2756.9281,3454.61,1791.7569,926.5137,819.6501,301.4263,674.2249,4694.4118,3569.0227,1890.5477,1238.8622,683.3059,696.985,642.1534,523.1746,1165.0858,173,892
0,-7.7,0,54,0,0,21,59.29,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.833,430.9352,2652.1441,3324.0483,1801.4965,1025.6266,858.7583,352.3485,658.9151,4636.7636,3455.4277,1902.6712,1310.0714,743.9412,772.7932,697.5645,534.9,1267.5847,344,2435
1,-7.6,0,55,0,1,25,57.76,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.3988,644.902,2519.3405,2847.9055,1648.7732,1119.5196,869.331,375.8258,743.7441,4270.768,3084.5751,1705.8362,1263.8432,925.8083,936.5414,728.622,533.7396,1304.7471,712,4472
0,-6.9,0,55,0,1,23,47.61,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,216.2132,672.8843,2482.0831,2662.0406,1612.2712,1181.4821,922.4688,376.2878,686.4385,3956.3774,2871.5283,1671.153,1285.0733,940.7677,915.2747,767.7525,562.8275,1391.9837,484,2597
0,-4,0,55,0,2,20,16,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,235.361,744.7539,2511.324,2688.0373,1640.1081,1159.787,859.6573,362.6595,754.2041,3960.7385,2821.1083,1675.3203,1342.5714,1009.0316,943.9601,765.2355,586.9194,1392.7046,332,1361
0,-1.4,0,44,0,0,32,1.96,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,238.8017,878.6157,2534.5863,2626.2692,1662.9091,1156.4928,906.669,430.8532,863.6813,4061.4116,2868.6999,1684.9537,1418.3272,1043.2783,946.7855,776.9227,593.273,1475.7007,306,1430
1,0.9,0,36,0,2,38,0.81,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,211.5678,857.3689,2710.3982,2693.7614,1720.4887,1224.5282,926.741,371.4619,1014.0743,4233.7315,2922.4458,1625.2388,1447.0067,1013.2716,1008.2463,798.234,622.8533,1309.883,350,1601
0,1.7,0,43,0,4,35,2.89,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,255.8632,776.4583,2856.6664,2721.8669,1717.156,1210.1774,956.0724,477.6398,1117.9918,4305.2457,2941.0495,1699.0385,1398.3945,1056.2872,1044.9356,807.4246,629.8864,1360.3603,407,1661
3,2,0,43,0,6,37,4,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,208.5832,774.643,2913.5869,2828.2211,1716.8676,1277.6667,924.2738,405.9336,1331.7675,4551.2047,2947.6832,1718.2784,1423.4154,1152.2567,1042.1027,841.7481,617.1358,1314.2719,409,1746
0,2.2,0,48,0,6,33,4.84,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,239.3069,862.0225,3048.8963,2861.655,1743.0036,1279.4113,908.7911,421.9394,1509.9943,4622.7266,3001.5806,1732.9643,1458.7331,1115.5868,987.4939,844.4154,633.3601,1320.5806,475,2078
3,2.3,0,49,0,7,37,5.29,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,243.6479,1113.7642,3128.9349,2945.7799,1758.573,1264.2411,924.7538,401.7319,1773.7533,4704.3098,3014.8984,1653.7936,1330.0928,1060.8693,1036.4946,837.3723,575.3131,1322.5985,576,2675
1,1.6,0,56,0,8,38,2.56,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,221.0525,1462.203,3566.9292,3144.4974,1832.8592,1260.9816,918.6571,470.282,2060.307,5077.701,3165.3341,1699.6399,1307.0461,1050.205,969.4632,794.8837,591.3638,1304.803,626,3455
2,1.3,0,58,0,9,31,1.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,224.4997,1744.4481,4113.3908,3613.3573,2164.098,1358.0766,933.1072,458.8049,2215.459,5727.6594,3976.3613,2191.8572,1477.9913,1075.355,969.3633,790.7419,613.0449,1259.3332,939,4126
0,1.3,0,65,0,9,21,1.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,220.2854,1583.4592,4065.1125,3726.0957,2131.5452,1230.2638,876.745,461.8789,2102.8311,5850.444,4043.4377,2116.7063,1431.2488,979.0794,904.3468,784.2587,628.8605,1230.6667,729,2725
0,1.2,0,68,0,9,22,1.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,229.7288,1381.3895,3789.5552,3683.61,2130.5112,1089.3896,848.6156,466.3662,1698.0712,5604.409,3963.7459,2055.64,1380.969,899.9572,849.9934,732.2397,628.7436,1215.3251,627,3443
0,1.1,0,74,0,9,29,1.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,245.5316,873.1528,3060.5916,3461.494,1987.1486,994.5742,876.2562,408.4166,1002.9422,5014.7695,3702.9449,1898.2962,1354.3022,788.8963,837.7435,753.9444,618.7889,1199.8616,723,3962
1,0.9,0,75,0,8,28,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,229.4291,609.4041,2813.8935,3518.1665,1926.8968,896.9688,871.3815,403.045,810.8642,4899.2655,3708.7899,1918.2531,1286.4655,740.4864,792.4223,721.0197,598.7396,1186.8485,362,1166
0,0.6,0,75,0,9,27,0.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,191.3508,470.2152,2724.7673,3416.9302,1768.6366,895.762,783.018,343.2253,624.7277,4984.0756,3580.1829,1884.8524,1181.4152,711.5363,717.6586,635.2793,505.2386,1145.3585,203,319
1,0.7,0,81,0,9,30,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196.9263,444.4648,2761.1498,3449.8626,1765.9561,884.8557,782.3677,332.3311,605.8332,5007.5642,3637.2328,1887.471,1207.9439,698.8754,711.7672,641.0496,512.173,1212.3185,65,1
0,0.7,0,81,0,9,31,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,203.775,428.2473,2788.5948,3456.5987,1747.6222,872.2138,793.1148,345.1318,582.792,4980.5129,3665.298,1892.3083,1238.0208,727.4408,684.1675,638.1279,519.4533,1187.8481,17,0
0,-0.4,0,77,0,0,30,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,211.3926,439.4328,2766.1461,3478.9939,1736.8592,890.5016,772.5876,340.5756,612.6588,4990.509,3660.8975,1920.5468,1229.7883,710.2491,703.6787,636.5435,506.6489,1209.5271,19,0
0,-1.6,0,78,0,0,27,2.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.0297,445.6092,2801.692,3470.7597,1753.8279,887.1485,795.8666,346.8314,605.7831,5009.4618,3645.3716,1906.5811,1233.1164,703.2089,692.8638,633.1964,506.116,1197.8386,13,0
0,-2.2,0,76,0,0,40,4.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.9374,433.3701,2779.9815,3507.3218,1744.4878,867.3928,775.9919,346.6203,584.2396,5006.1417,3644.9303,1913.1474,1208.7816,708.6911,704.1759,630.0459,492.5156,1176.5258,37,12
0,-2.9,0,74,0,0,30,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.7962,436.69,2804.2118,3528.7522,1755.528,922.3312,811.6538,346.2872,608.1986,4987.1576,3658.787,1936.3364,1209.1864,729.2817,697.6113,652.5745,517.363,1188.0812,73,533
0,-3.6,0,73,0,0,33,12.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,213.3039,457.1604,2743.7162,3460.1136,1757.5362,929.9184,810.804,349.9687,581.5113,4950.9677,3614.7621,1956.8949,1277.9817,756.5117,718.2116,665.3061,531.4881,1204.6782,165,879
0,-4,0,76,0,0,37,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,229.6184,489.7856,2700.5523,3341.18,1771.1274,1006.0616,819.309,393.2866,621.6162,4735.728,3485.6262,1936.5794,1283.4648,762.7603,801.5529,672.485,567.9657,1270.5529,409,2390
2,-4.6,0,75,0,0,42,21.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198.3755,708.9889,2567.7235,2885.0788,1673.442,1050.2679,862.0225,411.0521,755.4508,4435.8508,3148.3347,1764.2484,1373.5342,898.8889,911.8173,761.902,569.5154,1310.776,703,4454
0,-4.3,0,73,0,0,41,18.49,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,219.8168,802.3288,2525.5709,2692.5035,1657.2913,1067.1779,895.6861,436.1389,742.958,4089.8537,2878.7932,1700.6607,1351.6933,1023.4973,933.4412,771.5786,623.2557,1362.727,563,2763
