"y","temp","rain","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m5","m20","m25","m35","m45","m55","m65","f25","f30","f65","f70","bus_passenger","sub_passenger"
0,-5.2,0,51,0,1,27,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.0108,2739.8139,3483.7838,1301.7749,991.3523,702.5412,412.3134,3556.0776,1867.0894,494.7284,1090.2994,54,0
1,-5.8,0,52,0,0,29,33.64,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,434.1726,2757.503,3502.4904,1298.267,953.1996,699.2396,402.6155,3567.5378,1899.451,496.2779,1091.5168,28,0
0,-6.4,0,56,0,5,25,40.96,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,417.6675,2772.7609,3491.2571,1314.0017,957.8903,683.5991,407.4006,3579.102,1887.8221,502.6214,1121.5832,21,0
0,-7,0,59,0,2,21,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,438.2313,2780.6139,3487.9432,1299.2547,965.8599,719.0592,390.0664,3579.6345,1884.7284,504.5646,1092.3598,9,0
0,-7.2,0,61,0,3,30,51.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.1406,2803.1913,3518.3709,1301.6667,970.6791,708.5429,397.9289,3579.2221,1880.5437,478.4149,1133.1607,35,10
1,-7.4,0,59,0,2,24,54.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,440.6551,2795.1302,3487.6214,1292.5421,1008.9347,727.9901,409.5458,3560.5171,1910.9327,483.2726,1113.8521,64,565
0,-7.8,0,55,0,1,22,60.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,459.447,2756.9281,3454.61,1361.1127,996.9741,774.9457,434.1096,3569.0227,1890.5477,523.1746,1165.0858,173,892
2,-7.7,0,54,0,0,21,59.29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,430.9352,2652.1441,3324.0483,1453.0328,1149.7792,844.6391,484.3968,3455.4277,1902.6712,534.9,1267.5847,344,2435
4,-7.6,0,55,0,1,25,57.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,644.902,2519.3405,2847.9055,1426.351,1208.1979,913.6478,517.2983,3084.5751,1705.8362,533.7396,1304.7471,712,4472
0,-6.9,0,55,0,1,23,47.61,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,672.8843,2482.0831,2662.0406,1395.7268,1250.4559,1001.3734,549.8313,2871.5283,1671.153,562.8275,1391.9837,484,2597
