"y","sub_passenger","bus_passenger","past_return","temp","X8_9","wet","rain","X7_8","m25","f0","m30","f35","f45","m40","m45","sunny","m50","m5","m35","m55","m0","f25","m70","f50","m65","f60","dust","f65","m60","f70","cloud","m20","f55","f40","wind","f20","f30","f15","X18_19","most_use","snow","X9_10","temp.sqr","weekend","X16_17","semester","X12_13"
0,1083,220,2,0,0,80,0,0,2874.238,359.1147,1704.4265,1237.3767,816.1618,943.8775,1014.5956,0,776.9283,637.0834,1312.0558,785.4998,565.0802,2823.5763,742.5658,808.333,427.9908,649.8822,52,532.8006,536.7211,1304.3411,8,2428.9893,764.3561,803.0257,3.3,3902.4411,1610.8288,704.0107,0,17893.9325,0.2,0,0,1,0,0,0
1,1307,251,0,1.4,0,74,0,0,3096.9322,536.9017,1808.7333,1245.0799,866.4332,973.1295,1052.0858,1,842.0146,774.3842,1358.0544,805.2971,569.5927,3010.0309,693.9417,803.6848,428.0588,646.2579,65,541.7407,529.9763,1288.6323,6,2553.8709,743.7875,881.6837,2.4,4098.2867,1666.6389,848.3786,0,18837.6272,0,0,1.96,1,0,0,1
1,1489,343,1,1.4,0,67,0,0,3235.9751,818.0814,1888.7752,1306.1918,935.6483,1029.1762,1044.7225,1,869.0742,808.9133,1387.0997,808.177,815.6734,3205.7348,755.5868,821.4102,408.0048,658.2622,59,533.556,532.6915,1370.8558,3,2719.6056,777.4661,952.7356,3.6,4258.0445,1715.4634,983.88,0,19716.8901,0,0,1.96,1,0,0,0
0,1618,367,0,2.4,0,55,0,0,3349.7157,878.6592,1954.7321,1320.17,968.025,1062.4139,1137.1555,1,883.5678,1002.3004,1497.7037,804.7556,817.1264,3361.0543,756.9006,846.7926,408.1565,654.9396,62,603.1208,521.6277,1245.7425,1,2882.892,833.2126,992.1802,3.5,4481.4933,1794.8592,1331.7228,0,20642.6203,0,0,5.76,1,0,0,0
2,2054,388,2,2.5,0,46,0,0,3486.664,939.6766,2063.8073,1303.2258,954.9945,1109.1937,1091.4846,1,853.4059,1297.0896,1445.9994,807.2075,864.6418,3529.1173,773.9112,846.7644,428.9827,629.5059,46,596.9327,519.9179,1216.4534,0,3120.7859,823.7659,994.0372,3.3,4712.0271,1830.8999,1688.3151,0,21492.5267,0,0,6.25,1,0,0,0
1,2230,465,2,2.5,0,45,0,0,3669.4364,1007.2311,2082.8798,1317.1841,956.3247,1039.4907,1119.0707,1,863.2513,1600.7282,1451.9756,853.5617,777.8725,3639.9819,799.1847,899.8927,385.5774,651.7925,37,562.35,554.4749,1290.0584,0,3374.3148,864.8622,973.9869,3,5063.1589,1920.2308,2171.2288,0,22519.1623,0,0,6.25,1,1,0,0
4,2283,464,1,1.2,0,45,0,0,3893.5444,830.7737,2206.5296,1307.3212,984.5096,1053.9673,1098.6465,1,863.1784,1846.4531,1526.3762,859.1337,741.337,3886.1084,815.0186,860.2495,408.6593,648.4771,35,538.1844,585.6299,1274.2889,0,3887.7327,836.6289,903.5491,2.7,5532.0384,1925.9611,2424.7573,0,24165.612,0,0,1.44,1,0,0,0
3,2227,406,1,-0.5,0,40,0,0,4015.2045,637.631,2201.5787,1222.7737,958.3552,1041.9536,1046.2956,0,889.1927,2041.3181,1517.6441,811.1428,650.3535,4022.5551,833.3295,852.6026,423.7561,676.5605,34,577.2871,574.8783,1177.0982,0,4151.5567,788.0574,920.1534,2.9,5673.6481,1985.6483,2460.2036,1,24790.6092,0,0,0.25,1,0,0,0
0,2152,371,5,-1.6,0,41,0,0,4121.813,546.9288,2198.7499,1315.8114,902.1259,1012.3337,1060.9019,0,871.3076,1931.3085,1547.3232,823.536,648.1827,3991.8154,829.5648,810.5095,427.686,648.6117,28,559.4414,552.3845,1223.7716,0,4383.8353,775.9222,870.9679,2,5723.259,1914.8314,2455.9861,0,25197.4386,0,0,2.56,1,0,0,0
0,3853,469,2,-2.6,0,46,0,0,3996.4277,416.575,2047.8595,1295.8298,898.2168,964.321,1073.7328,0,803.9074,1639.9636,1432.3184,808.785,580.0914,3893.08,788.7672,785.26,408.2072,691.6397,27,551.7985,540.6714,1219.6571,0,3990.1439,800.1316,809.7796,1.6,5350.0875,1875.5813,1915.152,0,23881.3281,0,0,6.76,1,0,0,0
2,4295,642,0,-2.9,0,48,0,0,3656.7708,419.1941,1917.7334,1194.3992,847.5671,942.9685,1028.2462,0,841.3478,906.2387,1363.413,811.96,558.5282,3619.6258,778.7249,799.0475,427.58,666.741,20,551.3256,547.0492,1175.6434,0,3147.1985,765.0819,783.3676,2.7,4760.5238,1843.4158,1058.0538,0,21503.0803,0,0,8.41,1,0,0,0
