"y","f45","m20","f50","m25","temp","bus_passenger","past_return","m30","m50","wet","X16_17","f20","m55","sub_passenger","X17_18","m0","m70","m5","m40","f70","sunny","f60","f65","f25","f0","m35","m45","m65","m60","f40","f35","f30","f15","f55","wind","most_use","dust","cloud","X11_12","rain","X14_15","temp.sqr","X13_14"
0,705.2005,2702.1775,693.2796,3454.4892,-4.4,116,0,1756.178,746.819,48,0,4753.8475,704.2859,296,0,454.4504,750.5164,412.8902,892.449,1144.6911,0,613.1592,500.2525,3512.6591,302.5978,1322.5,983.0021,409.5073,527.5285,711.2368,1167.7962,1853.8448,635.5786,641.8205,2.9,20523.4923,26,0,0,0,0,19.36,0
0,710.2858,2739.8139,685.142,3483.7838,-5.2,54,0,1746.7593,731.7209,51,0,4745.3337,702.5412,0,0,470.1789,760.0452,429.0108,898.57,1090.2994,0,623.4963,494.7284,3556.0776,298.2608,1301.7749,991.3523,412.3134,527.1577,689.1734,1180.2811,1867.0894,630.3021,640.3266,1.6,20620.9137,27,1,0,0,0,27.04,0
0,723.9464,2757.503,681.5611,3502.4904,-5.8,28,0,1760.4701,748.8319,52,0,4775.0704,699.2396,0,0,451.7634,768.6048,434.1726,884.6295,1091.5168,0,636.0671,496.2779,3567.5378,288.5762,1298.267,953.1996,402.6155,519.202,663.4489,1171.9583,1899.451,650.0474,647.3592,2.1,20732.748,29,0,0,0,0,33.64,0
0,722.0812,2772.7609,681.0465,3491.2571,-6.4,21,0,1754.8118,757.3202,56,0,4815.8483,683.5991,0,0,464.014,754.1195,417.6675,901.255,1121.5832,0,631.7989,502.6214,3579.102,285.7222,1314.0017,957.8903,407.4006,507.8375,662.989,1184.0139,1887.8221,671.1149,640.2234,1.7,20799.6178,25,5,0,0,0,40.96,0
0,724.244,2780.6139,687.0972,3487.9432,-7,9,0,1754.4657,749.408,59,0,4798.7789,719.0592,0,0,494.9173,759.2225,438.2313,904.8807,1092.3598,0,633.0392,504.5646,3579.6345,302.9079,1299.2547,965.8599,390.0664,493.8672,675.5828,1176.7656,1884.7284,687.2134,632.5592,1.6,20762.1849,21,2,0,0,0,49,0
0,723.0045,2803.1913,698.4787,3518.3709,-7.2,35,0,1779.2022,742.6971,61,0,4752.0265,708.5429,10,0,507.3804,770.3506,446.1406,894.8631,1133.1607,0,631.4011,478.4149,3579.2221,307.4638,1301.6667,970.6791,397.9289,502.8778,685.3887,1212.531,1880.5437,678.9458,656.7043,1.3,20826.7544,30,3,0,0,0,51.84,0
0,709.2058,2795.1302,712.693,3487.6214,-7.4,64,0,1789.8582,762.1957,59,0,4772.6754,727.9901,565,0,445.032,793.6769,440.6551,915.6993,1113.8521,0,659.0093,483.2726,3560.5171,291.5509,1292.5421,1008.9347,409.5458,530.6742,683.1681,1226.4843,1910.9327,675.2878,666.4392,0.3,20835.7614,24,2,0,0,0,54.76,0
0,731.2445,2756.9281,696.985,3454.61,-7.8,173,0,1791.7569,789.6308,55,0,4694.4118,774.9457,892,0,460.1583,819.6501,459.447,926.5137,1165.0858,0,642.1534,523.1746,3569.0227,301.4263,1361.1127,996.9741,434.1096,536.3459,683.3059,1238.8622,1890.5477,674.2249,722.7125,2.1,20757.2521,22,1,0,0,0,60.84,0
0,802.7161,2652.1441,772.7932,3324.0483,-7.7,344,0,1801.4965,895.0344,54,0,4636.7636,844.6391,2435,0,487.1381,858.7583,430.9352,1025.6266,1267.5847,0,697.5645,534.9,3455.4277,352.3485,1453.0328,1149.7792,484.3968,598.5327,743.9412,1310.0714,1902.6712,658.9151,779.1232,2,20535.6556,21,0,0,0,0,59.29,0
1,924.3551,2519.3405,936.5414,2847.9055,-7.6,712,0,1648.7732,1018.9741,55,0,4270.768,913.6478,4472,0,436.3641,869.331,644.902,1119.5196,1304.7471,0,728.622,533.7396,3084.5751,375.8258,1426.351,1208.1979,517.2983,643.2286,925.8083,1263.8432,1705.8362,743.7441,843.9229,1.6,18767.3927,25,1,0,0,0,57.76,0
