"timestamp","spot_number","rent_num","station_dist","station_type","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","semester","past_return","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-03-27 15:",539,10,221,0,12.1,0,4.7,35,0,1,59,146.41,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,584.0463,205.4546,265.5537,491.5121,688.956,762.438,772.1013,616.0791,606.7449,594.2437,608.3933,472.1245,326.0496,543.2959,455.6983,179.3925,227.9233,590.3659,767.2249,748.098,746.1508,486.7854,585.9478,569.59,623.9932,595.7826,385.4263,863.6862,5566.847,155,0,6377,6099,3463,3502,3540,3266
"2022-04-11 10:",3860,2,51,0,20.6,0,1.6,52,0,2,41,424.36,1,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,649.8501,299.9306,1604.6034,3875.8333,2868.3018,1735.8315,1527.085,1183.5296,1214.0141,1089.2374,1045.6751,725.6462,522.4705,908.4586,336.6836,156.3549,1510.0381,5388.8163,3129.5931,1743.448,1402.6196,1103.4021,1127.3723,1037.3923,985.4293,865.3535,651.8818,1303.1481,21671.5286,384,1623,6377,6099,3463,3502,3540,3266
"2022-04-16 02:",3878,0,410,0,9.5,0,0.8,59,0,0,13,90.25,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1730.6741,1463.0653,1739.9532,950.4753,847.3524,805.6128,1041.3206,1621.5013,1986.3058,1586.405,1263.8495,817.3772,661.7941,1088.0993,1984.0041,1661.9097,1653.4139,1181.5962,973.7169,918.7502,1610.0858,2101.3229,2309.8155,1560.7037,1379.6823,877.3772,710.7171,1388.4273,8328.9102,0,0,6377,6099,3463,3502,3540,3266
"2022-02-25 12:",590,1,232,0,6.2,0,2.1,59,0,0,79,38.44,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,563.8729,260.2484,623.4344,3084.1257,2858.3035,1739.1338,1428.0915,1140.6591,1251.6343,1038.4764,1158.937,728.7901,525.6217,919.5439,543.4835,252.3924,1150.6812,4623.6891,3028.2358,1675.1697,1432.7439,1163.1272,1184.5069,990.7036,978.3608,783.5806,637.3578,1315.5252,19869.493,383,1604,6377,6099,3463,3502,3540,3266
"2022-03-13 09:",502,3,27,1,11.6,0.8,2.7,98,0,10,14,134.56,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,997.6912,515.0069,689.8591,890.0299,978.6089,816.191,1090.1126,945.4845,1029.139,821.176,833.2314,647.1017,459.0744,857.8255,881.4061,468.5013,671.7618,986.2473,992.3881,921.0616,1038.0569,1014.0005,932.9661,944.4594,996.4767,800.6635,617.8486,1216.259,7712.6963,123,0,6377,6099,3463,3502,3540,3266
"2022-04-19 17:",3865,4,7,0,20.1,0,3.9,32,0,0,57,404.01,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1080.8347,557.925,715.0478,792.3424,764.3819,655.1563,841.3966,679.0959,789.4069,703.0151,652.2615,550.6923,411.9081,769.684,904.9239,481.0021,623.904,1033.1387,840.4972,835.8278,1018.2704,863.3568,961.1849,891.1511,978.0008,845.1962,608.5302,1215.9375,6781.0113,401,0,6377,6099,3463,3502,3540,3266
"2022-11-10 19:",3582,4,128,0,15.2,0,1.8,71,0,8,46,231.04,0,1,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,410.5648,189.491,1417.0961,5261.2145,4034.5148,2216.0677,1774.2724,1320.8682,1346.9336,1096.1265,1022.0972,736.215,453.7096,917.3928,428.8294,199.1471,1706.2133,7567.7399,4454.6578,2259.2932,1645.8003,1024.7835,1118.2484,957.935,881.7234,736.7647,545.9261,1276.2202,29213.5606,793,2953,6377,6099,3463,3502,3540,3266
"2022-02-25 19:",3543,0,428,0,6.2,0,2.5,76,0,8,99,38.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,458.8719,192.0523,389.6079,994.0114,1391.3122,977.442,954.4742,686.1715,776.0972,714.6704,649.959,433.2897,339.0135,651.4731,432.771,212.0344,305.9031,1371.6941,1240.9793,1025.3634,919.4948,657.3085,684.0562,520.9619,621.5575,558.0402,375.6816,984.3125,8874.7714,403,0,6377,6099,3463,3502,3540,3266
"2022-04-03 03:",588,0,70,1,4.7,0,1.1,76,0,0,30,22.09,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,974.6061,503.0901,677.9497,768.0523,905.0528,824.8496,1134.9539,964.0097,1030.3915,920.3543,844.65,648.693,469.3164,959.2826,969.4826,515.3176,801.6412,941.7192,924.6858,941.9775,1050.7608,1022.7673,967.6501,955.2908,1030.7931,826.9421,611.0018,1374.0648,7492.0519,0,0,6377,6099,3463,3502,3540,3266
"2022-05-26 12:",3528,4,48,0,22.5,0,4.8,40,0,6,35,506.25,0,1,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1826.7509,1544.2855,1352.2611,990.1928,872.8181,778.7399,990.3872,1097.6798,1253.5156,1011.8098,909.9574,734.5493,573.5916,1214.1327,2059.5076,1725.1559,1472.6036,1089.92,1009.4981,797.4043,1384.4403,1545.8564,1663.3419,1293.9164,1402.3565,1040.0915,769.2642,1818.3069,7913.4007,231,662,6377,6099,3463,3502,3540,3266
