"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-10-31 22:",3502,3,13.5,0,1.8,82,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,538.1305,266.0981,318.6753,393.5699,592.2931,706.2891,766.6124,653.2149,669.1295,600.775,729.7566,487.6519,354.0122,752.5703,559.7666,271.6351,328.0476,581.7244,758.2899,799.848,760.319,541.3387,743.5637,699.4329,893.2467,697.2272,506.4577,1257.0049,107,160,6377,6099,3463,3502,3540,3266
"2022-07-15 15:",3517,1,29.8,0,2.5,60,0,5,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,402.5551,141.6101,149.419,337.5683,469.0212,545.0336,609.8995,610.0457,620.4949,504.3498,656.523,448.3291,326.7908,571.896,249.2062,98.1036,160.672,430.3246,608.5963,552.8214,522.139,491.0061,543.0795,545.8712,642.4205,529.7873,374.1821,907.2114,217,0,6377,6099,3463,3502,3540,3266
"2022-09-09 04:",3853,0,19.8,0,1.4,84,0,1,26,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.5116,145.5038,200.4723,512.7209,622.3963,664.5259,711.4119,482.9387,433.8676,379.6938,406.5267,296.2113,181.8339,419.7697,313.7517,112.1792,273.5653,573.7613,731.8855,704.435,634.4354,442.7195,387.28,359.2677,454.0245,337.5555,301.5605,682.7388,19,1,6377,6099,3463,3502,3540,3266
"2022-10-28 23:",501,6,12.2,0,1.7,76,0,3,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,906.627,467.9994,603.0165,723.491,776.285,689.951,1051.5919,845.9089,906.8884,828.9368,828.6512,589.7344,493.577,858.2577,844.6972,448.9897,649.4935,787.4679,830.6655,821.9338,1044.3258,960.3556,954.1744,878.5539,1093.5646,764.5821,574.1934,1350.1582,161,0,6377,6099,3463,3502,3540,3266
"2022-08-27 14:",3582,5,24.4,0,3.9,47,0,1,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,740.8111,341.9121,1162.8064,3553.7195,3624.8543,1935.2965,1707.2815,1155.102,1218.5382,971.0618,939.3219,700.1723,439.1578,864.8712,1087.4072,504.9883,1698.4032,5423.1316,3833.2505,2092.5526,1555.6126,1170.0559,1262.6945,998.6688,1024.2523,739.9274,534.0654,1203.7979,595,2840,6377,6099,3463,3502,3540,3266
"2022-09-03 07:",540,3,20.6,0,3,68,0,7,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,440.8777,184.5208,469.2864,1319.2964,1436.8892,1049.2673,913.4991,636.3957,529.6303,539.1803,482.0257,396.0016,284.2563,483.2378,332.0465,162.6851,463.2557,1703.1335,1482.1356,1043.0731,818.718,614.0631,525.311,479.3859,536.8312,429.1044,374.6034,846.9824,234,0,6377,6099,3463,3502,3540,3266
"2022-01-12 23:",3543,0,-6.5,0,2.2,46,0,3,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,437.7496,183.2117,323.9381,1039.9598,1405.8324,996.4106,996.5308,605.1486,591.0061,561.8302,529.5327,394.7575,295.864,546.5565,255.0309,124.9511,339.4208,1686.2672,1429.9925,978.9952,823.7819,541.3571,534.5731,469.7198,547.6382,531.3312,327.4527,911.6602,114,0,6377,6099,3463,3502,3540,3266
"2022-12-02 10:",3564,0,-4.1,0,1.9,41,0,0,18,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2208.6165,1867.1046,1404.7217,980.4196,789.9665,754.8145,959.6224,1088.2845,1414.6041,1052.6323,890.1099,753.9854,631.634,1343.1224,2216.3516,1856.5363,1472.2907,1108.9143,922.6196,914.3295,1412.2281,1530.3061,1815.3982,1363.3797,1417.2038,1028.135,762.1762,1840.2122,247,680,6377,6099,3463,3502,3540,3266
"2022-06-30 04:",3501,0,22.9,14.1,1.8,100,0,10,58,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525.9096,320.7334,730.5068,1020.1264,1385.5764,1299.9525,1152.5851,1005.1291,1041.3997,864.1422,882.431,733.2015,463.0722,803.8404,482.0952,278.8595,543.0752,1381.0577,1682.8808,1239.4919,1151.2536,955.205,936.8999,898.9643,1054.2822,879.6679,586.2564,1320.5922,15,0,6377,6099,3463,3502,3540,3266
"2022-06-06 12:",3878,0,20.7,0,3.5,67,0,9,19,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1459.9432,1234.1965,1714.3524,956.1415,865.6443,929.9725,1080.8824,1466.8132,1784.0663,1509.8593,1360.0876,879.964,683.1496,1301.3262,1541.3287,1291.1009,1614.9343,1182.4751,1040.6746,937.3785,1413.8344,1773.3189,2108.8695,1566.6946,1372.5655,1040.6025,759.1256,1815.9691,189,521,6377,6099,3463,3502,3540,3266
"2022-02-10 05:",3575,0,-2.5,0,1.7,62,0,3,43,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534.3541,325.8832,653.5415,1016.7617,1463.3685,1221.0945,1148.4213,947.7802,1101.9702,887.7726,828.8957,702.3912,463.9853,788.2733,526.5717,304.5863,546.1547,1398.3785,1801.4046,1304.6802,1129.9478,985.5451,962.5781,908.8098,1167.1793,861.2474,586.9463,1216.9363,49,0,6377,6099,3463,3502,3540,3266
"2022-04-03 06:",3581,0,3.8,0,0.7,82,0,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,374.0956,156.5708,456.1955,1208.8936,1386.7339,1059.5181,990.5671,564.3051,528.6639,473.285,474.4075,384.1532,298.7457,483.4303,289.5171,141.8475,451.4029,1607.1485,1363.977,906.247,783.2698,501.1158,511.8815,456.1738,480.2233,466.2876,354.0889,846.971,111,0,6377,6099,3463,3502,3540,3266
"2022-09-19 09:",576,3,25.4,0,3.3,68,0,5,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2278.2126,1925.939,1506.0835,937.6514,782.2434,747.0334,946.3322,1185.2531,1513.8894,1068.7765,998.8045,855.2794,623.5613,1411.5328,2515.8773,2107.4354,1573.6812,1078.011,939.8559,871.9724,1376.4435,1632.6903,1844.6676,1540.9695,1537.6586,980.2738,802.7672,1876.7368,389,1152,6377,6099,3463,3502,3540,3266
"2022-05-27 22:",3533,17,19,0,2.5,58,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,979.2453,505.4849,725.8074,838.5417,857.4332,775.8563,1089.4982,905.5871,934.3938,775.0238,790.8934,663.3633,442.7139,919.2921,949.3486,504.6158,877.8136,1019.2043,1071.4983,965.4862,1131.5625,1099.4098,1057.4325,909.5688,1105.7433,843.8599,628.2398,1356.2859,361,0,6377,6099,3463,3502,3540,3266
"2022-11-23 17:",549,10,12.7,0,2.2,39,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,632.8724,349.864,544.3691,455.9971,587.4928,485.4538,653.2773,592.5044,750.6924,541.2326,721.228,530.1725,400.8769,949.9819,769.9002,446.9561,660.3358,520.3485,619.5228,514.7629,748.4565,810.0987,787.6988,742.825,822.0089,749.3663,585.4115,1441.0346,533,992,6377,6099,3463,3502,3540,3266
"2022-09-30 14:",515,1,26.8,0,1.7,46,0,5,56,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,867.0846,405.6346,528.8798,516.7007,572.6621,652.6981,580.4006,712.1842,766.451,601.5918,588.2083,526.7808,363.3099,756.4577,740.9433,321.8457,576.1919,425.6731,704.6974,618.1307,842.0045,617.6731,764.3502,634.2235,662.1263,666.4227,530.6664,1202.6874,314,0,6377,6099,3463,3502,3540,3266
"2022-01-22 20:",3510,0,2.3,0,0.7,41,0,9,88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,750.6072,366.4928,626.4917,661.9431,917.8646,896.4177,1012.0053,873.526,928.1811,908.2674,1178.0969,989.7476,664.8331,1326.0928,799.7627,370.8683,467.3155,810.3435,1024.5501,990.4677,1180.8196,937.9699,1097.5829,1159.6429,1318.6693,1072.1481,956.2258,2205.8451,126,0,6377,6099,3463,3502,3540,3266
