"timestamp","spot_number","rent_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-09-07 21:",3868,4,21.9,0,2.8,65,0,0,21,479.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,887.905,415.3748,454.6327,590.1463,749.7396,835.1014,873.9191,817.3593,915.3058,808.6646,709.0149,669.609,459.4759,926.7197,839.6867,364.7371,507.9083,670.1584,897.6212,901.1126,995.6994,913.7297,917.7217,681.237,905.2381,772.5787,547.0577,1163.0352,6513.498,229,0,6377,6099,3463,3502,3540,3266
"2022-03-26 23:",3563,0,10.1,0,2.4,58,0,8,13,102.01,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,883.8722,480.7309,956.9556,838.8359,903.0183,890.8953,1122.7534,1102.4538,1261.0835,1163.055,998.4852,792.3502,591.4837,951.3944,1282.4128,670.3006,1038.7915,959.1514,1075.2877,1049.7588,1064.0807,1187.7465,1478.8004,1232.3128,1179.2016,991.1981,679.6248,1569.848,7903.7815,150,212,6377,6099,3463,3502,3540,3266
"2022-02-22 15:",3505,0,-0.2,0,3.9,38,0,2,47,0.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1029.1514,531.2463,577.743,760.5283,821.035,640.8268,821.671,735.9284,713.5011,677.6349,586.1804,506.2762,409.9542,838.2997,964.3299,512.5789,666.0287,973.1599,860.7059,834.0607,978.2749,809.8425,922.4446,918.4072,990.8793,864.1129,593.6778,1320.5931,6690.2625,318,0,6377,6099,3463,3502,3540,3266
"2022-08-24 20:",3587,6,25,0,2.6,66,0,6,20,625,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1293.4581,703.5018,1060.6935,984.9202,1129.1707,986.877,1186.448,1070.0443,1253.593,1238.3141,1176.6513,824.6396,568.8854,1044.323,1465.9349,766.2256,1136.465,1169.3543,1139.1713,1155.3086,1283.0681,1182.5647,1573.069,1204.998,1282.5551,1042.9724,692.2215,1627.5487,9034.3182,490,998,6377,6099,3463,3502,3540,3266
"2022-12-18 03:",3853,0,-11,0,2,57,1.5,0,23,121,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,527.9446,175.9813,188.3303,584.9913,716.0736,699.7369,689.5458,481.2867,495.2787,388.9405,394.6383,264.9759,207.5288,412.2385,394.7624,141.1439,277.6941,688.9409,868.1165,848.9648,686.5878,489.3276,406.4635,371.0565,445.3992,299.0264,326.3192,661.285,5782.9576,0,0,6377,6099,3463,3502,3540,3266
"2022-02-08 23:",3510,0,-1.2,0,0.8,67,0,4,34,1.44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,705.8571,344.6434,666.6253,782.905,1121.3224,1024.1031,1121.2602,896.0697,1000.0241,1001.9558,1320.4159,1017.4842,698.2211,1370.8541,815.3312,378.0877,543.4308,875.1596,1157.2474,1235.231,1197.8944,1029.2866,1144.9288,1265.2809,1465.1705,1287.9509,907.9529,2197.3381,8515.1231,25,0,6377,6099,3463,3502,3540,3266
"2022-03-17 16:",3860,3,14.7,0,1.9,47,0,10,73,216.09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,559.9779,258.4509,1606.8474,4002.6427,2970.0015,1737.8408,1599.5273,1124.9126,1262.9208,1099.4403,1044.3865,704.3196,456.8707,849.9275,435.0098,202.017,1746.6199,5826.4568,3336.1903,1762.6109,1425.7769,1114.1422,1304.0343,1011.9719,1023.9307,749.704,632.54,1412.6386,22661.0472,556,2487,6377,6099,3463,3502,3540,3266
"2022-05-23 02:",3581,0,18.1,0,0.5,85,0,7,65,327.61,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,411.4309,172.1968,475.2503,1224.6412,1480.3114,971.3993,1054.4899,589.2387,536.2756,555.9593,556.0873,409.6636,298.1777,524.6408,328.4175,160.9072,529.1613,1840.6842,1416.8399,979.9588,819.9699,560.3041,508.6906,468.0878,509.1997,526.4964,366.2862,854.2399,9788.2946,10,0,6377,6099,3463,3502,3540,3266
"2022-11-24 18:",3587,5,11.6,0,1.3,65,0,0,58,134.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1458.8646,793.4647,1146.3886,951.5707,1164.0862,1184.1814,1461.4876,1425.8614,1522.9143,1457.3219,1203.4551,927.0197,591.8961,1187.9954,1635.2486,854.724,1277.6517,969.7931,1430.1707,1233.0918,1536.908,1399.8389,1683.0126,1417.802,1371.7267,1175.0718,778.5511,1653.6231,9931.2895,885,2189,6377,6099,3463,3502,3540,3266
"2022-02-04 11:",576,0,-3.6,0,4.7,38,0,0,22,12.96,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1738.7754,1469.9133,1763.404,976.3509,729.2158,771.1493,1081.1747,1154.9417,1298.4815,1115.2467,1102.6488,784.5902,606.8678,1187.0808,1981.8992,1660.1467,1585.876,1206.0128,856.454,884.2904,1452.6587,1646.6534,1815.8131,1423.5513,1360.0771,1058.328,784.4655,1924.2022,7957.3066,199,534,6377,6099,3463,3502,3540,3266
"2022-06-27 20:",551,5,27.1,0,4.7,81,0,10,11,734.41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1241.4029,675.1889,1076.5152,975.4962,1070.5473,1021.222,1176.3101,1155.1958,1341.9608,1293.5837,1081.8502,798.5114,619.1673,1016.9366,1531.6341,800.5657,1225.0309,1012.4454,1287.0375,1146.9157,1256.4674,1321.9212,1555.8657,1278.8671,1247.9157,1135.9453,704.7444,1483.6615,8946.4416,455,876,6377,6099,3463,3502,3540,3266
"2022-10-13 18:",552,3,20.2,0,0.6,57,0,4,27,408.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1441.5662,784.0561,1106.7957,895.9111,1127.0668,1129.8895,1412.5733,1300.4623,1425.6332,1303.0627,1188.9261,877.7893,646.1709,1088.8913,1470.3882,768.5535,1225.2059,1031.0487,1370.3346,1209.1613,1430.5495,1322.0669,1676.278,1333.4496,1262.7808,1133.368,725.1097,1573.0232,9606.5348,902,2078,6377,6099,3463,3502,3540,3266
"2022-07-17 16:",3507,4,29.2,0,4,66,0,8,29,852.64,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,591.1122,197.0372,241.8601,603.1284,812.0461,909.8537,942.4163,784.7018,648.6281,504.5388,427.1197,410.0488,305.809,651.6214,535.4704,191.4528,325.7191,870.7023,1037.6295,925.884,1079.8073,647.3187,533.5327,451.6702,532.0026,517.6649,401.0233,1033.0873,7181.4676,341,1677,6377,6099,3463,3502,3540,3266
"2022-06-01 10:",3882,7,24.8,0,2.5,35,0,3,33,615.04,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,713.221,333.6548,469.5585,694.2378,793.8377,926.474,964.7332,859.2225,912.0273,700.8168,698.8111,615.8372,490.8048,791.636,693.6534,301.3039,488.1284,715.8519,879.7419,943.3628,1068.9861,846.7621,888.32,693.9826,820.5525,754.9299,564.5311,1245.4212,6987.2254,372,0,6377,6099,3463,3502,3540,3266
"2022-02-06 11:",3586,0,-1.4,0,3.3,45,0,0,27,1.96,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,474.9423,198.7782,339.676,1101.3536,1388.8388,1101.2661,971.8344,717.9495,636.3458,607.6841,626.734,460.7827,342.1749,506.0341,285.498,139.879,375.9417,1331.0224,1348.6778,1000.0067,890.3953,609.4329,606.6182,493.0292,599.119,482.721,345.9277,971.7365,9133.3951,281,0,6377,6099,3463,3502,3540,3266
