"timestamp","spot_number","return_num","temp","rain","wind","wet","snow","cloud","dust","temp.sqr","sunny","1_2","2_3","3_4","4_5","5_6","6_7","7_8","8_9","9_10","10_11","11_12","12_13","13_14","14_15","15_16","16_17","17_18","18_19","19_20","20_21","21_22","22_23","23_24","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger","ele_male","ele_female","mid_male","mid_female","high_male","high_female"
"2022-02-04 12:",593,0,-2.6,0,4,40,0,0,17,6.76,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1034.7654,484.0777,540.0931,581.0761,733.6274,720.0726,702.1403,805.1979,740.5235,691.5486,555.376,603.311,430.7085,873.0201,860.4979,373.7763,505.2749,583.1617,637.8011,663.6884,924.3305,760.7676,746.641,693.39,799.388,747.6587,507.9611,1133.2783,5545.8981,379,0,6377,6099,3463,3502,3540,3266
"2022-05-11 22:",593,6,17,0,2.9,63,0,7,20,289,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,778.824,364.3451,453.9679,563.6843,825.806,916.0401,1054.217,838.8346,987.9681,757.8738,650.7804,616.0664,456.7787,896.8295,752.9791,327.0733,430.6211,688.3201,976.635,920.5754,1120.603,882.3854,902.7429,732.615,915.451,794.3471,592.9109,1302.7641,7065.8809,177,0,6377,6099,3463,3502,3540,3266
"2022-10-25 17:",593,5,16.3,0,1.5,42,0,0,23,265.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1046.7158,489.6686,356.9857,484.3778,584.0755,638.0815,741.5632,675.2995,744.5229,689.8304,711.9156,539.426,404.5698,861.1332,820.5345,356.4175,402.33,497.3526,613.55,617.6208,834.8848,747.0332,746.972,571.6936,785.3474,711.6195,477.7789,1181.6176,5011.5062,371,0,6377,6099,3463,3502,3540,3266
"2022-04-14 23:",3543,0,11.9,0,3.3,53,0,8,12,141.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,395.0358,165.3349,536.695,1221.5365,1515.4903,1037.9011,948.3645,583.78,576.852,542.9442,572.8951,417.5295,293.2141,492.7524,242.9087,119.0125,485.7389,1675.668,1436.9301,946.5661,903.4593,567.2367,513.102,471.4197,515.228,500.7426,332.5055,806.7023,9685.9159,202,0,6377,6099,3463,3502,3540,3266
"2022-04-09 10:",3543,0,17,0,1.9,50,0,3,30,289,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,405.0339,169.5193,474.4118,1229.9811,1456.8644,1033.0926,1018.2971,681.4677,594.7305,538.2331,574.6694,406.5109,324.2027,587.2972,361.1047,176.9217,467.9514,1570.39,1319.1687,910.1095,778.7505,613.6227,591.1787,527.3559,568.9168,428.9088,328.1999,808.8323,9316.6539,419,0,6377,6099,3463,3502,3540,3266
"2022-01-04 19:",3543,0,-2.6,0,0.7,35,0,0,33,6.76,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,381.5058,159.6719,412.339,995.5725,1381.0244,1091.4379,945.2802,754.4138,851.0726,703.9496,652.5589,450.7192,365.4018,637.2349,334.3535,163.8152,308.2924,1349.8151,1383.9524,944.9571,845.1322,617.2513,677.285,578.4675,595.3514,556.2309,376.8092,1018.7791,8937.1718,440,0,6377,6099,3463,3502,3540,3266
"2022-08-01 20:",3543,0,30.2,0,3.5,71,0,9,31,912.04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,493.9855,206.7483,415.8284,1072.4929,1408.495,1049.8129,1052.2767,731.4407,730.3491,625.5173,684.6412,462.0516,338.985,557.3351,446.8839,218.949,330.5538,1435.4844,1404.8704,1053.3538,982.7707,672.2408,647.7498,562.78,590.6564,465.0438,417.034,944.9838,9459.5568,314,0,6377,6099,3463,3502,3540,3266
"2022-06-29 08:",3543,3,25,0.1,6.1,95,0,10,20,625,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241.9823,101.277,309.7651,1246.2871,1343.406,1064.0592,978.927,719.3603,712.4096,656.601,620.0673,443.5222,297.2223,578.6355,212.8118,104.2664,329.7625,1639.7895,1331.3281,988.9071,928.6866,752.6204,686.5224,570.3213,560.2934,488.7927,444.6445,972.6226,9521.3906,1045,0,6377,6099,3463,3502,3540,3266
"2022-11-10 03:",3543,0,11.4,0,1.1,78,0,0,66,129.96,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.3587,167.5628,453.554,1297.6136,1416.8009,976.8015,979.7097,663.3332,631.3628,511.6799,508.8811,424.931,274.1257,531.0007,327.5186,160.4666,473.115,1909.0653,1518.3974,1083.5531,829.5014,610.8106,488.0911,492.4948,497.5763,485.2212,322.4438,816.8358,10011.4429,13,0,6377,6099,3463,3502,3540,3266
"2022-02-18 07:",3543,0,-7.8,0,2.3,57,0,0,50,60.84,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,400.557,167.6458,292.2616,1099.9464,1404.0703,1030.228,885.5933,627.1235,634.4218,554.2729,517.4529,412.6711,327.8598,557.7424,261.1137,127.9315,300.6588,1501.8253,1424.1363,1005.5817,857.4778,598.4481,484.2154,550.0695,574.3271,509.0236,344.7332,903.6114,9208.8591,538,0,6377,6099,3463,3502,3540,3266
"2022-09-10 19:",3543,1,25.9,0,1.4,51,0,9,7,670.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,510.1116,213.4975,287.8707,795.3802,945.6349,856.8638,791.4204,671.59,635.4019,586.0721,606.1657,436.1935,286.6074,584.5665,370.9526,181.7468,306.9289,824.2649,819.1328,640.5635,633.4935,603.1892,578.9283,511.5825,496.3319,476.0909,367.1141,993.8972,6306.754,266,0,6377,6099,3463,3502,3540,3266
"2022-07-18 18:",3543,0,29.1,0,2,65,0,7,26,846.81,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,370.987,155.2693,316.4217,1111.6456,1358.256,1015.7125,913.5394,807.2745,799.6286,719.3148,664.7025,506.8358,322.0343,592.2493,434.7188,212.9888,410.7813,1368.8201,1225.262,965.6003,905.6037,698.7461,661.6265,577.6225,565.5178,499.5286,429.037,980.1553,8864.4396,718,0,6377,6099,3463,3502,3540,3266
"2022-10-04 12:",3543,1,18.3,0,4.5,81,0,8,20,334.89,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,314.4233,131.5959,749.0036,2607.2557,1623.6424,892.1439,870.6758,758.6394,798.4648,666.7568,616.8133,416.4332,344.1797,566.9724,274.11,134.299,953.8151,2769.8497,1315.3603,893.2219,930.5096,735.0939,683.4296,610.6527,650.9188,520.0272,411.2342,988.2883,11902.6593,430,0,6377,6099,3463,3502,3540,3266
"2022-10-07 16:",3543,2,18.2,0,3.3,58,0,2,16,331.24,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,466.9452,195.4307,588.6195,1781.4397,1467.9087,970.8903,981.3941,767.6836,828.6121,611.5305,678.0715,462.3302,311.9542,537.8802,361.0966,176.9179,592.7624,2044.903,1223.0423,888.2538,914.0503,623.4667,684.9318,632.7949,583.89,482.2846,351.5752,978.301,10271.8822,585,0,6377,6099,3463,3502,3540,3266
"2022-04-24 21:",3543,1,16.9,0,2.7,83,0,8,21,285.61,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,416.4187,174.2841,452.1681,1349.524,1607.9964,1178.0838,1010.0572,631.4439,656.7186,578.6228,602.0494,456.6499,334.0057,550.312,397.6169,194.8108,478.4872,1673.6838,1444.7293,1047.4391,939.4498,599.6129,612.9067,507.0606,575.4926,505.1365,380.311,931.8617,10250.9634,228,0,6377,6099,3463,3502,3540,3266
"2022-01-17 08:",3543,1,-8.6,0,0.5,60,0,0,24,73.96,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.475,183.9338,375.405,1099.5968,1319.8864,1026.2237,1002.9246,714.5831,735.4685,647.9053,573.0648,396.5906,331.0704,552.0643,271.9742,133.2525,413.7647,1608.5619,1331.153,948.5003,834.7823,666.0603,605.6113,560.2135,557.296,529.4031,370.2182,977.719,9171.629,876,0,6377,6099,3463,3502,3540,3266
