"y","bus_passenger","past_rent","sub_passenger","temp","wet","X8_9","m25","m5","f20","m30","f0","sunny","f55","m40","m20","f25","m65","f65","f15","m45","f60","m0","wind","f30","m55","rain","dust","f70","f35","f45","m60","m35","most_use","f40","m70","m50","f50","cloud","weekend","X9_10","X17_18","X23_24","temp.sqr","X15_16","X22_23","semester","snow"
0,28,1,0,-5.8,52,0,3502.4904,434.1726,4775.0704,1760.4701,288.5762,0,647.3592,884.6295,2757.503,3567.5378,402.6155,496.2779,650.0474,953.1996,636.0671,451.7634,2.1,1899.451,699.2396,0,29,1091.5168,1171.9583,723.9464,519.202,1298.267,20732.748,663.4489,768.6048,748.8319,681.5611,0,0,0,0,0,33.64,0,0,0,0
1,21,0,0,-6.4,56,0,3491.2571,417.6675,4815.8483,1754.8118,285.7222,0,640.2234,901.255,2772.7609,3579.102,407.4006,502.6214,671.1149,957.8903,631.7989,464.014,1.7,1887.8221,683.5991,0,25,1121.5832,1184.0139,722.0812,507.8375,1314.0017,20799.6178,662.989,754.1195,757.3202,681.0465,5,0,0,0,0,40.96,0,0,0,0
0,9,0,0,-7,59,0,3487.9432,438.2313,4798.7789,1754.4657,302.9079,0,632.5592,904.8807,2780.6139,3579.6345,390.0664,504.5646,687.2134,965.8599,633.0392,494.9173,1.6,1884.7284,719.0592,0,21,1092.3598,1176.7656,724.244,493.8672,1299.2547,20762.1849,675.5828,759.2225,749.408,687.0972,2,0,0,0,0,49,0,0,0,0
0,35,1,10,-7.2,61,0,3518.3709,446.1406,4752.0265,1779.2022,307.4638,0,656.7043,894.8631,2803.1913,3579.2221,397.9289,478.4149,678.9458,970.6791,631.4011,507.3804,1.3,1880.5437,708.5429,0,30,1133.1607,1212.531,723.0045,502.8778,1301.6667,20826.7544,685.3887,770.3506,742.6971,698.4787,3,0,0,0,0,51.84,0,0,0,0
0,64,1,565,-7.4,59,0,3487.6214,440.6551,4772.6754,1789.8582,291.5509,0,666.4392,915.6993,2795.1302,3560.5171,409.5458,483.2726,675.2878,1008.9347,659.0093,445.032,0.3,1910.9327,727.9901,0,24,1113.8521,1226.4843,709.2058,530.6742,1292.5421,20835.7614,683.1681,793.6769,762.1957,712.693,2,0,0,0,0,54.76,0,0,0,0
1,173,0,892,-7.8,55,0,3454.61,459.447,4694.4118,1791.7569,301.4263,0,722.7125,926.5137,2756.9281,3569.0227,434.1096,523.1746,674.2249,996.9741,642.1534,460.1583,2.1,1890.5477,774.9457,0,22,1165.0858,1238.8622,731.2445,536.3459,1361.1127,20757.2521,683.3059,819.6501,789.6308,696.985,1,0,0,0,0,60.84,0,0,0,0
2,344,3,2435,-7.7,54,0,3324.0483,430.9352,4636.7636,1801.4965,352.3485,0,779.1232,1025.6266,2652.1441,3455.4277,484.3968,534.9,658.9151,1149.7792,697.5645,487.1381,2,1902.6712,844.6391,0,21,1267.5847,1310.0714,802.7161,598.5327,1453.0328,20535.6556,743.9412,858.7583,895.0344,772.7932,0,0,0,0,0,59.29,0,0,0,0
4,712,3,4472,-7.6,55,1,2847.9055,644.902,4270.768,1648.7732,375.8258,0,843.9229,1119.5196,2519.3405,3084.5751,517.2983,533.7396,743.7441,1208.1979,728.622,436.3641,1.6,1705.8362,913.6478,0,25,1304.7471,1263.8432,924.3551,643.2286,1426.351,18767.3927,925.8083,869.331,1018.9741,936.5414,1,0,0,0,0,57.76,0,0,0,0
7,484,9,2597,-6.9,55,0,2662.0406,672.8843,3956.3774,1612.2712,376.2878,0,895.3672,1181.4821,2482.0831,2871.5283,549.8313,562.8275,686.4385,1250.4559,767.7525,468.4626,1.7,1671.153,1001.3734,0,23,1391.9837,1285.0733,1035.5256,736.8433,1395.7268,17936.2537,940.7677,922.4688,1103.368,915.2747,1,0,1,0,0,47.61,0,0,0,0
1,332,3,1361,-4,55,0,2688.0373,744.7539,3960.7385,1640.1081,362.6595,0,910.2718,1159.787,2511.324,2821.1083,514.519,586.9194,754.2041,1312.3121,765.2355,509.9497,1.2,1675.3203,1056.6613,0,20,1392.7046,1342.5714,1173.343,746.2477,1439.9264,18079.1343,1009.0316,859.6573,1166.6949,943.9601,2,0,0,0,0,16,0,0,0,0
1,306,1,1430,-1.4,44,0,2626.2692,878.6157,4061.4116,1662.9091,430.8532,0,919.8563,1156.4928,2534.5863,2868.6999,551.6107,593.273,863.6813,1295.4737,776.9227,517.4044,1.5,1684.9537,1081.0416,0,32,1475.7007,1418.3272,1104.404,717.0376,1466.3247,18323.4817,1043.2783,906.669,1122.7146,946.7855,0,0,0,0,0,1.96,0,0,0,0
2,350,3,1601,0.9,36,0,2693.7614,857.3689,4233.7315,1720.4887,371.4619,0,921.7864,1224.5282,2710.3982,2922.4458,541.5435,622.8533,1014.0743,1293.3652,798.234,458.3968,2.1,1625.2388,1075.5495,0,38,1309.883,1447.0067,1121.1977,739.0346,1510.9998,18864.0709,1013.2716,926.741,1154.8022,1008.2463,2,0,0,0,0,0.81,0,0,0,0
2,407,1,1661,1.7,43,0,2721.8669,776.4583,4305.2457,1717.156,477.6398,1,930.1997,1210.1774,2856.6664,2941.0495,542.9097,629.8864,1117.9918,1311.0648,807.4246,554.3713,2.8,1699.0385,1066.5346,0,35,1360.3603,1398.3945,1156.7422,759.8518,1460.7442,19100.1617,1056.2872,956.0724,1217.4117,1044.9356,4,0,0,0,0,2.89,0,0,0,0
1,409,4,1746,2,43,0,2828.2211,774.643,4551.2047,1716.8676,405.9336,1,1000.6554,1277.6667,2913.5869,2947.6832,541.6243,617.1358,1331.7675,1334.6582,841.7481,451.932,2.4,1718.2784,1092.2724,0,37,1314.2719,1423.4154,1176.4602,737.439,1520.8883,19620.1456,1152.2567,924.2738,1235.0978,1042.1027,6,0,0,0,0,4,0,0,0,0
2,475,1,2078,2.2,48,0,2861.655,862.0225,4622.7266,1743.0036,421.9394,1,964.4287,1279.4113,3048.8963,3001.5806,503.9378,633.3601,1509.9943,1273.3366,844.4154,518.499,2.2,1732.9643,1004.7152,0,33,1320.5806,1458.7331,1213.4825,739.1344,1563.615,20033.1745,1115.5868,908.7911,1182.228,987.4939,6,0,0,0,0,4.84,1,0,0,0
1,576,0,2675,2.3,49,0,2945.7799,1113.7642,4704.3098,1758.573,401.7319,1,913.6478,1264.2411,3128.9349,3014.8984,509.5979,575.3131,1773.7533,1286.7302,837.3723,527.9048,2.4,1653.7936,931.7262,0,37,1322.5985,1330.0928,1165.018,703.575,1541.2622,20077.6446,1060.8693,924.7538,1200.9963,1036.4946,7,0,0,0,0,5.29,0,0,0,0
1,626,3,3455,1.6,56,0,3144.4974,1462.203,5077.701,1832.8592,470.282,1,912.9846,1260.9816,3566.9292,3165.3341,528.022,591.3638,2060.307,1265.1751,794.8837,478.9472,3,1699.6399,862.4286,0,38,1304.803,1307.0461,1125.9201,662.4177,1580.843,21374.8499,1050.205,918.6571,1119.0981,969.4632,8,0,0,1,0,2.56,0,0,0,0
12,939,1,4126,1.3,58,0,3613.3573,1744.4481,5727.6594,2164.098,458.8049,1,952.0257,1358.0766,4113.3908,3976.3613,510.3344,613.0449,2215.459,1371.9742,790.7419,486.4166,1.9,2191.8572,922.902,0,31,1259.3332,1477.9913,1187.7941,717.9191,1658.274,24922.9893,1075.355,933.1072,1149.0736,969.3633,9,0,0,0,0,1.69,0,0,0,0
3,729,9,2725,1.3,65,0,3726.0957,1583.4592,5850.444,2131.5452,461.8789,1,909.9748,1230.2638,4065.1125,4043.4377,491.4713,628.8605,2102.8311,1213.1551,784.2587,477.2858,2.6,2116.7063,864.4499,0,21,1230.6667,1431.2488,1112.8779,650.9527,1653.4535,25018.0437,979.0794,876.745,1018.1303,904.3468,9,0,0,0,0,1.69,0,0,0,0
