"y","m30","f20","m25","X8_9","temp","sub_passenger","past_rent","f40","f50","f15","m20","f25","f45","f60","wet","m60","X9_10","semester","f35","m35","f55","bus_passenger","rain","m40","m55","m0","m50","m45","f30","dust","m70","m65","f65","f0","wind","sunny","m5","f70","X16_17","most_use","cloud","X15_16","X10_11","temp.sqr","X13_14","X12_13"
0,1760.4701,4775.0704,3502.4904,0,-5.8,0,0,663.4489,681.5611,650.0474,2757.503,3567.5378,723.9464,636.0671,52,519.202,0,0,1171.9583,1298.267,647.3592,28,0,884.6295,699.2396,451.7634,748.8319,953.1996,1899.451,29,768.6048,402.6155,496.2779,288.5762,2.1,0,434.1726,1091.5168,0,20732.748,0,0,0,33.64,0,0
0,1754.8118,4815.8483,3491.2571,0,-6.4,0,0,662.989,681.0465,671.1149,2772.7609,3579.102,722.0812,631.7989,56,507.8375,0,0,1184.0139,1314.0017,640.2234,21,0,901.255,683.5991,464.014,757.3202,957.8903,1887.8221,25,754.1195,407.4006,502.6214,285.7222,1.7,0,417.6675,1121.5832,0,20799.6178,5,0,0,40.96,0,0
0,1754.4657,4798.7789,3487.9432,0,-7,0,0,675.5828,687.0972,687.2134,2780.6139,3579.6345,724.244,633.0392,59,493.8672,0,0,1176.7656,1299.2547,632.5592,9,0,904.8807,719.0592,494.9173,749.408,965.8599,1884.7284,21,759.2225,390.0664,504.5646,302.9079,1.6,0,438.2313,1092.3598,0,20762.1849,2,0,0,49,0,0
0,1779.2022,4752.0265,3518.3709,0,-7.2,10,0,685.3887,698.4787,678.9458,2803.1913,3579.2221,723.0045,631.4011,61,502.8778,0,0,1212.531,1301.6667,656.7043,35,0,894.8631,708.5429,507.3804,742.6971,970.6791,1880.5437,30,770.3506,397.9289,478.4149,307.4638,1.3,0,446.1406,1133.1607,0,20826.7544,3,0,0,51.84,0,0
0,1789.8582,4772.6754,3487.6214,0,-7.4,565,0,683.1681,712.693,675.2878,2795.1302,3560.5171,709.2058,659.0093,59,530.6742,0,0,1226.4843,1292.5421,666.4392,64,0,915.6993,727.9901,445.032,762.1957,1008.9347,1910.9327,24,793.6769,409.5458,483.2726,291.5509,0.3,0,440.6551,1113.8521,0,20835.7614,2,0,0,54.76,0,0
0,1791.7569,4694.4118,3454.61,0,-7.8,892,0,683.3059,696.985,674.2249,2756.9281,3569.0227,731.2445,642.1534,55,536.3459,0,0,1238.8622,1361.1127,722.7125,173,0,926.5137,774.9457,460.1583,789.6308,996.9741,1890.5477,22,819.6501,434.1096,523.1746,301.4263,2.1,0,459.447,1165.0858,0,20757.2521,1,0,0,60.84,0,0
0,1801.4965,4636.7636,3324.0483,0,-7.7,2435,0,743.9412,772.7932,658.9151,2652.1441,3455.4277,802.7161,697.5645,54,598.5327,0,0,1310.0714,1453.0328,779.1232,344,0,1025.6266,844.6391,487.1381,895.0344,1149.7792,1902.6712,21,858.7583,484.3968,534.9,352.3485,2,0,430.9352,1267.5847,0,20535.6556,0,0,0,59.29,0,0
1,1648.7732,4270.768,2847.9055,1,-7.6,4472,1,925.8083,936.5414,743.7441,2519.3405,3084.5751,924.3551,728.622,55,643.2286,0,0,1263.8432,1426.351,843.9229,712,0,1119.5196,913.6478,436.3641,1018.9741,1208.1979,1705.8362,25,869.331,517.2983,533.7396,375.8258,1.6,0,644.902,1304.7471,0,18767.3927,1,0,0,57.76,0,0
0,1612.2712,3956.3774,2662.0406,0,-6.9,2597,0,940.7677,915.2747,686.4385,2482.0831,2871.5283,1035.5256,767.7525,55,736.8433,1,0,1285.0733,1395.7268,895.3672,484,0,1181.4821,1001.3734,468.4626,1103.368,1250.4559,1671.153,23,922.4688,549.8313,562.8275,376.2878,1.7,0,672.8843,1391.9837,0,17936.2537,1,0,0,47.61,0,0
2,1640.1081,3960.7385,2688.0373,0,-4,1361,0,1009.0316,943.9601,754.2041,2511.324,2821.1083,1173.343,765.2355,55,746.2477,0,0,1342.5714,1439.9264,910.2718,332,0,1159.787,1056.6613,509.9497,1166.6949,1312.3121,1675.3203,20,859.6573,514.519,586.9194,362.6595,1.2,0,744.7539,1392.7046,0,18079.1343,2,0,1,16,0,0
0,1662.9091,4061.4116,2626.2692,0,-1.4,1430,0,1043.2783,946.7855,863.6813,2534.5863,2868.6999,1104.404,776.9227,44,717.0376,0,0,1418.3272,1466.3247,919.8563,306,0,1156.4928,1081.0416,517.4044,1122.7146,1295.4737,1684.9537,32,906.669,551.6107,593.273,430.8532,1.5,0,878.6157,1475.7007,0,18323.4817,0,0,0,1.96,0,0
0,1720.4887,4233.7315,2693.7614,0,0.9,1601,0,1013.2716,1008.2463,1014.0743,2710.3982,2922.4458,1121.1977,798.234,36,739.0346,0,0,1447.0067,1510.9998,921.7864,350,0,1224.5282,1075.5495,458.3968,1154.8022,1293.3652,1625.2388,38,926.741,541.5435,622.8533,371.4619,2.1,0,857.3689,1309.883,0,18864.0709,2,0,0,0.81,0,1
