"y","m30","f20","sub_passenger","m25","temp","past_rent","f15","f40","m20","semester","bus_passenger","X10_11","rain","X8_9","f45","X9_10","f25","wet","f50","m50","m35","m55","f55","m45","m0","cloud","X15_16","f35","m5","f30","f0","dust","f60","m40","f70","m65","sunny","wind","m70","temp.sqr","f65","m60","most_use","X12_13","X13_14"
0,2047.8595,5350.0875,3853,3996.4277,-2.6,0,1915.152,809.7796,3990.1439,0,469,0,0,0,898.2168,0,3893.08,46,785.26,803.9074,1432.3184,808.785,800.1316,1073.7328,580.0914,0,0,1295.8298,1639.9636,1875.5813,416.575,27,691.6397,964.321,1219.6571,408.2072,0,1.6,788.7672,6.76,551.7985,540.6714,23881.3281,0,0
0,1917.7334,4760.5238,4295,3656.7708,-2.9,0,1058.0538,783.3676,3147.1985,0,642,0,0,0,847.5671,0,3619.6258,48,799.0475,841.3478,1363.413,811.96,765.0819,1028.2462,558.5282,0,0,1194.3992,906.2387,1843.4158,419.1941,20,666.741,942.9685,1175.6434,427.58,0,2.7,778.7249,8.41,551.3256,547.0492,21503.0803,0,0
0,1884.5123,4706.2114,1183,3555.0641,-3.8,0,767.9079,795.783,2838.5561,0,290,0,0,0,827.7268,0,3542.5483,49,799.6374,800.7484,1342.2597,763.2258,737.9257,1039.9894,576.0977,0,0,1203.7896,642.8577,1842.3086,392.1807,33,683.2331,895.4819,1165.0347,434.2469,0,2.1,793.1548,14.44,564.4722,558.7961,20915.2501,0,0
0,1756.178,4753.8475,296,3454.4892,-4.4,0,635.5786,711.2368,2702.1775,0,116,0,0,0,705.2005,0,3512.6591,48,693.2796,746.819,1322.5,704.2859,641.8205,983.0021,454.4504,0,0,1167.7962,412.8902,1853.8448,302.5978,26,613.1592,892.449,1144.6911,409.5073,0,2.9,750.5164,19.36,500.2525,527.5285,20523.4923,0,0
0,1746.7593,4745.3337,0,3483.7838,-5.2,0,630.3021,689.1734,2739.8139,0,54,0,0,0,710.2858,0,3556.0776,51,685.142,731.7209,1301.7749,702.5412,640.3266,991.3523,470.1789,1,0,1180.2811,429.0108,1867.0894,298.2608,27,623.4963,898.57,1090.2994,412.3134,0,1.6,760.0452,27.04,494.7284,527.1577,20620.9137,0,0
0,1760.4701,4775.0704,0,3502.4904,-5.8,0,650.0474,663.4489,2757.503,0,28,0,0,0,723.9464,0,3567.5378,52,681.5611,748.8319,1298.267,699.2396,647.3592,953.1996,451.7634,0,0,1171.9583,434.1726,1899.451,288.5762,29,636.0671,884.6295,1091.5168,402.6155,0,2.1,768.6048,33.64,496.2779,519.202,20732.748,0,0
0,1754.8118,4815.8483,0,3491.2571,-6.4,0,671.1149,662.989,2772.7609,0,21,0,0,0,722.0812,0,3579.102,56,681.0465,757.3202,1314.0017,683.5991,640.2234,957.8903,464.014,5,0,1184.0139,417.6675,1887.8221,285.7222,25,631.7989,901.255,1121.5832,407.4006,0,1.7,754.1195,40.96,502.6214,507.8375,20799.6178,0,0
0,1754.4657,4798.7789,0,3487.9432,-7,0,687.2134,675.5828,2780.6139,0,9,0,0,0,724.244,0,3579.6345,59,687.0972,749.408,1299.2547,719.0592,632.5592,965.8599,494.9173,2,0,1176.7656,438.2313,1884.7284,302.9079,21,633.0392,904.8807,1092.3598,390.0664,0,1.6,759.2225,49,504.5646,493.8672,20762.1849,0,0
0,1779.2022,4752.0265,10,3518.3709,-7.2,0,678.9458,685.3887,2803.1913,0,35,0,0,0,723.0045,0,3579.2221,61,698.4787,742.6971,1301.6667,708.5429,656.7043,970.6791,507.3804,3,0,1212.531,446.1406,1880.5437,307.4638,30,631.4011,894.8631,1133.1607,397.9289,0,1.3,770.3506,51.84,478.4149,502.8778,20826.7544,0,0
0,1789.8582,4772.6754,565,3487.6214,-7.4,0,675.2878,683.1681,2795.1302,0,64,0,0,0,709.2058,0,3560.5171,59,712.693,762.1957,1292.5421,727.9901,666.4392,1008.9347,445.032,2,0,1226.4843,440.6551,1910.9327,291.5509,24,659.0093,915.6993,1113.8521,409.5458,0,0.3,793.6769,54.76,483.2726,530.6742,20835.7614,0,0
