"y","rain","wind","wet","snow","cloud","temp.sqr","sunny","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m5","m20","m25","m30","m35","m45","m50","m55","m65","m70","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","bus_passenger","sub_passenger"
0,0,2.1,52,0,0,33.64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.7634,434.1726,2757.503,3502.4904,1760.4701,1298.267,953.1996,748.8319,699.2396,402.6155,768.6048,134.014,650.0474,4775.0704,3567.5378,1899.451,1171.9583,663.4489,723.9464,681.5611,647.3592,636.0671,496.2779,1091.5168,28,0
0,0,1.7,56,0,5,40.96,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.014,417.6675,2772.7609,3491.2571,1754.8118,1314.0017,957.8903,757.3202,683.5991,407.4006,754.1195,132.6885,671.1149,4815.8483,3579.102,1887.8221,1184.0139,662.989,722.0812,681.0465,640.2234,631.7989,502.6214,1121.5832,21,0
0,0,1.6,59,0,2,49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.9173,438.2313,2780.6139,3487.9432,1754.4657,1299.2547,965.8599,749.408,719.0592,390.0664,759.2225,140.6699,687.2134,4798.7789,3579.6345,1884.7284,1176.7656,675.5828,724.244,687.0972,632.5592,633.0392,504.5646,1092.3598,9,0
0,0,1.3,61,0,3,51.84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.3804,446.1406,2803.1913,3518.3709,1779.2022,1301.6667,970.6791,742.6971,708.5429,397.9289,770.3506,142.7852,678.9458,4752.0265,3579.2221,1880.5437,1212.531,685.3887,723.0045,698.4787,656.7043,631.4011,478.4149,1133.1607,35,10
0,0,0.3,59,0,2,54.76,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.032,440.6551,2795.1302,3487.6214,1789.8582,1292.5421,1008.9347,762.1957,727.9901,409.5458,793.6769,135.3952,675.2878,4772.6754,3560.5171,1910.9327,1226.4843,683.1681,709.2058,712.693,666.4392,659.0093,483.2726,1113.8521,64,565
0,0,2.1,55,0,1,60.84,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.1583,459.447,2756.9281,3454.61,1791.7569,1361.1127,996.9741,789.6308,774.9457,434.1096,819.6501,139.9815,674.2249,4694.4118,3569.0227,1890.5477,1238.8622,683.3059,731.2445,696.985,722.7125,642.1534,523.1746,1165.0858,173,892
1,0,2,54,0,0,59.29,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.1381,430.9352,2652.1441,3324.0483,1801.4965,1453.0328,1149.7792,895.0344,844.6391,484.3968,858.7583,163.6295,658.9151,4636.7636,3455.4277,1902.6712,1310.0714,743.9412,802.7161,772.7932,779.1232,697.5645,534.9,1267.5847,344,2435
6,0,1.6,55,0,1,57.76,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.3641,644.902,2519.3405,2847.9055,1648.7732,1426.351,1208.1979,1018.9741,913.6478,517.2983,869.331,174.5323,743.7441,4270.768,3084.5751,1705.8362,1263.8432,925.8083,924.3551,936.5414,843.9229,728.622,533.7396,1304.7471,712,4472
3,0,1.7,55,0,1,47.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.4626,672.8843,2482.0831,2662.0406,1612.2712,1395.7268,1250.4559,1103.368,1001.3734,549.8313,922.4688,174.7467,686.4385,3956.3774,2871.5283,1671.153,1285.0733,940.7677,1035.5256,915.2747,895.3672,767.7525,562.8275,1391.9837,484,2597
2,0,1.2,55,0,2,16,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.9497,744.7539,2511.324,2688.0373,1640.1081,1439.9264,1312.3121,1166.6949,1056.6613,514.519,859.6573,168.4183,754.2041,3960.7385,2821.1083,1675.3203,1342.5714,1009.0316,1173.343,943.9601,910.2718,765.2355,586.9194,1392.7046,332,1361
