"y","station_dist","station_type","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_rent","X8_9","X9_10","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","weekend","m0","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f10","f15","f20","f25","f30","f35","f40","f45","f50","f55","f60","f65","f70","most_use","bus_passenger","sub_passenger"
0,283,0,16.4,0,1.4,82,4,14,268.96,0,0,0,0,0,0,0,0,0,0,0,1,480.2156,200.9849,391.8596,1306.6229,1470.9319,1016.3435,940.4783,616.4001,556.8843,522.8853,492.1677,387.8127,279.6335,534.2573,355.6308,174.2402,355.8887,1581.1999,1427.5744,954.45,831.6846,606.6547,551.3064,459.5032,460.1833,433.8156,310.7686,884.2696,9529.2855,217,0
1,71,0,0.1,0,2.2,28,3,30,0.01,0,0,2,0,0,1,0,0,0,0,0,0,955.2194,493.0827,596.7123,748.4073,820.1234,697.3607,861.8817,872.4364,851.7819,688.8991,618.3792,575.8657,457.4329,839.3792,929.4585,494.0434,687.1241,979.0797,937.6288,899.6458,1009.3051,978.6601,992.2475,984.2572,998.0037,803.7215,632.302,1221.509,6953.4325,443,0
1,160,0,3.8,0,1.9,43,0,24,14.44,0,1,5,0,0,0,0,0,0,0,0,0,964.1435,497.6893,624.7803,759.075,824.6054,674.5273,1069.5473,891.4677,934.4577,846.761,883.6428,597.0266,493.2558,908.1314,794.0808,422.0846,641.6558,823.5415,866.0348,857.4211,1112.205,911.9764,940.2147,905.4453,1103.7409,781.9797,610.8147,1359.8101,6986.9574,144,0
3,118,0,21.7,0,2.2,68,2,41,470.89,1,1,8,0,0,0,0,0,1,0,0,1,1091.1771,593.4828,1274.0617,1144.0551,1205.6395,1086.0403,1309.3469,1208.4987,1344.2218,1362.7866,1120.4243,873.6657,571.1158,1029.1115,1543.7637,806.9055,1310.4183,1305.232,1403.2943,1218.9472,1318.4076,1230.8495,1531.1652,1308.3009,1204.4592,1049.1496,728.5838,1605.2687,9990.9629,450,1665
2,29,1,25.3,0,0.6,57,8,44,640.09,1,1,2,0,0,0,0,0,0,0,0,0,175.8207,61.8498,131.8211,394.1766,556.5015,577.9366,670.225,681.8194,590.9856,552.6985,700.6674,430.8416,349.234,540.5701,265.5425,104.5349,124.0879,513.2012,703.0114,605.7921,606.1183,523.672,584.4737,599.2194,591.7469,476.5983,351.2062,832.9037,4626.9627,205,0
0,61,1,9.4,0,5.6,71,6,10,88.36,0,1,0,0,0,0,1,0,0,0,0,0,416.4821,205.9448,191.2426,448.8278,583.9407,657.7276,776.2244,619.3303,661.9533,611.0369,675.5252,466.3149,361.2743,651.0159,319.6362,155.1082,236.6031,498.3001,543.7956,658.1667,692.9985,511.0675,676.4751,656.4756,747.2459,615.1182,506.8768,1242.8402,4859.9814,236,326
5,36,0,-6.4,0,1.3,50,9,22,40.96,0,0,2,0,0,0,0,0,0,0,1,0,561.0773,342.1809,677.7275,1094.9098,1202.2551,1132.9083,1174.8788,1023.6601,1117.9982,833.9094,982.1005,757.4424,474.4637,860.2608,479.4975,277.3569,603.7719,1322.7895,1606.4644,1258.6654,1109.3647,934.6346,931.6797,855.3338,1192.6002,849.874,641.255,1457.8913,9902.236,181,0
1,69,1,11,0,1.6,77,7,42,121,0,1,2,0,0,0,0,0,0,0,0,0,579.7863,353.5911,857.261,1319.9238,1421.3103,1303.694,1207.8385,940.9872,1100.2605,862.009,942.9848,704.5451,429.6699,803.5892,526.6186,304.6135,688.4265,1590.2849,1818.5958,1284.4729,1253.1129,1004.4931,980.2006,901.0912,1114.3115,874.3354,621.7813,1310.4775,11199.2331,5,0
1,225,0,22.5,0,5.8,34,4,41,506.25,0,1,0,0,0,0,0,0,0,0,0,0,1008.2902,548.4009,532.8514,966.1641,1114.2119,1032.4354,1353.9265,1232.3906,1347.9867,1212.111,977.456,851.793,588.2856,1043.1146,1351.4809,706.4011,413.2134,955.1129,1255.366,1115.0075,1461.0263,1269.751,1540.7356,1373.9046,1255.3804,1086.7362,781.3082,1616.4341,9253.2506,322,1439
1,128,0,15.2,0,2.5,55,0,60,231.04,1,1,0,0,0,0,0,0,0,0,0,0,623.5855,344.7302,317.7464,592.4548,502.0686,456.2066,591.2495,588.4313,734.0786,547.7584,605.5842,473.2985,369.5686,819.3028,1253.4098,727.652,939.6348,525.3343,622.1954,512.302,714.8004,779.3312,796.7969,725.0619,746.44,684.1266,473.2304,1272.1336,4516.6116,333,614
