"y","bus_passenger","sub_passenger","temp","wet","f15","sunny","m0","m40","m35","f0","m55","m70","m65","m20","f25","f35","f60","f45","f65","f55","most_use","m50","m45","m30","f40","wind","f70","m5","f20","dust","m60","past_rent","f50","f30","m25","rain","cloud","weekend","X8_9","X21_22","temp.sqr","X16_17","semester"
0,290,1183,-3.8,49,767.9079,0,576.0977,895.4819,1342.2597,392.1807,763.2258,793.1548,434.2469,2838.5561,3542.5483,1203.7896,683.2331,827.7268,564.4722,737.9257,20915.2501,800.7484,1039.9894,1884.5123,795.783,2.1,1165.0347,642.8577,4706.2114,33,558.7961,0,799.6374,1842.3086,3555.0641,0,0,1,0,0,14.44,0,0
0,116,296,-4.4,48,635.5786,0,454.4504,892.449,1322.5,302.5978,704.2859,750.5164,409.5073,2702.1775,3512.6591,1167.7962,613.1592,705.2005,500.2525,641.8205,20523.4923,746.819,983.0021,1756.178,711.2368,2.9,1144.6911,412.8902,4753.8475,26,527.5285,0,693.2796,1853.8448,3454.4892,0,0,1,0,0,19.36,0,0
0,54,0,-5.2,51,630.3021,0,470.1789,898.57,1301.7749,298.2608,702.5412,760.0452,412.3134,2739.8139,3556.0776,1180.2811,623.4963,710.2858,494.7284,640.3266,20620.9137,731.7209,991.3523,1746.7593,689.1734,1.6,1090.2994,429.0108,4745.3337,27,527.1577,0,685.142,1867.0894,3483.7838,0,1,0,0,0,27.04,0,0
0,28,0,-5.8,52,650.0474,0,451.7634,884.6295,1298.267,288.5762,699.2396,768.6048,402.6155,2757.503,3567.5378,1171.9583,636.0671,723.9464,496.2779,647.3592,20732.748,748.8319,953.1996,1760.4701,663.4489,2.1,1091.5168,434.1726,4775.0704,29,519.202,0,681.5611,1899.451,3502.4904,0,0,0,0,0,33.64,0,0
1,21,0,-6.4,56,671.1149,0,464.014,901.255,1314.0017,285.7222,683.5991,754.1195,407.4006,2772.7609,3579.102,1184.0139,631.7989,722.0812,502.6214,640.2234,20799.6178,757.3202,957.8903,1754.8118,662.989,1.7,1121.5832,417.6675,4815.8483,25,507.8375,0,681.0465,1887.8221,3491.2571,0,5,0,0,0,40.96,0,0
0,9,0,-7,59,687.2134,0,494.9173,904.8807,1299.2547,302.9079,719.0592,759.2225,390.0664,2780.6139,3579.6345,1176.7656,633.0392,724.244,504.5646,632.5592,20762.1849,749.408,965.8599,1754.4657,675.5828,1.6,1092.3598,438.2313,4798.7789,21,493.8672,1,687.0972,1884.7284,3487.9432,0,2,0,0,0,49,0,0
0,35,10,-7.2,61,678.9458,0,507.3804,894.8631,1301.6667,307.4638,708.5429,770.3506,397.9289,2803.1913,3579.2221,1212.531,631.4011,723.0045,478.4149,656.7043,20826.7544,742.6971,970.6791,1779.2022,685.3887,1.3,1133.1607,446.1406,4752.0265,30,502.8778,0,698.4787,1880.5437,3518.3709,0,3,0,0,0,51.84,0,0
0,64,565,-7.4,59,675.2878,0,445.032,915.6993,1292.5421,291.5509,727.9901,793.6769,409.5458,2795.1302,3560.5171,1226.4843,659.0093,709.2058,483.2726,666.4392,20835.7614,762.1957,1008.9347,1789.8582,683.1681,0.3,1113.8521,440.6551,4772.6754,24,530.6742,0,712.693,1910.9327,3487.6214,0,2,0,0,0,54.76,0,0
0,173,892,-7.8,55,674.2249,0,460.1583,926.5137,1361.1127,301.4263,774.9457,819.6501,434.1096,2756.9281,3569.0227,1238.8622,642.1534,731.2445,523.1746,722.7125,20757.2521,789.6308,996.9741,1791.7569,683.3059,2.1,1165.0858,459.447,4694.4118,22,536.3459,1,696.985,1890.5477,3454.61,0,1,0,0,0,60.84,0,0
1,344,2435,-7.7,54,658.9151,0,487.1381,1025.6266,1453.0328,352.3485,844.6391,858.7583,484.3968,2652.1441,3455.4277,1310.0714,697.5645,802.7161,534.9,779.1232,20535.6556,895.0344,1149.7792,1801.4965,743.9412,2,1267.5847,430.9352,4636.7636,21,598.5327,0,772.7932,1902.6712,3324.0483,0,0,0,0,0,59.29,0,0
