"y","m25","m50","f20","m30","temp","semester","sub_passenger","f15","f40","past_rent","bus_passenger","wet","X8_9","rain","X9_10","m45","m55","f50","m5","m35","cloud","f45","dust","m20","f70","f35","m0","m60","m40","m65","temp.sqr","f65","f25","f55","m70","f0","f60","wind","f30","most_use","sunny","X11_12","X13_14","X15_16","X10_11","X16_17","snow"
0,2874.238,776.9283,3902.4411,1704.4265,0,0,1083,704.0107,803.0257,0,220,80,0,0,0,1014.5956,785.4998,808.333,637.0834,1312.0558,8,816.1618,52,2428.9893,1304.3411,1237.3767,565.0802,536.7211,943.8775,427.9908,0,532.8006,2823.5763,764.3561,742.5658,359.1147,649.8822,3.3,1610.8288,17893.9325,0,1,0,0,0,0,0.2
0,3096.9322,842.0146,4098.2867,1808.7333,1.4,0,1307,848.3786,881.6837,1,251,74,0,0,0,1052.0858,805.2971,803.6848,774.3842,1358.0544,6,866.4332,65,2553.8709,1288.6323,1245.0799,569.5927,529.9763,973.1295,428.0588,1.96,541.7407,3010.0309,743.7875,693.9417,536.9017,646.2579,2.4,1666.6389,18837.6272,1,0,0,0,0,0,0
0,3235.9751,869.0742,4258.0445,1888.7752,1.4,0,1489,983.88,952.7356,0,343,67,0,0,0,1044.7225,808.177,821.4102,808.9133,1387.0997,3,935.6483,59,2719.6056,1370.8558,1306.1918,815.6734,532.6915,1029.1762,408.0048,1.96,533.556,3205.7348,777.4661,755.5868,818.0814,658.2622,3.6,1715.4634,19716.8901,1,0,1,0,0,0,0
0,3349.7157,883.5678,4481.4933,1954.7321,2.4,0,1618,1331.7228,992.1802,0,367,55,0,0,0,1137.1555,804.7556,846.7926,1002.3004,1497.7037,1,968.025,62,2882.892,1245.7425,1320.17,817.1264,521.6277,1062.4139,408.1565,5.76,603.1208,3361.0543,833.2126,756.9006,878.6592,654.9396,3.5,1794.8592,20642.6203,1,0,0,0,0,0,0
0,3486.664,853.4059,4712.0271,2063.8073,2.5,0,2054,1688.3151,994.0372,2,388,46,0,0,0,1091.4846,807.2075,846.7644,1297.0896,1445.9994,0,954.9945,46,3120.7859,1216.4534,1303.2258,864.6418,519.9179,1109.1937,428.9827,6.25,596.9327,3529.1173,823.7659,773.9112,939.6766,629.5059,3.3,1830.8999,21492.5267,1,0,0,1,0,0,0
1,3669.4364,863.2513,5063.1589,2082.8798,2.5,0,2230,2171.2288,973.9869,0,465,45,0,0,0,1119.0707,853.5617,899.8927,1600.7282,1451.9756,0,956.3247,37,3374.3148,1290.0584,1317.1841,777.8725,554.4749,1039.4907,385.5774,6.25,562.35,3639.9819,864.8622,799.1847,1007.2311,651.7925,3,1920.2308,22519.1623,1,0,0,0,0,1,0
1,3893.5444,863.1784,5532.0384,2206.5296,1.2,0,2283,2424.7573,903.5491,0,464,45,0,0,0,1098.6465,859.1337,860.2495,1846.4531,1526.3762,0,984.5096,35,3887.7327,1274.2889,1307.3212,741.337,585.6299,1053.9673,408.6593,1.44,538.1844,3886.1084,836.6289,815.0186,830.7737,648.4771,2.7,1925.9611,24165.612,1,0,0,0,0,0,0
0,4015.2045,889.1927,5673.6481,2201.5787,-0.5,0,2227,2460.2036,920.1534,0,406,40,0,0,0,1046.2956,811.1428,852.6026,2041.3181,1517.6441,0,958.3552,34,4151.5567,1177.0982,1222.7737,650.3535,574.8783,1041.9536,423.7561,0.25,577.2871,4022.5551,788.0574,833.3295,637.631,676.5605,2.9,1985.6483,24790.6092,0,0,0,0,0,0,0
2,4121.813,871.3076,5723.259,2198.7499,-1.6,0,2152,2455.9861,870.9679,1,371,41,0,0,0,1060.9019,823.536,810.5095,1931.3085,1547.3232,0,902.1259,28,4383.8353,1223.7716,1315.8114,648.1827,552.3845,1012.3337,427.686,2.56,559.4414,3991.8154,775.9222,829.5648,546.9288,648.6117,2,1914.8314,25197.4386,0,0,0,0,0,0,0
0,3996.4277,803.9074,5350.0875,2047.8595,-2.6,0,3853,1915.152,809.7796,0,469,46,0,0,0,1073.7328,808.785,785.26,1639.9636,1432.3184,0,898.2168,27,3990.1439,1219.6571,1295.8298,580.0914,540.6714,964.321,408.2072,6.76,551.7985,3893.08,800.1316,788.7672,416.575,691.6397,1.6,1875.5813,23881.3281,0,0,0,0,0,0,0
0,3656.7708,841.3478,4760.5238,1917.7334,-2.9,0,4295,1058.0538,783.3676,0,642,48,0,0,0,1028.2462,811.96,799.0475,906.2387,1363.413,0,847.5671,20,3147.1985,1175.6434,1194.3992,558.5282,547.0492,942.9685,427.58,8.41,551.3256,3619.6258,765.0819,778.7249,419.1941,666.741,2.7,1843.4158,21503.0803,0,0,0,0,0,0,0
0,3555.0641,800.7484,4706.2114,1884.5123,-3.8,0,1183,767.9079,795.783,0,290,49,0,0,0,1039.9894,763.2258,799.6374,642.8577,1342.2597,0,827.7268,33,2838.5561,1165.0347,1203.7896,576.0977,558.7961,895.4819,434.2469,14.44,564.4722,3542.5483,737.9257,793.1548,392.1807,683.2331,2.1,1842.3086,20915.2501,0,0,0,0,0,0,0
0,3454.4892,746.819,4753.8475,1756.178,-4.4,0,296,635.5786,711.2368,1,116,48,0,0,0,983.0021,704.2859,693.2796,412.8902,1322.5,0,705.2005,26,2702.1775,1144.6911,1167.7962,454.4504,527.5285,892.449,409.5073,19.36,500.2525,3512.6591,641.8205,750.5164,302.5978,613.1592,2.9,1853.8448,20523.4923,0,0,0,0,0,0,0
0,3483.7838,731.7209,4745.3337,1746.7593,-5.2,0,0,630.3021,689.1734,0,54,51,0,0,0,991.3523,702.5412,685.142,429.0108,1301.7749,1,710.2858,27,2739.8139,1090.2994,1180.2811,470.1789,527.1577,898.57,412.3134,27.04,494.7284,3556.0776,640.3266,760.0452,298.2608,623.4963,1.6,1867.0894,20620.9137,0,0,0,0,0,0,0
