"y","bus_passenger","past_rent","temp","sub_passenger","m5","wet","sunny","f15","m50","most_use","m35","m20","f30","f45","f20","m30","m25","f0","f70","wind","m0","m70","m55","m40","f60","f65","m45","f25","f40","m60","m65","f50","dust","f35","f55","X18_19","cloud","X17_18","rain","weekend","semester","X22_23","X1_2","X7_8"
3,251,0,1.4,1307,774.3842,74,1,848.3786,842.0146,18837.6272,1358.0544,2553.8709,1666.6389,866.4332,4098.2867,1808.7333,3096.9322,536.9017,1288.6323,2.4,569.5927,693.9417,805.2971,973.1295,646.2579,541.7407,1052.0858,3010.0309,881.6837,529.9763,428.0588,803.6848,65,1245.0799,743.7875,0,6,0,0,1,0,0,0,0
2,343,1,1.4,1489,808.9133,67,1,983.88,869.0742,19716.8901,1387.0997,2719.6056,1715.4634,935.6483,4258.0445,1888.7752,3235.9751,818.0814,1370.8558,3.6,815.6734,755.5868,808.177,1029.1762,658.2622,533.556,1044.7225,3205.7348,952.7356,532.6915,408.0048,821.4102,59,1306.1918,777.4661,0,3,0,0,1,0,0,0,0
4,367,1,2.4,1618,1002.3004,55,1,1331.7228,883.5678,20642.6203,1497.7037,2882.892,1794.8592,968.025,4481.4933,1954.7321,3349.7157,878.6592,1245.7425,3.5,817.1264,756.9006,804.7556,1062.4139,654.9396,603.1208,1137.1555,3361.0543,992.1802,521.6277,408.1565,846.7926,62,1320.17,833.2126,0,1,0,0,1,0,0,0,0
1,388,2,2.5,2054,1297.0896,46,1,1688.3151,853.4059,21492.5267,1445.9994,3120.7859,1830.8999,954.9945,4712.0271,2063.8073,3486.664,939.6766,1216.4534,3.3,864.6418,773.9112,807.2075,1109.1937,629.5059,596.9327,1091.4846,3529.1173,994.0372,519.9179,428.9827,846.7644,46,1303.2258,823.7659,0,0,0,0,1,0,0,0,0
0,465,2,2.5,2230,1600.7282,45,1,2171.2288,863.2513,22519.1623,1451.9756,3374.3148,1920.2308,956.3247,5063.1589,2082.8798,3669.4364,1007.2311,1290.0584,3,777.8725,799.1847,853.5617,1039.4907,651.7925,562.35,1119.0707,3639.9819,973.9869,554.4749,385.5774,899.8927,37,1317.1841,864.8622,0,0,0,0,1,0,0,0,0
0,464,2,1.2,2283,1846.4531,45,1,2424.7573,863.1784,24165.612,1526.3762,3887.7327,1925.9611,984.5096,5532.0384,2206.5296,3893.5444,830.7737,1274.2889,2.7,741.337,815.0186,859.1337,1053.9673,648.4771,538.1844,1098.6465,3886.1084,903.5491,585.6299,408.6593,860.2495,35,1307.3212,836.6289,0,0,1,0,1,0,0,0,0
3,406,2,-0.5,2227,2041.3181,40,0,2460.2036,889.1927,24790.6092,1517.6441,4151.5567,1985.6483,958.3552,5673.6481,2201.5787,4015.2045,637.631,1177.0982,2.9,650.3535,833.3295,811.1428,1041.9536,676.5605,577.2871,1046.2956,4022.5551,920.1534,574.8783,423.7561,852.6026,34,1222.7737,788.0574,1,0,0,0,1,0,0,0,0
0,371,3,-1.6,2152,1931.3085,41,0,2455.9861,871.3076,25197.4386,1547.3232,4383.8353,1914.8314,902.1259,5723.259,2198.7499,4121.813,546.9288,1223.7716,2,648.1827,829.5648,823.536,1012.3337,648.6117,559.4414,1060.9019,3991.8154,870.9679,552.3845,427.686,810.5095,28,1315.8114,775.9222,0,0,0,0,1,0,0,0,0
0,469,1,-2.6,3853,1639.9636,46,0,1915.152,803.9074,23881.3281,1432.3184,3990.1439,1875.5813,898.2168,5350.0875,2047.8595,3996.4277,416.575,1219.6571,1.6,580.0914,788.7672,808.785,964.321,691.6397,551.7985,1073.7328,3893.08,809.7796,540.6714,408.2072,785.26,27,1295.8298,800.1316,0,0,0,0,1,0,0,0,0
0,642,1,-2.9,4295,906.2387,48,0,1058.0538,841.3478,21503.0803,1363.413,3147.1985,1843.4158,847.5671,4760.5238,1917.7334,3656.7708,419.1941,1175.6434,2.7,558.5282,778.7249,811.96,942.9685,666.741,551.3256,1028.2462,3619.6258,783.3676,547.0492,427.58,799.0475,20,1194.3992,765.0819,0,0,0,0,1,0,0,0,0
1,290,1,-3.8,1183,642.8577,49,0,767.9079,800.7484,20915.2501,1342.2597,2838.5561,1842.3086,827.7268,4706.2114,1884.5123,3555.0641,392.1807,1165.0347,2.1,576.0977,793.1548,763.2258,895.4819,683.2331,564.4722,1039.9894,3542.5483,795.783,558.7961,434.2469,799.6374,33,1203.7896,737.9257,0,0,0,0,1,0,1,0,0
0,116,0,-4.4,296,412.8902,48,0,635.5786,746.819,20523.4923,1322.5,2702.1775,1853.8448,705.2005,4753.8475,1756.178,3454.4892,302.5978,1144.6911,2.9,454.4504,750.5164,704.2859,892.449,613.1592,500.2525,983.0021,3512.6591,711.2368,527.5285,409.5073,693.2796,26,1167.7962,641.8205,0,0,0,0,1,0,0,0,0
