"y","m5","temp","bus_passenger","past_rent","sub_passenger","f15","wet","f45","m20","m45","f20","f0","m65","f35","m0","f40","f60","m70","f50","m50","m60","f65","m35","m30","m40","f55","dust","m25","f70","rain","f30","m55","f25","wind","sunny","cloud","most_use","semester","X12_13","X20_21","X22_23","X1_2","X9_10","temp.sqr","X21_22","X17_18"
0,637.0834,0,220,0,1083,704.0107,80,816.1618,2428.9893,1014.5956,3902.4411,359.1147,427.9908,1237.3767,565.0802,803.0257,649.8822,742.5658,808.333,776.9283,536.7211,532.8006,1312.0558,1704.4265,943.8775,764.3561,52,2874.238,1304.3411,0,1610.8288,785.4998,2823.5763,3.3,0,8,17893.9325,0,0,0,0,0,0,0,0,0
0,774.3842,1.4,251,0,1307,848.3786,74,866.4332,2553.8709,1052.0858,4098.2867,536.9017,428.0588,1245.0799,569.5927,881.6837,646.2579,693.9417,803.6848,842.0146,529.9763,541.7407,1358.0544,1808.7333,973.1295,743.7875,65,3096.9322,1288.6323,0,1666.6389,805.2971,3010.0309,2.4,1,6,18837.6272,0,1,0,0,0,0,1.96,0,0
2,808.9133,1.4,343,0,1489,983.88,67,935.6483,2719.6056,1044.7225,4258.0445,818.0814,408.0048,1306.1918,815.6734,952.7356,658.2622,755.5868,821.4102,869.0742,532.6915,533.556,1387.0997,1888.7752,1029.1762,777.4661,59,3235.9751,1370.8558,0,1715.4634,808.177,3205.7348,3.6,1,3,19716.8901,0,0,0,0,0,0,1.96,0,0
0,1002.3004,2.4,367,1,1618,1331.7228,55,968.025,2882.892,1137.1555,4481.4933,878.6592,408.1565,1320.17,817.1264,992.1802,654.9396,756.9006,846.7926,883.5678,521.6277,603.1208,1497.7037,1954.7321,1062.4139,833.2126,62,3349.7157,1245.7425,0,1794.8592,804.7556,3361.0543,3.5,1,1,20642.6203,0,0,0,0,0,0,5.76,0,0
0,1297.0896,2.5,388,0,2054,1688.3151,46,954.9945,3120.7859,1091.4846,4712.0271,939.6766,428.9827,1303.2258,864.6418,994.0372,629.5059,773.9112,846.7644,853.4059,519.9179,596.9327,1445.9994,2063.8073,1109.1937,823.7659,46,3486.664,1216.4534,0,1830.8999,807.2075,3529.1173,3.3,1,0,21492.5267,0,0,0,0,0,0,6.25,0,0
1,1600.7282,2.5,465,0,2230,2171.2288,45,956.3247,3374.3148,1119.0707,5063.1589,1007.2311,385.5774,1317.1841,777.8725,973.9869,651.7925,799.1847,899.8927,863.2513,554.4749,562.35,1451.9756,2082.8798,1039.4907,864.8622,37,3669.4364,1290.0584,0,1920.2308,853.5617,3639.9819,3,1,0,22519.1623,0,0,0,0,0,0,6.25,0,0
1,1846.4531,1.2,464,1,2283,2424.7573,45,984.5096,3887.7327,1098.6465,5532.0384,830.7737,408.6593,1307.3212,741.337,903.5491,648.4771,815.0186,860.2495,863.1784,585.6299,538.1844,1526.3762,2206.5296,1053.9673,836.6289,35,3893.5444,1274.2889,0,1925.9611,859.1337,3886.1084,2.7,1,0,24165.612,0,0,0,0,0,0,1.44,0,1
0,2041.3181,-0.5,406,2,2227,2460.2036,40,958.3552,4151.5567,1046.2956,5673.6481,637.631,423.7561,1222.7737,650.3535,920.1534,676.5605,833.3295,852.6026,889.1927,574.8783,577.2871,1517.6441,2201.5787,1041.9536,788.0574,34,4015.2045,1177.0982,0,1985.6483,811.1428,4022.5551,2.9,0,0,24790.6092,0,0,0,0,0,0,0.25,0,0
0,1931.3085,-1.6,371,0,2152,2455.9861,41,902.1259,4383.8353,1060.9019,5723.259,546.9288,427.686,1315.8114,648.1827,870.9679,648.6117,829.5648,810.5095,871.3076,552.3845,559.4414,1547.3232,2198.7499,1012.3337,775.9222,28,4121.813,1223.7716,0,1914.8314,823.536,3991.8154,2,0,0,25197.4386,0,0,0,0,0,0,2.56,0,0
0,1639.9636,-2.6,469,0,3853,1915.152,46,898.2168,3990.1439,1073.7328,5350.0875,416.575,408.2072,1295.8298,580.0914,809.7796,691.6397,788.7672,785.26,803.9074,540.6714,551.7985,1432.3184,2047.8595,964.321,800.1316,27,3996.4277,1219.6571,0,1875.5813,808.785,3893.08,1.6,0,0,23881.3281,0,0,1,0,0,0,6.76,0,0
1,906.2387,-2.9,642,0,4295,1058.0538,48,847.5671,3147.1985,1028.2462,4760.5238,419.1941,427.58,1194.3992,558.5282,783.3676,666.741,778.7249,799.0475,841.3478,547.0492,551.3256,1363.413,1917.7334,942.9685,765.0819,20,3656.7708,1175.6434,0,1843.4158,811.96,3619.6258,2.7,0,0,21503.0803,0,0,0,0,0,0,8.41,1,0
