"y","m20","bus_passenger","past_rent","temp","f15","sub_passenger","m35","wet","sunny","f20","m25","most_use","m50","f50","m0","m40","f45","m30","m5","f65","f0","f25","f60","m45","f70","f35","f40","f30","m55","f55","wind","m65","m60","m70","dust","cloud","X18_19","rain","semester","X17_18","X22_23","X7_8","X21_22","X23_24"
0,2702.1775,116,0,-4.4,635.5786,296,1322.5,48,0,4753.8475,3454.4892,20523.4923,746.819,693.2796,454.4504,892.449,705.2005,1756.178,412.8902,500.2525,302.5978,3512.6591,613.1592,983.0021,1144.6911,1167.7962,711.2368,1853.8448,704.2859,641.8205,2.9,409.5073,527.5285,750.5164,26,0,0,0,0,0,0,0,0,1
1,2739.8139,54,0,-5.2,630.3021,0,1301.7749,51,0,4745.3337,3483.7838,20620.9137,731.7209,685.142,470.1789,898.57,710.2858,1746.7593,429.0108,494.7284,298.2608,3556.0776,623.4963,991.3523,1090.2994,1180.2811,689.1734,1867.0894,702.5412,640.3266,1.6,412.3134,527.1577,760.0452,27,1,0,0,0,0,0,0,0,0
0,2757.503,28,0,-5.8,650.0474,0,1298.267,52,0,4775.0704,3502.4904,20732.748,748.8319,681.5611,451.7634,884.6295,723.9464,1760.4701,434.1726,496.2779,288.5762,3567.5378,636.0671,953.1996,1091.5168,1171.9583,663.4489,1899.451,699.2396,647.3592,2.1,402.6155,519.202,768.6048,29,0,0,0,0,0,0,0,0,0
1,2772.7609,21,0,-6.4,671.1149,0,1314.0017,56,0,4815.8483,3491.2571,20799.6178,757.3202,681.0465,464.014,901.255,722.0812,1754.8118,417.6675,502.6214,285.7222,3579.102,631.7989,957.8903,1121.5832,1184.0139,662.989,1887.8221,683.5991,640.2234,1.7,407.4006,507.8375,754.1195,25,5,0,0,0,0,0,0,0,0
0,2780.6139,9,0,-7,687.2134,0,1299.2547,59,0,4798.7789,3487.9432,20762.1849,749.408,687.0972,494.9173,904.8807,724.244,1754.4657,438.2313,504.5646,302.9079,3579.6345,633.0392,965.8599,1092.3598,1176.7656,675.5828,1884.7284,719.0592,632.5592,1.6,390.0664,493.8672,759.2225,21,2,0,0,0,0,0,0,0,0
0,2803.1913,35,0,-7.2,678.9458,10,1301.6667,61,0,4752.0265,3518.3709,20826.7544,742.6971,698.4787,507.3804,894.8631,723.0045,1779.2022,446.1406,478.4149,307.4638,3579.2221,631.4011,970.6791,1133.1607,1212.531,685.3887,1880.5437,708.5429,656.7043,1.3,397.9289,502.8778,770.3506,30,3,0,0,0,0,0,0,0,0
0,2795.1302,64,0,-7.4,675.2878,565,1292.5421,59,0,4772.6754,3487.6214,20835.7614,762.1957,712.693,445.032,915.6993,709.2058,1789.8582,440.6551,483.2726,291.5509,3560.5171,659.0093,1008.9347,1113.8521,1226.4843,683.1681,1910.9327,727.9901,666.4392,0.3,409.5458,530.6742,793.6769,24,2,0,0,0,0,0,0,0,0
0,2756.9281,173,0,-7.8,674.2249,892,1361.1127,55,0,4694.4118,3454.61,20757.2521,789.6308,696.985,460.1583,926.5137,731.2445,1791.7569,459.447,523.1746,301.4263,3569.0227,642.1534,996.9741,1165.0858,1238.8622,683.3059,1890.5477,774.9457,722.7125,2.1,434.1096,536.3459,819.6501,22,1,0,0,0,0,0,0,0,0
0,2652.1441,344,0,-7.7,658.9151,2435,1453.0328,54,0,4636.7636,3324.0483,20535.6556,895.0344,772.7932,487.1381,1025.6266,802.7161,1801.4965,430.9352,534.9,352.3485,3455.4277,697.5645,1149.7792,1267.5847,1310.0714,743.9412,1902.6712,844.6391,779.1232,2,484.3968,598.5327,858.7583,21,0,0,0,0,0,0,1,0,0
0,2519.3405,712,0,-7.6,743.7441,4472,1426.351,55,0,4270.768,2847.9055,18767.3927,1018.9741,936.5414,436.3641,1119.5196,924.3551,1648.7732,644.902,533.7396,375.8258,3084.5751,728.622,1208.1979,1304.7471,1263.8432,925.8083,1705.8362,913.6478,843.9229,1.6,517.2983,643.2286,869.331,25,1,0,0,0,0,0,0,0,0
0,2482.0831,484,1,-6.9,686.4385,2597,1395.7268,55,0,3956.3774,2662.0406,17936.2537,1103.368,915.2747,468.4626,1181.4821,1035.5256,1612.2712,672.8843,562.8275,376.2878,2871.5283,767.7525,1250.4559,1391.9837,1285.0733,940.7677,1671.153,1001.3734,895.3672,1.7,549.8313,736.8433,922.4688,23,1,0,0,0,0,0,0,0,0
1,2511.324,332,4,-4,754.2041,1361,1439.9264,55,0,3960.7385,2688.0373,18079.1343,1166.6949,943.9601,509.9497,1159.787,1173.343,1640.1081,744.7539,586.9194,362.6595,2821.1083,765.2355,1312.3121,1392.7046,1342.5714,1009.0316,1675.3203,1056.6613,910.2718,1.2,514.519,746.2477,859.6573,20,2,0,0,0,0,0,0,0,0
2,2534.5863,306,3,-1.4,863.6813,1430,1466.3247,44,0,4061.4116,2626.2692,18323.4817,1122.7146,946.7855,517.4044,1156.4928,1104.404,1662.9091,878.6157,593.273,430.8532,2868.6999,776.9227,1295.4737,1475.7007,1418.3272,1043.2783,1684.9537,1081.0416,919.8563,1.5,551.6107,717.0376,906.669,32,0,0,0,0,0,0,0,0,0
0,2710.3982,350,1,0.9,1014.0743,1601,1510.9998,36,0,4233.7315,2693.7614,18864.0709,1154.8022,1008.2463,458.3968,1224.5282,1121.1977,1720.4887,857.3689,622.8533,371.4619,2922.4458,798.234,1293.3652,1309.883,1447.0067,1013.2716,1625.2388,1075.5495,921.7864,2.1,541.5435,739.0346,926.741,38,2,0,0,0,0,0,0,0,0
3,2856.6664,407,0,1.7,1117.9918,1661,1460.7442,43,1,4305.2457,2721.8669,19100.1617,1217.4117,1044.9356,554.3713,1210.1774,1156.7422,1717.156,776.4583,629.8864,477.6398,2941.0495,807.4246,1311.0648,1360.3603,1398.3945,1056.2872,1699.0385,1066.5346,930.1997,2.8,542.9097,759.8518,956.0724,35,4,0,0,0,0,0,0,0,0
2,2913.5869,409,0,2,1331.7675,1746,1520.8883,43,1,4551.2047,2828.2211,19620.1456,1235.0978,1042.1027,451.932,1277.6667,1176.4602,1716.8676,774.643,617.1358,405.9336,2947.6832,841.7481,1334.6582,1314.2719,1423.4154,1152.2567,1718.2784,1092.2724,1000.6554,2.4,541.6243,737.439,924.2738,37,6,0,0,0,0,0,0,0,0
1,3048.8963,475,1,2.2,1509.9943,2078,1563.615,48,1,4622.7266,2861.655,20033.1745,1182.228,987.4939,518.499,1279.4113,1213.4825,1743.0036,862.0225,633.3601,421.9394,3001.5806,844.4154,1273.3366,1320.5806,1458.7331,1115.5868,1732.9643,1004.7152,964.4287,2.2,503.9378,739.1344,908.7911,33,6,0,0,0,0,0,0,0,0
2,3128.9349,576,2,2.3,1773.7533,2675,1541.2622,49,1,4704.3098,2945.7799,20077.6446,1200.9963,1036.4946,527.9048,1264.2411,1165.018,1758.573,1113.7642,575.3131,401.7319,3014.8984,837.3723,1286.7302,1322.5985,1330.0928,1060.8693,1653.7936,931.7262,913.6478,2.4,509.5979,703.575,924.7538,37,7,0,0,0,0,0,0,0,0
1,3566.9292,626,2,1.6,2060.307,3455,1580.843,56,1,5077.701,3144.4974,21374.8499,1119.0981,969.4632,478.9472,1260.9816,1125.9201,1832.8592,1462.203,591.3638,470.282,3165.3341,794.8837,1265.1751,1304.803,1307.0461,1050.205,1699.6399,862.4286,912.9846,3,528.022,662.4177,918.6571,38,8,0,0,0,1,0,0,0,0
5,4113.3908,939,1,1.3,2215.459,4126,1658.274,58,1,5727.6594,3613.3573,24922.9893,1149.0736,969.3633,486.4166,1358.0766,1187.7941,2164.098,1744.4481,613.0449,458.8049,3976.3613,790.7419,1371.9742,1259.3332,1477.9913,1075.355,2191.8572,922.902,952.0257,1.9,510.3344,717.9191,933.1072,31,9,1,0,0,0,0,0,0,0
5,4065.1125,729,2,1.3,2102.8311,2725,1653.4535,65,1,5850.444,3726.0957,25018.0437,1018.1303,904.3468,477.2858,1230.2638,1112.8779,2131.5452,1583.4592,628.8605,461.8789,4043.4377,784.2587,1213.1551,1230.6667,1431.2488,979.0794,2116.7063,864.4499,909.9748,2.6,491.4713,650.9527,876.745,21,9,0,0,0,0,0,0,0,0
1,3789.5552,627,1,1.2,1698.0712,3443,1583.3262,68,1,5604.409,3683.61,24191.7665,952.5821,849.9934,497.7466,1089.3896,1040.8249,2130.5112,1381.3895,628.7436,466.3662,3963.7459,732.2397,1167.5954,1215.3251,1380.969,899.9572,2055.64,816.706,842.1525,1.8,479.5888,590.3687,848.6156,22,9,0,0,0,0,0,0,0,0
2,3060.5916,723,1,1.1,1002.9422,3962,1515.8027,74,1,5014.7695,3461.494,21995.3497,884.6691,837.7435,531.9859,994.5742,999.9461,1987.1486,873.1528,618.7889,408.4166,3702.9449,753.9444,1045.0666,1199.8616,1354.3022,788.8963,1898.2962,776.5617,787.7225,2.8,450.1245,607.2116,876.2562,29,9,0,0,0,0,0,0,1,0
0,2813.8935,362,0,0.9,810.8642,1166,1424.2559,75,0,4899.2655,3518.1665,21495.9867,845.0835,792.4223,497.0972,896.9688,979.5203,1926.8968,609.4041,598.7396,403.045,3708.7899,721.0197,1037.7303,1186.8485,1286.4655,740.4864,1918.2531,744.7992,753.3699,1.5,441.0624,579.0217,871.3815,28,8,0,0,0,0,1,0,0,0
1,2724.7673,203,1,0.6,624.7277,319,1333.3334,75,0,4984.0756,3416.9302,20874.1936,749.8151,717.6586,414.5938,895.762,761.3617,1768.6366,470.2152,505.2386,343.2253,3580.1829,635.2793,970.2347,1145.3585,1181.4152,711.5363,1884.8524,743.2161,673.1856,1.3,424.8363,537.363,783.018,27,9,0,0,0,0,0,0,0,1
