"y","temp","rain","wind","wet","cloud","dust","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X18_19","X19_20","X22_23","X23_24","weekend","m10","m5","m20","m25","m30","m35","m40","m45","m50","m55","m60","m65","m70","f0","f15","f30","f40","f55","f60","f65","f70","bus_passenger","sub_passenger"
0,-4.4,0,2.9,48,0,26,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,209.7458,412.8902,2702.1775,3454.4892,1756.178,1322.5,892.449,983.0021,746.819,704.2859,527.5285,409.5073,750.5164,302.5978,635.5786,1853.8448,711.2368,641.8205,613.1592,500.2525,1144.6911,116,296
1,-5.2,0,1.6,51,1,27,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.0054,429.0108,2739.8139,3483.7838,1746.7593,1301.7749,898.57,991.3523,731.7209,702.5412,527.1577,412.3134,760.0452,298.2608,630.3021,1867.0894,689.1734,640.3266,623.4963,494.7284,1090.2994,54,0
0,-5.8,0,2.1,52,0,29,33.64,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.5059,434.1726,2757.503,3502.4904,1760.4701,1298.267,884.6295,953.1996,748.8319,699.2396,519.202,402.6155,768.6048,288.5762,650.0474,1899.451,663.4489,647.3592,636.0671,496.2779,1091.5168,28,0
1,-6.4,0,1.7,56,5,25,40.96,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.1603,417.6675,2772.7609,3491.2571,1754.8118,1314.0017,901.255,957.8903,757.3202,683.5991,507.8375,407.4006,754.1195,285.7222,671.1149,1887.8221,662.989,640.2234,631.7989,502.6214,1121.5832,21,0
0,-7,0,1.6,59,2,21,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.423,438.2313,2780.6139,3487.9432,1754.4657,1299.2547,904.8807,965.8599,749.408,719.0592,493.8672,390.0664,759.2225,302.9079,687.2134,1884.7284,675.5828,632.5592,633.0392,504.5646,1092.3598,9,0
0,-7.2,0,1.3,61,3,30,51.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.1749,446.1406,2803.1913,3518.3709,1779.2022,1301.6667,894.8631,970.6791,742.6971,708.5429,502.8778,397.9289,770.3506,307.4638,678.9458,1880.5437,685.3887,656.7043,631.4011,478.4149,1133.1607,35,10
0,-7.4,0,0.3,59,2,24,54.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.3992,440.6551,2795.1302,3487.6214,1789.8582,1292.5421,915.6993,1008.9347,762.1957,727.9901,530.6742,409.5458,793.6769,291.5509,675.2878,1910.9327,683.1681,666.4392,659.0093,483.2726,1113.8521,64,565
0,-7.8,0,2.1,55,1,22,60.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.3803,459.447,2756.9281,3454.61,1791.7569,1361.1127,926.5137,996.9741,789.6308,774.9457,536.3459,434.1096,819.6501,301.4263,674.2249,1890.5477,683.3059,722.7125,642.1534,523.1746,1165.0858,173,892
0,-7.7,0,2,54,0,21,59.29,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.833,430.9352,2652.1441,3324.0483,1801.4965,1453.0328,1025.6266,1149.7792,895.0344,844.6391,598.5327,484.3968,858.7583,352.3485,658.9151,1902.6712,743.9412,779.1232,697.5645,534.9,1267.5847,344,2435
0,-7.6,0,1.6,55,1,25,57.76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,201.3988,644.902,2519.3405,2847.9055,1648.7732,1426.351,1119.5196,1208.1979,1018.9741,913.6478,643.2286,517.2983,869.331,375.8258,743.7441,1705.8362,925.8083,843.9229,728.622,533.7396,1304.7471,712,4472
