"y","temp","rain","wind","wet","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m0","m10","m5","m25","m30","m35","m40","m45","m55","m60","m65","m70","f15","f20","f25","f30","f40","f45","f50","f55","f65","bus_passenger","sub_passenger"
5,2.5,0,3,45,0,6.25,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,777.8725,359.0176,1600.7282,3669.4364,2082.8798,1451.9756,1039.4907,1119.0707,853.5617,554.4749,385.5774,799.1847,2171.2288,5063.1589,3639.9819,1920.2308,973.9869,956.3247,899.8927,864.8622,562.35,465,2230
1,1.2,0,2.7,45,0,1.44,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,741.337,342.155,1846.4531,3893.5444,2206.5296,1526.3762,1053.9673,1098.6465,859.1337,585.6299,408.6593,815.0186,2424.7573,5532.0384,3886.1084,1925.9611,903.5491,984.5096,860.2495,836.6289,538.1844,464,2283
3,-0.5,0,2.9,40,0,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,650.3535,300.1627,2041.3181,4015.2045,2201.5787,1517.6441,1041.9536,1046.2956,811.1428,574.8783,423.7561,833.3295,2460.2036,5673.6481,4022.5551,1985.6483,920.1534,958.3552,852.6026,788.0574,577.2871,406,2227
2,-1.6,0,2,41,0,2.56,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,648.1827,299.1611,1931.3085,4121.813,2198.7499,1547.3232,1012.3337,1060.9019,823.536,552.3845,427.686,829.5648,2455.9861,5723.259,3991.8154,1914.8314,870.9679,902.1259,810.5095,775.9222,559.4414,371,2152
0,-2.6,0,1.6,46,0,6.76,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,580.0914,267.7345,1639.9636,3996.4277,2047.8595,1432.3184,964.321,1073.7328,808.785,540.6714,408.2072,788.7672,1915.152,5350.0875,3893.08,1875.5813,809.7796,898.2168,785.26,800.1316,551.7985,469,3853
0,-2.9,0,2.7,48,0,8.41,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,558.5282,257.7822,906.2387,3656.7708,1917.7334,1363.413,942.9685,1028.2462,811.96,547.0492,427.58,778.7249,1058.0538,4760.5238,3619.6258,1843.4158,783.3676,847.5671,799.0475,765.0819,551.3256,642,4295
0,-3.8,0,2.1,49,0,14.44,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,576.0977,265.8909,642.8577,3555.0641,1884.5123,1342.2597,895.4819,1039.9894,763.2258,558.7961,434.2469,793.1548,767.9079,4706.2114,3542.5483,1842.3086,795.783,827.7268,799.6374,737.9257,564.4722,290,1183
0,-4.4,0,2.9,48,0,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,454.4504,209.7458,412.8902,3454.4892,1756.178,1322.5,892.449,983.0021,704.2859,527.5285,409.5073,750.5164,635.5786,4753.8475,3512.6591,1853.8448,711.2368,705.2005,693.2796,641.8205,500.2525,116,296
1,-5.2,0,1.6,51,1,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470.1789,217.0054,429.0108,3483.7838,1746.7593,1301.7749,898.57,991.3523,702.5412,527.1577,412.3134,760.0452,630.3021,4745.3337,3556.0776,1867.0894,689.1734,710.2858,685.142,640.3266,494.7284,54,0
1,-5.8,0,2.1,52,0,33.64,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,451.7634,208.5059,434.1726,3502.4904,1760.4701,1298.267,884.6295,953.1996,699.2396,519.202,402.6155,768.6048,650.0474,4775.0704,3567.5378,1899.451,663.4489,723.9464,681.5611,647.3592,496.2779,28,0
1,-6.4,0,1.7,56,5,40.96,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,464.014,214.1603,417.6675,3491.2571,1754.8118,1314.0017,901.255,957.8903,683.5991,507.8375,407.4006,754.1195,671.1149,4815.8483,3579.102,1887.8221,662.989,722.0812,681.0465,640.2234,502.6214,21,0
0,-7,0,1.6,59,2,49,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,494.9173,228.423,438.2313,3487.9432,1754.4657,1299.2547,904.8807,965.8599,719.0592,493.8672,390.0664,759.2225,687.2134,4798.7789,3579.6345,1884.7284,675.5828,724.244,687.0972,632.5592,504.5646,9,0
0,-7.2,0,1.3,61,3,51.84,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.3804,234.1749,446.1406,3518.3709,1779.2022,1301.6667,894.8631,970.6791,708.5429,502.8778,397.9289,770.3506,678.9458,4752.0265,3579.2221,1880.5437,685.3887,723.0045,698.4787,656.7043,478.4149,35,10
0,-7.4,0,0.3,59,2,54.76,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.032,205.3992,440.6551,3487.6214,1789.8582,1292.5421,915.6993,1008.9347,727.9901,530.6742,409.5458,793.6769,675.2878,4772.6754,3560.5171,1910.9327,683.1681,709.2058,712.693,666.4392,483.2726,64,565
1,-7.8,0,2.1,55,1,60.84,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,460.1583,212.3803,459.447,3454.61,1791.7569,1361.1127,926.5137,996.9741,774.9457,536.3459,434.1096,819.6501,674.2249,4694.4118,3569.0227,1890.5477,683.3059,731.2445,696.985,722.7125,523.1746,173,892
