"y","past_rent","bus_passenger","sub_passenger","temp","f45","sunny","f15","f50","wet","f40","X17_18","m40","m25","most_use","m50","f0","f35","m20","f20","m55","f60","m35","m45","m0","m70","m5","cloud","m65","f25","wind","f55","dust","f65","m60","m30","f30","f70","semester","rain","X16_17","X19_20","X18_19","X8_9","X9_10","X7_8","X20_21"
2,0,344,2435,-7.7,802.7161,0,658.9151,772.7932,54,743.9412,0,1025.6266,3324.0483,20535.6556,895.0344,352.3485,1310.0714,2652.1441,4636.7636,844.6391,697.5645,1453.0328,1149.7792,487.1381,858.7583,430.9352,0,484.3968,3455.4277,2,779.1232,21,534.9,598.5327,1801.4965,1902.6712,1267.5847,0,0,0,0,0,0,0,1,0
4,1,712,4472,-7.6,924.3551,0,743.7441,936.5414,55,925.8083,0,1119.5196,2847.9055,18767.3927,1018.9741,375.8258,1263.8432,2519.3405,4270.768,913.6478,728.622,1426.351,1208.1979,436.3641,869.331,644.902,1,517.2983,3084.5751,1.6,843.9229,25,533.7396,643.2286,1648.7732,1705.8362,1304.7471,0,0,0,0,0,1,0,0,0
0,5,484,2597,-6.9,1035.5256,0,686.4385,915.2747,55,940.7677,0,1181.4821,2662.0406,17936.2537,1103.368,376.2878,1285.0733,2482.0831,3956.3774,1001.3734,767.7525,1395.7268,1250.4559,468.4626,922.4688,672.8843,1,549.8313,2871.5283,1.7,895.3672,23,562.8275,736.8433,1612.2712,1671.153,1391.9837,0,0,0,0,0,0,1,0,0
2,1,332,1361,-4,1173.343,0,754.2041,943.9601,55,1009.0316,0,1159.787,2688.0373,18079.1343,1166.6949,362.6595,1342.5714,2511.324,3960.7385,1056.6613,765.2355,1439.9264,1312.3121,509.9497,859.6573,744.7539,2,514.519,2821.1083,1.2,910.2718,20,586.9194,746.2477,1640.1081,1675.3203,1392.7046,0,0,0,0,0,0,0,0,0
1,2,306,1430,-1.4,1104.404,0,863.6813,946.7855,44,1043.2783,0,1156.4928,2626.2692,18323.4817,1122.7146,430.8532,1418.3272,2534.5863,4061.4116,1081.0416,776.9227,1466.3247,1295.4737,517.4044,906.669,878.6157,0,551.6107,2868.6999,1.5,919.8563,32,593.273,717.0376,1662.9091,1684.9537,1475.7007,0,0,0,0,0,0,0,0,0
1,2,350,1601,0.9,1121.1977,0,1014.0743,1008.2463,36,1013.2716,0,1224.5282,2693.7614,18864.0709,1154.8022,371.4619,1447.0067,2710.3982,4233.7315,1075.5495,798.234,1510.9998,1293.3652,458.3968,926.741,857.3689,2,541.5435,2922.4458,2.1,921.7864,38,622.8533,739.0346,1720.4887,1625.2388,1309.883,0,0,0,0,0,0,0,0,0
3,0,407,1661,1.7,1156.7422,1,1117.9918,1044.9356,43,1056.2872,0,1210.1774,2721.8669,19100.1617,1217.4117,477.6398,1398.3945,2856.6664,4305.2457,1066.5346,807.4246,1460.7442,1311.0648,554.3713,956.0724,776.4583,4,542.9097,2941.0495,2.8,930.1997,35,629.8864,759.8518,1717.156,1699.0385,1360.3603,0,0,0,0,0,0,0,0,0
4,1,409,1746,2,1176.4602,1,1331.7675,1042.1027,43,1152.2567,0,1277.6667,2828.2211,19620.1456,1235.0978,405.9336,1423.4154,2913.5869,4551.2047,1092.2724,841.7481,1520.8883,1334.6582,451.932,924.2738,774.643,6,541.6243,2947.6832,2.4,1000.6554,37,617.1358,737.439,1716.8676,1718.2784,1314.2719,0,0,0,0,0,0,0,0,0
2,3,475,2078,2.2,1213.4825,1,1509.9943,987.4939,48,1115.5868,0,1279.4113,2861.655,20033.1745,1182.228,421.9394,1458.7331,3048.8963,4622.7266,1004.7152,844.4154,1563.615,1273.3366,518.499,908.7911,862.0225,6,503.9378,3001.5806,2.2,964.4287,33,633.3601,739.1344,1743.0036,1732.9643,1320.5806,0,0,0,0,0,0,0,0,0
7,1,576,2675,2.3,1165.018,1,1773.7533,1036.4946,49,1060.8693,0,1264.2411,2945.7799,20077.6446,1200.9963,401.7319,1330.0928,3128.9349,4704.3098,931.7262,837.3723,1541.2622,1286.7302,527.9048,924.7538,1113.7642,7,509.5979,3014.8984,2.4,913.6478,37,575.3131,703.575,1758.573,1653.7936,1322.5985,0,0,1,0,0,0,0,0,0
