"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","semester","past_rent","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","X22_23","X23_24","weekend","m0","m5","m25","m35","m50","m65","f20","f25","f30","f45","f55","f65","f70","bus_passenger","sub_passenger"
4,-7.7,0,2,54,0,0,59.29,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,487.1381,430.9352,3324.0483,1453.0328,895.0344,484.3968,4636.7636,3455.4277,1902.6712,802.7161,779.1232,534.9,1267.5847,344,2435
15,-7.6,0,1.6,55,0,1,57.76,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.3641,644.902,2847.9055,1426.351,1018.9741,517.2983,4270.768,3084.5751,1705.8362,924.3551,843.9229,533.7396,1304.7471,712,4472
4,-6.9,0,1.7,55,0,1,47.61,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468.4626,672.8843,2662.0406,1395.7268,1103.368,549.8313,3956.3774,2871.5283,1671.153,1035.5256,895.3672,562.8275,1391.9837,484,2597
1,-4,0,1.2,55,0,2,16,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,509.9497,744.7539,2688.0373,1439.9264,1166.6949,514.519,3960.7385,2821.1083,1675.3203,1173.343,910.2718,586.9194,1392.7046,332,1361
1,-1.4,0,1.5,44,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,517.4044,878.6157,2626.2692,1466.3247,1122.7146,551.6107,4061.4116,2868.6999,1684.9537,1104.404,919.8563,593.273,1475.7007,306,1430
3,0.9,0,2.1,36,0,2,0.81,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,458.3968,857.3689,2693.7614,1510.9998,1154.8022,541.5435,4233.7315,2922.4458,1625.2388,1121.1977,921.7864,622.8533,1309.883,350,1601
1,1.7,0,2.8,43,0,4,2.89,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,554.3713,776.4583,2721.8669,1460.7442,1217.4117,542.9097,4305.2457,2941.0495,1699.0385,1156.7422,930.1997,629.8864,1360.3603,407,1661
2,2,0,2.4,43,0,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,451.932,774.643,2828.2211,1520.8883,1235.0978,541.6243,4551.2047,2947.6832,1718.2784,1176.4602,1000.6554,617.1358,1314.2719,409,1746
0,2.2,0,2.2,48,0,6,4.84,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,518.499,862.0225,2861.655,1563.615,1182.228,503.9378,4622.7266,3001.5806,1732.9643,1213.4825,964.4287,633.3601,1320.5806,475,2078
2,2.3,0,2.4,49,0,7,5.29,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,527.9048,1113.7642,2945.7799,1541.2622,1200.9963,509.5979,4704.3098,3014.8984,1653.7936,1165.018,913.6478,575.3131,1322.5985,576,2675
1,1.6,0,3,56,0,8,2.56,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,478.9472,1462.203,3144.4974,1580.843,1119.0981,528.022,5077.701,3165.3341,1699.6399,1125.9201,912.9846,591.3638,1304.803,626,3455
3,1.3,0,1.9,58,0,9,1.69,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,486.4166,1744.4481,3613.3573,1658.274,1149.0736,510.3344,5727.6594,3976.3613,2191.8572,1187.7941,952.0257,613.0449,1259.3332,939,4126
3,1.3,0,2.6,65,0,9,1.69,1,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,477.2858,1583.4592,3726.0957,1653.4535,1018.1303,491.4713,5850.444,4043.4377,2116.7063,1112.8779,909.9748,628.8605,1230.6667,729,2725
0,1.2,0,1.8,68,0,9,1.44,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,497.7466,1381.3895,3683.61,1583.3262,952.5821,479.5888,5604.409,3963.7459,2055.64,1040.8249,842.1525,628.7436,1215.3251,627,3443
4,1.1,0,2.8,74,0,9,1.21,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,531.9859,873.1528,3461.494,1515.8027,884.6691,450.1245,5014.7695,3702.9449,1898.2962,999.9461,787.7225,618.7889,1199.8616,723,3962
3,0.9,0,1.5,75,0,8,0.81,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,497.0972,609.4041,3518.1665,1424.2559,845.0835,441.0624,4899.2655,3708.7899,1918.2531,979.5203,753.3699,598.7396,1186.8485,362,1166
0,0.6,0,1.3,75,0,9,0.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,414.5938,470.2152,3416.9302,1333.3334,749.8151,424.8363,4984.0756,3580.1829,1884.8524,761.3617,673.1856,505.2386,1145.3585,203,319
0,0.7,0,1.6,81,0,9,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,426.6739,444.4648,3449.8626,1298.8684,766.7922,418.9969,5007.5642,3637.2328,1887.471,775.1001,662.4176,512.173,1212.3185,65,1
0,0.7,0,1.3,81,0,9,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.5134,428.2473,3456.5987,1292.2232,779.3861,414.6474,4980.5129,3665.298,1892.3083,785.4322,666.8511,519.4533,1187.8481,17,0
0,-0.4,0,2.4,77,0,0,0.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,458.0187,439.4328,3478.9939,1299.4078,809.4018,417.1738,4990.509,3660.8975,1920.5468,775.7705,651.9989,506.6489,1209.5271,19,0
0,-1.6,0,2,78,0,0,2.56,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450.7315,445.6092,3470.7597,1304.0884,799.5994,408.4671,5009.4618,3645.3716,1906.5811,781.8964,655.9734,506.116,1197.8386,13,0
0,-2.2,0,2.5,76,0,0,4.84,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446.1981,433.3701,3507.3218,1310.1349,795.2073,417.227,5006.1417,3644.9303,1913.1474,788.2734,669.6746,492.5156,1176.5258,37,12
1,-2.9,0,3.3,74,0,0,8.41,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,445.893,436.69,3528.7522,1302.2315,823.1289,443.7448,4987.1576,3658.787,1936.3364,823.8623,664.3869,517.363,1188.0812,73,533
0,-3.6,0,2.6,73,0,0,12.96,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,462.159,457.1604,3460.1136,1358.1896,859.3558,455.1808,4950.9677,3614.7621,1956.8949,845.7905,691.5141,531.4881,1204.6782,165,879
3,-4,0,2.5,76,0,0,16,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,497.5077,489.7856,3341.18,1409.4014,952.5671,471.0293,4735.728,3485.6262,1936.5794,926.4106,786.05,567.9657,1270.5529,409,2390
11,-4.6,0,1.9,75,0,0,21.16,0,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,429.8143,708.9889,2885.0788,1439.1881,1030.6452,528.4385,4435.8508,3148.3347,1764.2484,1050.9343,817.9676,569.5154,1310.776,703,4454
4,-4.3,0,3.8,73,0,0,18.49,0,0,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,476.2704,802.3288,2692.5035,1484.9312,1049.6416,507.5462,4089.8537,2878.7932,1700.6607,1169.6089,901.2309,623.2557,1362.727,563,2763
3,-3.5,0,2.8,66,0,0,12.25,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,564.9719,745.1764,2649.8149,1626.0089,1116.5761,535.5387,4018.2643,2853.2876,1726.2785,1149.9966,975.3952,602.1127,1389.6236,339,1469
1,-1.9,0,3.2,55,0,0,3.61,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,565.6571,871.9803,2658.0089,1552.6038,1104.4923,506.5349,4008.8564,2936.7126,1713.4265,1169.7304,928.1541,563.289,1418.5423,308,1379
3,-0.6,0,2.5,45,0,0,0.36,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,433.2093,870.0727,2720.6444,1497.8116,1094.7253,493.4305,4202.652,2971.0811,1695.3672,1216.4054,930.3996,586.3449,1323.5624,370,1599
2,-0.5,0,2.9,43,0,0,0.25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,429.6683,989.5104,2704.3944,1506.2213,1142.2775,518.293,4289.9368,3010.1518,1759.9491,1239.7109,1014.2967,632.3722,1423.9683,467,1782
1,0,0,3.6,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,454.1507,937.4322,2684.0141,1569.0751,1180.6273,491.0259,4528.7112,2990.4077,1747.3041,1216.8104,1048.0621,637.2655,1356.8135,409,1826
3,0.9,0,3.5,32,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,486.001,1068.2919,2816.5996,1632.6032,1160.9242,552.0688,4624.7426,2983.4293,1740.7127,1182.3616,1045.2699,665.3859,1363.4909,534,2153
0,0.7,0,3,29,0,0,0.49,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,521.1488,1374.2412,2808.911,1582.6272,1059.9317,562.3241,4815.212,2975.8739,1672.2686,1122.2438,977.017,578.8968,1307.8821,543,2758
