"y","m30","f20","f15","m25","temp","X10_11","sub_passenger","X9_10","m20","m50","bus_passenger","semester","f50","wet","rain","f45","m5","f70","f30","past_rent","f40","m45","f0","m35","m0","m55","m70","f35","m40","most_use","f55","f65","m65","m60","cloud","f60","f25","wind","X8_9","dust","sunny","X7_8","X11_12","X15_16","temp.sqr","X13_14","X16_17","X14_15"
0,1808.7333,4098.2867,848.3786,3096.9322,1.4,0,1307,0,2553.8709,842.0146,251,0,803.6848,74,0,866.4332,774.3842,1288.6323,1666.6389,0,881.6837,1052.0858,536.9017,1358.0544,569.5927,805.2971,693.9417,1245.0799,973.1295,18837.6272,743.7875,541.7407,428.0588,529.9763,6,646.2579,3010.0309,2.4,0,65,1,0,0,0,1.96,0,0,0
0,1888.7752,4258.0445,983.88,3235.9751,1.4,0,1489,0,2719.6056,869.0742,343,0,821.4102,67,0,935.6483,808.9133,1370.8558,1715.4634,1,952.7356,1044.7225,818.0814,1387.0997,815.6734,808.177,755.5868,1306.1918,1029.1762,19716.8901,777.4661,533.556,408.0048,532.6915,3,658.2622,3205.7348,3.6,0,59,1,0,0,0,1.96,1,0,0
0,1954.7321,4481.4933,1331.7228,3349.7157,2.4,0,1618,0,2882.892,883.5678,367,0,846.7926,55,0,968.025,1002.3004,1245.7425,1794.8592,0,992.1802,1137.1555,878.6592,1497.7037,817.1264,804.7556,756.9006,1320.17,1062.4139,20642.6203,833.2126,603.1208,408.1565,521.6277,1,654.9396,3361.0543,3.5,0,62,1,0,0,0,5.76,0,0,1
0,2063.8073,4712.0271,1688.3151,3486.664,2.5,0,2054,0,3120.7859,853.4059,388,0,846.7644,46,0,954.9945,1297.0896,1216.4534,1830.8999,0,994.0372,1091.4846,939.6766,1445.9994,864.6418,807.2075,773.9112,1303.2258,1109.1937,21492.5267,823.7659,596.9327,428.9827,519.9179,0,629.5059,3529.1173,3.3,0,46,1,0,0,1,6.25,0,0,0
0,2082.8798,5063.1589,2171.2288,3669.4364,2.5,0,2230,0,3374.3148,863.2513,465,0,899.8927,45,0,956.3247,1600.7282,1290.0584,1920.2308,0,973.9869,1119.0707,1007.2311,1451.9756,777.8725,853.5617,799.1847,1317.1841,1039.4907,22519.1623,864.8622,562.35,385.5774,554.4749,0,651.7925,3639.9819,3,0,37,1,0,0,0,6.25,0,1,0
0,2206.5296,5532.0384,2424.7573,3893.5444,1.2,0,2283,0,3887.7327,863.1784,464,0,860.2495,45,0,984.5096,1846.4531,1274.2889,1925.9611,0,903.5491,1098.6465,830.7737,1526.3762,741.337,859.1337,815.0186,1307.3212,1053.9673,24165.612,836.6289,538.1844,408.6593,585.6299,0,648.4771,3886.1084,2.7,0,35,1,0,0,0,1.44,0,0,0
1,2201.5787,5673.6481,2460.2036,4015.2045,-0.5,0,2227,0,4151.5567,889.1927,406,0,852.6026,40,0,958.3552,2041.3181,1177.0982,1985.6483,0,920.1534,1046.2956,637.631,1517.6441,650.3535,811.1428,833.3295,1222.7737,1041.9536,24790.6092,788.0574,577.2871,423.7561,574.8783,0,676.5605,4022.5551,2.9,0,34,0,0,0,0,0.25,0,0,0
0,2198.7499,5723.259,2455.9861,4121.813,-1.6,0,2152,0,4383.8353,871.3076,371,0,810.5095,41,0,902.1259,1931.3085,1223.7716,1914.8314,0,870.9679,1060.9019,546.9288,1547.3232,648.1827,823.536,829.5648,1315.8114,1012.3337,25197.4386,775.9222,559.4414,427.686,552.3845,0,648.6117,3991.8154,2,0,28,0,0,0,0,2.56,0,0,0
0,2047.8595,5350.0875,1915.152,3996.4277,-2.6,0,3853,0,3990.1439,803.9074,469,0,785.26,46,0,898.2168,1639.9636,1219.6571,1875.5813,0,809.7796,1073.7328,416.575,1432.3184,580.0914,808.785,788.7672,1295.8298,964.321,23881.3281,800.1316,551.7985,408.2072,540.6714,0,691.6397,3893.08,1.6,0,27,0,0,0,0,6.76,0,0,0
0,1917.7334,4760.5238,1058.0538,3656.7708,-2.9,0,4295,0,3147.1985,841.3478,642,0,799.0475,48,0,847.5671,906.2387,1175.6434,1843.4158,0,783.3676,1028.2462,419.1941,1363.413,558.5282,811.96,778.7249,1194.3992,942.9685,21503.0803,765.0819,551.3256,427.58,547.0492,0,666.741,3619.6258,2.7,0,20,0,0,0,0,8.41,0,0,0
