"y","temp","rain","wind","wet","cloud","temp.sqr","sunny","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X5_6","X6_7","X7_8","X8_9","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X19_20","X20_21","X21_22","X23_24","weekend","m5","m20","m25","m35","m45","m55","m60","m65","m70","f20","f25","f30","f40","f50","f60","f65","bus_passenger","sub_passenger"
0,-6.9,0,1.7,55,1,47.61,0,0,5,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,672.8843,2482.0831,2662.0406,1395.7268,1250.4559,1001.3734,736.8433,549.8313,922.4688,3956.3774,2871.5283,1671.153,940.7677,915.2747,767.7525,562.8275,484,2597
0,-4,0,1.2,55,2,16,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,744.7539,2511.324,2688.0373,1439.9264,1312.3121,1056.6613,746.2477,514.519,859.6573,3960.7385,2821.1083,1675.3203,1009.0316,943.9601,765.2355,586.9194,332,1361
2,-1.4,0,1.5,44,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,878.6157,2534.5863,2626.2692,1466.3247,1295.4737,1081.0416,717.0376,551.6107,906.669,4061.4116,2868.6999,1684.9537,1043.2783,946.7855,776.9227,593.273,306,1430
3,0.9,0,2.1,36,2,0.81,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,857.3689,2710.3982,2693.7614,1510.9998,1293.3652,1075.5495,739.0346,541.5435,926.741,4233.7315,2922.4458,1625.2388,1013.2716,1008.2463,798.234,622.8533,350,1601
0,1.7,0,2.8,43,4,2.89,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,776.4583,2856.6664,2721.8669,1460.7442,1311.0648,1066.5346,759.8518,542.9097,956.0724,4305.2457,2941.0495,1699.0385,1056.2872,1044.9356,807.4246,629.8864,407,1661
0,2,0,2.4,43,6,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,774.643,2913.5869,2828.2211,1520.8883,1334.6582,1092.2724,737.439,541.6243,924.2738,4551.2047,2947.6832,1718.2784,1152.2567,1042.1027,841.7481,617.1358,409,1746
0,2.2,0,2.2,48,6,4.84,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,862.0225,3048.8963,2861.655,1563.615,1273.3366,1004.7152,739.1344,503.9378,908.7911,4622.7266,3001.5806,1732.9643,1115.5868,987.4939,844.4154,633.3601,475,2078
0,2.3,0,2.4,49,7,5.29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1113.7642,3128.9349,2945.7799,1541.2622,1286.7302,931.7262,703.575,509.5979,924.7538,4704.3098,3014.8984,1653.7936,1060.8693,1036.4946,837.3723,575.3131,576,2675
0,1.6,0,3,56,8,2.56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1462.203,3566.9292,3144.4974,1580.843,1265.1751,862.4286,662.4177,528.022,918.6571,5077.701,3165.3341,1699.6399,1050.205,969.4632,794.8837,591.3638,626,3455
5,1.3,0,1.9,58,9,1.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1744.4481,4113.3908,3613.3573,1658.274,1371.9742,922.902,717.9191,510.3344,933.1072,5727.6594,3976.3613,2191.8572,1075.355,969.3633,790.7419,613.0449,939,4126
1,1.3,0,2.6,65,9,1.69,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1583.4592,4065.1125,3726.0957,1653.4535,1213.1551,864.4499,650.9527,491.4713,876.745,5850.444,4043.4377,2116.7063,979.0794,904.3468,784.2587,628.8605,729,2725
0,1.2,0,1.8,68,9,1.44,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1381.3895,3789.5552,3683.61,1583.3262,1167.5954,816.706,590.3687,479.5888,848.6156,5604.409,3963.7459,2055.64,899.9572,849.9934,732.2397,628.7436,627,3443
0,1.1,0,2.8,74,9,1.21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,873.1528,3060.5916,3461.494,1515.8027,1045.0666,776.5617,607.2116,450.1245,876.2562,5014.7695,3702.9449,1898.2962,788.8963,837.7435,753.9444,618.7889,723,3962
1,0.9,0,1.5,75,8,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,609.4041,2813.8935,3518.1665,1424.2559,1037.7303,744.7992,579.0217,441.0624,871.3815,4899.2655,3708.7899,1918.2531,740.4864,792.4223,721.0197,598.7396,362,1166
0,0.6,0,1.3,75,9,0.36,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,470.2152,2724.7673,3416.9302,1333.3334,970.2347,743.2161,537.363,424.8363,783.018,4984.0756,3580.1829,1884.8524,711.5363,717.6586,635.2793,505.2386,203,319
0,0.7,0,1.6,81,9,0.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,444.4648,2761.1498,3449.8626,1298.8684,963.4141,709.9803,524.4742,418.9969,782.3677,5007.5642,3637.2328,1887.471,698.8754,711.7672,641.0496,512.173,65,1
0,0.7,0,1.3,81,9,0.49,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,428.2473,2788.5948,3456.5987,1292.2232,961.2036,705.5771,523.2548,414.6474,793.1148,4980.5129,3665.298,1892.3083,727.4408,684.1675,638.1279,519.4533,17,0
0,-0.4,0,2.4,77,0,0.16,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,439.4328,2766.1461,3478.9939,1299.4078,972.9738,734.9129,521.8646,417.1738,772.5876,4990.509,3660.8975,1920.5468,710.2491,703.6787,636.5435,506.6489,19,0
