"y","past_rent","station_dist","bus_passenger","temp","m60","X18_19","f30","wet","m20","f25","f65","m35","sub_passenger","m5","m0","f40","m55","f60","m25","dust","f0","m45","m65","station_type","f55","m30","m50","f15","m70","wind","f70","f35","f45","f50","f20","m40","X9_10","m10","semester","X19_20","weekend","most_use","X10_11","f10","cloud","X17_18","X8_9","X7_8","rain","X22_23"
4,4,100,778,12.2,652.4667,1,1050.7986,22,747.2057,1245.8367,516.1983,947.5686,1606,568.782,720.3347,932.3356,875.8239,710.7221,1173.7034,47,521.808,1019.5757,377.9894,0,951.6148,1080.9475,864.1725,687.5764,858.4248,3.3,1274.6597,1084.8958,1033.0125,892.9698,866.6881,1011.7738,0,335.4671,1,0,0,8197.6444,0,277.9296,0,0,0,0,0,0
2,1,43,342,23.5,851.3126,0,1094.6195,86,1143.8269,1190.4416,752.5621,1295.1986,1515,1089.4572,1218.8509,1236.156,1065.9489,1126.5119,1099.8065,15,1619.9184,1411.8351,610.0979,0,1216.7687,1022.1844,1212.8406,982.0306,1091.1656,3.1,1660.6691,1331.6655,1498.342,1237.1211,1058.8067,1246.2442,0,662.9237,0,0,0,9236.5497,0,846.7106,10,0,0,0,0,0
1,2,73,218,6.9,427.2907,0,801.913,35,460.8606,912.1454,406.8725,757.2579,0,230.5651,685.0143,520.6757,612.6278,542.4869,696.0262,62,518.6514,603.823,339.1335,0,531.4602,774.3319,585.7235,278.238,615.6051,5.2,842.0322,808.0822,558.8539,512.6086,547.9115,676.7163,0,240.973,0,0,1,5758.5287,0,204.1749,0,0,0,0,0,0
3,2,19,251,-1.9,843.7235,0,795.4269,90,778.8793,895.988,811.3335,1011.2057,496,1347.4448,1404.3163,1835.313,1157.6646,1025.2254,708.0064,40,1694.8471,1536.7886,684.8218,1,1410.7799,719.7045,1371.9631,1471.2884,1124.5237,1.9,1731.0919,1347.7115,2103.3315,1476.9466,951.2272,1206.4288,0,1187.1711,1,1,0,7208.1495,0,1419.6956,0,0,0,0,0,0
0,0,86,260,6.7,386.8721,0,695.0419,49,622.8873,806.4607,377.7665,669.9196,1422,277.8573,413.2151,592.4132,528.1433,539.5923,730.6861,12,608.9781,651.5334,265.4835,0,595.9451,664.3365,548.3898,372.4685,593.8766,3.9,875.4974,835.7331,610.3355,517.3992,743.8811,610.667,0,137.7384,0,0,0,5768.9463,0,217.7348,6,0,0,0,0,0
0,0,42,283,-2.4,430.026,0,753.3834,48,786.7604,1094.1824,339.1411,922.2346,0,297.534,471.4656,564.5516,589.1348,486.2801,1117.8751,20,332.8769,611.4454,330.3884,0,583.4746,1003.9333,556.7421,291.5811,519.8445,2.7,960.1012,736.0617,555.2023,554.909,1069.2017,689.4507,0,197.3231,0,0,0,7483.6326,0,163.0918,3,0,0,0,0,0
6,7,36,251,21.7,710.0687,0,1065.9461,26,924.0648,1281.9559,615.7151,952.3914,0,679.4284,591.3932,877.0395,853.6984,859.784,1241.5071,40,495.8799,983.2431,447.3272,0,962.2778,1036.7119,786.5112,632.5165,822.2925,3.2,1306.2406,968.5667,941.7144,759.7175,1122.7443,914.6845,0,360.6694,1,0,1,8593.8882,0,286.8331,0,0,0,0,0,0
0,1,43,130,4.8,857.0753,0,1097.0946,68,781.0575,1207.8341,672.4503,1282.944,1180,906.2001,1031.1463,1153.066,1111.6615,1088.1194,935.2324,12,1213.5365,1332.3071,574.7627,0,1117.9038,947.5665,1283.8292,1021.5319,1027.4189,1.4,1465.5278,1272.4432,1637.137,1225.4059,863.6631,1201.8694,0,560.8324,1,0,0,8387.8354,0,634.3003,0,0,0,0,0,0
0,0,43,35,12.7,825.1943,0,1044.0045,90,632.6682,1109.5961,679.5145,1169.3972,333,855.444,994.7829,1121.6188,1158.6772,1002.4119,889.4461,6,1252.6263,1315.3184,632.0995,0,1146.6926,981.5616,1234.9547,1050.6034,1072.5959,2.9,1497.6747,1211.3758,1622.6876,1212.1372,949.3881,1022.0264,0,541.0541,1,0,0,7987.4376,0,654.7316,10,0,0,0,0,0
7,5,90,332,14.2,640.86,0,1040.1403,37,975.1219,1269.9648,673.027,972.1741,0,721.8811,610.5321,1037.8878,874.1827,935.1317,1114.1742,52,474.3026,997.9435,440.0016,0,1093.0706,1022.8017,825.5013,597.1524,832.2998,3.5,1545.7103,1068.8221,943.1553,934.5753,1082.4059,962.6945,0,372.3418,1,0,0,8545.605,0,274.352,1,0,0,0,0,0
2,0,118,216,7.1,821.8663,0,1040.3576,74,849.5434,1126.6271,730.378,1056.2916,2191,838.5588,919.0432,1056.2775,1038.0105,1111.6842,930.1524,33,893.7532,1259.6461,606.0776,0,1156.9347,1005.2509,1119.96,829.5455,1183.6212,2.1,1552.8499,1350.4533,1473.8477,1274.259,790.5226,1139.8287,0,499.8605,1,0,0,8149.1989,1,467.1537,2,0,0,0,0,0
3,4,127,278,10.2,777.8052,0,1024.2651,74,973.4513,1071.9427,778.0467,1066.3927,3243,516.4741,909.5898,1179.7058,1059.0815,1056.5953,940.6652,39,960.2029,1304.1898,631.4033,0,1242.5664,997.9387,1133.4805,536.9452,1178.8404,0.6,1588.4116,1325.7348,1534.5132,1297.9593,891.2331,1121.3786,1,494.719,1,0,0,8291.6236,0,501.8863,7,0,0,0,0,0
2,1,109,342,21.4,460.9679,0,561.9004,68,357.8844,466.1177,494.3731,550.6447,840,314.0497,506.4352,556.8831,608.8748,634.1354,475.5985,14,461.2485,520.4145,357.5596,0,717.6383,500.284,626.1994,290.4061,762.0997,2.2,1218.6803,633.7104,621.4039,672.4056,455.3525,513.1689,0,250.4254,0,0,0,4001.4926,0,223.8278,10,1,0,0,0,0
1,0,109,4,21.5,504.3796,0,828.7129,90,507.7727,665.2124,459.0317,757.7534,0,320.585,489.5812,481.3508,631.7856,590.1235,672.484,56,490.2452,629.0436,344.0928,0,805.9622,721.0093,619.518,311.6312,709.1616,1.9,1132.5507,680.5124,717.6968,671.4144,540.1077,608.4485,0,242.0912,0,0,1,5373.5648,0,237.899,8,0,0,0,0,0
3,0,40,434,31.5,440.2949,0,878.6224,72,1229.938,1085.0046,460.7895,919.0337,0,387.015,308.5413,742.4569,694.5475,533.1446,1383.8573,49,350.868,860.7021,320.1609,0,588.3579,962.7915,714.2247,394.015,694.8833,3.3,1082.8512,958.475,691.2407,581.2209,1481.6014,748.9309,0,129.134,0,0,0,8899.3239,0,171.9066,10,0,0,0,0,0
1,0,47,141,10.7,638.6273,0,971.9826,53,595.9189,984.6563,624.6066,997.7317,0,456.7219,900.6593,940.5677,753.5073,839.9852,880.39,21,745.511,960.6921,465.9937,0,967.6515,970.2059,686.6913,496.1951,891.007,1.8,1288.8317,1111.0108,994.3708,786.9073,711.5518,870.9305,0,421.3417,1,0,0,7223.448,0,323.8298,0,0,0,0,0,0
2,5,38,409,1.4,606.5365,0,806.006,47,629.171,918.3882,617.1617,811.0053,765,639.3187,701.0119,910.2706,728.5551,754.8654,742.0991,39,938.7321,935.7934,424.3503,1,807.3418,641.1288,722.6212,807.5642,1020.5723,0.5,1284.3771,908.2376,992.1035,734.6559,696.7481,730.612,0,387.5328,1,0,1,6152.7841,1,544.97,7,0,0,0,0,0
8,6,57,47,25.4,698.2693,0,1178.8305,87,975.3772,1500.8443,595.3939,1042.4722,0,601.6099,514.64,995.4419,831.0858,862.4345,1299.0586,8,534.2228,1051.7526,461.0767,0,1054.8477,1179.2379,784.4361,527.8493,835.4031,1.1,1391.7104,1143.6,903.7279,855.4124,1341.8541,935.8114,0,313.8605,0,0,1,9661.2748,0,309.0119,6,0,0,0,0,0
2,12,183,378,25.3,616.0593,0,874.6084,82,725.0213,933.5576,607.7755,1076.6483,0,583.0478,899.2731,1010.4615,773.7617,772.2418,813.4202,21,794.2774,1032.2288,498.6955,0,1044.4866,700.774,774.6482,624.2564,882.8908,0.8,1324.0256,1202.0073,1068.3703,936.3745,889.8451,945.4182,0,464.2031,0,0,0,7215.8822,0,422.1892,10,0,0,0,0,0
5,1,88,151,11.9,284.5375,0,911.1343,76,551.7929,967.5877,302.6562,786.187,9,207.4997,383.6626,546.358,373.4161,322.1069,758.6379,38,341.3118,472.7951,191.412,0,467.8935,687.0688,429.1647,293.8177,368.5465,2,699.8741,724.6172,441.1711,369.5297,703.6867,509.7506,0,127.8875,1,0,1,6090.7125,0,122.0331,0,0,0,0,0,0
