"y","temp","rain","wind","wet","cloud","dust","sunny","semester","past_rent","X4_5","X5_6","X6_7","X7_8","X9_10","X10_11","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X22_23","X23_24","m10","m5","m35","m45","m55","m70","f25","f30","f60","f65","bus_passenger","sub_passenger","weekend"
0,-7.4,0,0.3,59,2,24,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.3992,440.6551,1292.5421,1008.9347,727.9901,793.6769,3560.5171,1910.9327,659.0093,483.2726,64,565,0
0,-7.8,0,2.1,55,1,22,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.3803,459.447,1361.1127,996.9741,774.9457,819.6501,3569.0227,1890.5477,642.1534,523.1746,173,892,0
1,-7.7,0,2,54,0,21,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224.833,430.9352,1453.0328,1149.7792,844.6391,858.7583,3455.4277,1902.6712,697.5645,534.9,344,2435,0
4,-7.6,0,1.6,55,1,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201.3988,644.902,1426.351,1208.1979,913.6478,869.331,3084.5751,1705.8362,728.622,533.7396,712,4472,0
1,-6.9,0,1.7,55,1,23,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,216.2132,672.8843,1395.7268,1250.4559,1001.3734,922.4688,2871.5283,1671.153,767.7525,562.8275,484,2597,0
0,-4,0,1.2,55,2,20,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,235.361,744.7539,1439.9264,1312.3121,1056.6613,859.6573,2821.1083,1675.3203,765.2355,586.9194,332,1361,0
0,-1.4,0,1.5,44,0,32,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,238.8017,878.6157,1466.3247,1295.4737,1081.0416,906.669,2868.6999,1684.9537,776.9227,593.273,306,1430,0
0,0.9,0,2.1,36,2,38,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,211.5678,857.3689,1510.9998,1293.3652,1075.5495,926.741,2922.4458,1625.2388,798.234,622.8533,350,1601,0
0,1.7,0,2.8,43,4,35,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,255.8632,776.4583,1460.7442,1311.0648,1066.5346,956.0724,2941.0495,1699.0385,807.4246,629.8864,407,1661,0
2,2,0,2.4,43,6,37,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,208.5832,774.643,1520.8883,1334.6582,1092.2724,924.2738,2947.6832,1718.2784,841.7481,617.1358,409,1746,0
