"y","temp","rain","wind","wet","snow","cloud","temp.sqr","sunny","past_rent","X5_6","X6_7","X7_8","X8_9","X9_10","X11_12","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","X23_24","m10","m5","m20","m25","m30","m35","m45","m50","m65","m70","f0","f15","f20","f25","f30","f35","f40","f50","f60","f65","sub_passenger","f70"
0,-2.9,0,2.7,48,0,0,8.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,257.7822,906.2387,3147.1985,3656.7708,1917.7334,1363.413,1028.2462,841.3478,427.58,778.7249,419.1941,1058.0538,4760.5238,3619.6258,1843.4158,1194.3992,783.3676,799.0475,666.741,551.3256,4295,1175.6434
0,-3.8,0,2.1,49,0,0,14.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,265.8909,642.8577,2838.5561,3555.0641,1884.5123,1342.2597,1039.9894,800.7484,434.2469,793.1548,392.1807,767.9079,4706.2114,3542.5483,1842.3086,1203.7896,795.783,799.6374,683.2331,564.4722,1183,1165.0347
0,-4.4,0,2.9,48,0,0,19.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,209.7458,412.8902,2702.1775,3454.4892,1756.178,1322.5,983.0021,746.819,409.5073,750.5164,302.5978,635.5786,4753.8475,3512.6591,1853.8448,1167.7962,711.2368,693.2796,613.1592,500.2525,296,1144.6911
1,-5.2,0,1.6,51,0,1,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217.0054,429.0108,2739.8139,3483.7838,1746.7593,1301.7749,991.3523,731.7209,412.3134,760.0452,298.2608,630.3021,4745.3337,3556.0776,1867.0894,1180.2811,689.1734,685.142,623.4963,494.7284,0,1090.2994
0,-5.8,0,2.1,52,0,0,33.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208.5059,434.1726,2757.503,3502.4904,1760.4701,1298.267,953.1996,748.8319,402.6155,768.6048,288.5762,650.0474,4775.0704,3567.5378,1899.451,1171.9583,663.4489,681.5611,636.0671,496.2779,0,1091.5168
0,-6.4,0,1.7,56,0,5,40.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,214.1603,417.6675,2772.7609,3491.2571,1754.8118,1314.0017,957.8903,757.3202,407.4006,754.1195,285.7222,671.1149,4815.8483,3579.102,1887.8221,1184.0139,662.989,681.0465,631.7989,502.6214,0,1121.5832
0,-7,0,1.6,59,0,2,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228.423,438.2313,2780.6139,3487.9432,1754.4657,1299.2547,965.8599,749.408,390.0664,759.2225,302.9079,687.2134,4798.7789,3579.6345,1884.7284,1176.7656,675.5828,687.0972,633.0392,504.5646,0,1092.3598
0,-7.2,0,1.3,61,0,3,51.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,234.1749,446.1406,2803.1913,3518.3709,1779.2022,1301.6667,970.6791,742.6971,397.9289,770.3506,307.4638,678.9458,4752.0265,3579.2221,1880.5437,1212.531,685.3887,698.4787,631.4011,478.4149,10,1133.1607
0,-7.4,0,0.3,59,0,2,54.76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205.3992,440.6551,2795.1302,3487.6214,1789.8582,1292.5421,1008.9347,762.1957,409.5458,793.6769,291.5509,675.2878,4772.6754,3560.5171,1910.9327,1226.4843,683.1681,712.693,659.0093,483.2726,565,1113.8521
0,-7.8,0,2.1,55,0,1,60.84,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,212.3803,459.447,2756.9281,3454.61,1791.7569,1361.1127,996.9741,789.6308,434.1096,819.6501,301.4263,674.2249,4694.4118,3569.0227,1890.5477,1238.8622,683.3059,696.985,642.1534,523.1746,892,1165.0858
