"y","past_rent","station_dist","sub_passenger","bus_passenger","temp","station_type","m50","m30","f45","m20","f70","m45","f0","wet","f15","f50","f40","m40","m0","X8_9","m55","m5","f20","semester","m60","f30","wind","m35","f65","f60","f55","m65","f25","m70","m25","f35","dust","X17_18","cloud","most_use","X9_10","sunny","X10_11","rain","temp.sqr","X19_20","X13_14","X18_19"
6,7,37,4277,832,15.6,0,1025.3281,1807.8217,1235.3752,4401.895,1208.5257,1339.3323,449.9838,39,1803.0972,1003.4124,1137.0587,1165.8809,434.7522,0,1065.7141,1261.1269,6447.546,1,683.0285,2002.1933,3.5,1558.3561,599.7377,757.6548,1051.7876,469.0271,3744.1162,977.0731,3228.8748,1599.485,39,1,0,24790.2881,0,1,0,0,243.36,0,0,0
9,5,116,1706,361,15.2,1,1183.0014,1634.4579,1229.8781,4808.6634,1238.6916,1296.3306,381.0853,50,1331.9612,1086.5847,1071.112,1232.649,486.7646,0,1090.7232,1196.2494,6628.9277,1,683.6274,1656.0142,1.9,1470.9525,633.0138,775.7819,913.9319,441.6373,3089.9726,853.8215,3084.4534,1514.2496,32,0,2,23887.6913,0,1,0,0,231.04,0,0,0
7,2,113,4147,894,29.1,0,1066.9041,1989.8099,1202.9271,4055.1049,1227.5192,1186.6395,512.275,65,1778.6413,1054.66,1085.5719,1216.185,532.44,0,985.7055,1236.591,6092.6747,0,681.8724,1963.7643,2,1617.599,581.1008,754.4236,967.4587,474.0119,3881.6702,814.3827,3427.9285,1511.6583,26,0,7,24540.2098,0,1,0,0,846.81,0,0,1
1,0,546,3566,626,3,0,1103.002,1896.9606,1125.1707,3456.518,1354.0324,1272.7957,412.4243,35,2034.534,962.6912,1034.3976,1271.4682,431.0596,0,1063.4642,1350.3366,5014.3307,0,647.7753,1704.4114,3.3,1631.4008,551.7871,765.4005,984.1923,477.4896,3198.0204,913.758,3076.4368,1380.642,62,1,0,21358.7207,0,1,0,0,9,0,0,0
0,0,554,716,94,11.5,0,815.2644,1960.4283,818.7611,4167.655,1237.3678,1052.8541,390.5555,59,1175.2543,750.7463,715.8115,896.3245,332.0703,0,820.0538,917.3068,6579.8638,1,537.8266,1987.3559,3.9,1345.1963,494.735,602.7764,649.1284,395.4305,3999.8605,796.6224,3889.5694,1343.3343,26,0,7,25273.2635,0,1,0,0,132.25,0,0,0
3,0,232,4207,730,-5.8,0,1024.1542,1644.0086,913.5489,2616.2649,1307.7351,1171.7635,383.7216,63,697.4565,885.4934,936.5527,1105.8852,425.919,1,913.92,468.5632,4150.8278,0,628.5059,1776.107,2.3,1279.479,551.5716,722.2764,898.7047,471.3196,3176.0855,829.3303,2832.2548,1329.0239,29,0,2,18804.0515,0,0,0,0,33.64,0,0,0
0,0,546,430,121,12.7,0,756.5957,1856.1099,828.6584,3551.6863,1185.7772,945.7844,318.6801,99,1095.6374,729.9989,746.8578,866.0383,412.5945,0,711.3919,754.1121,5540.6634,1,516.1692,1813.4588,0.9,1274.7313,506.6984,628.8244,672.853,403.159,3673.3774,941.3796,3467.144,1219.2317,34,0,10,22396.4028,0,0,0,9.9,161.29,0,0,0
0,0,113,918,204,11.3,0,810.5012,1834.178,821.2429,3430.0294,1184.5512,988.7503,400.1507,97,1015.4317,781.1657,852.694,870.7801,442.9689,0,811.3004,832.2266,4859.8265,1,583.5334,1770.0381,1.3,1266.6615,542.3042,666.0773,677.8915,400.583,3314.1015,743.2827,3372.116,1211.6897,6,0,10,21058.6407,0,1,1,0,127.69,0,0,0
0,3,37,1382,320,11.1,0,1070.2211,1733.2493,1171.005,3738.7765,1489.8876,1292.3872,296.8349,62,1680.2657,960.7789,1112.9033,1100.5241,648.473,0,1047.4982,1485.8506,5372.2765,1,691.1226,1794.0906,1.2,1531.7415,630.5844,763.1082,930.9655,481.3625,3283.8786,941.0345,2892.7033,1475.7818,66,0,1,21822.4981,0,1,0,0,123.21,0,0,0
11,9,116,1909,445,16.4,1,957.2772,1658.3492,1160.9012,3995.498,1298.7459,1432.7262,331.6101,35,1751.2597,1041.5484,1149.9955,1159.1298,686.1453,0,958.062,1729.553,5558.4565,1,696.4217,1709.3832,2.7,1663.3788,628.1238,830.866,990.5869,485.9526,3261.4588,969.2361,2892.004,1442.1852,83,0,0,22180.7137,0,1,0,0,268.96,0,0,0
0,0,113,1006,201,22.1,0,819.7958,1899.9316,825.8437,3894.1847,1278.589,988.4178,392.5185,91,1125.608,765.8915,867.1969,931.9149,464.2748,0,713.8194,890.5914,6068.503,1,568.3232,1915.8371,0.3,1428.5655,550.1697,677.2155,682.3324,445.2788,3916.6003,818.2074,3688.2697,1317.0237,17,0,8,24128.9156,0,0,0,0,488.41,0,0,0
2,5,51,2614,461,23.7,0,929.021,2140.9298,876.3892,4650.779,1331.5004,1007.5849,469.2365,81,1505.9541,925.5826,854.5316,1026.2046,593.1742,0,811.4554,1297.6758,6926.1217,1,627.8024,2059.9112,1.4,1544.8531,615.9513,756.7036,803.3736,435.8642,4224.4822,820.4683,4168.7908,1393.0546,32,0,8,27108.9224,0,1,0,0,561.69,0,0,0
6,0,113,4119,994,31.3,0,1113.9155,1956.3479,1087.2035,4128.6102,1295.2376,1279.0015,529.7779,61,1780.7646,959.368,1178.9015,1368.9611,658.4771,0,961.7984,1273.7912,5885.9489,0,678.2423,2075.0426,2.9,1758.9504,594.0552,734.0212,952.6114,439.3532,3888.3886,826.1348,3460.4399,1549.4318,37,0,1,24703.1603,0,1,0,0,979.69,0,0,1
