"y","station_dist","station_type","rain","cloud","temp.sqr","semester","past_rent","X1_2","X2_3","X3_4","X4_5","X7_8","X8_9","X9_10","X10_11","X12_13","X13_14","X14_15","X15_16","X16_17","X17_18","X18_19","X19_20","X20_21","X21_22","X22_23","m0","m10","m20","m25","m35","m55","f0","f10","f15","f20","f25","f30","f40","f55","f65","f70"
2,82,0,0,9,92.16,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1495.2857,1264.0739,963.2725,803.1393,1054.9323,1151.7484,1603.2407,1342.9616,1581.9638,1066.0133,986.3635,952.3847,1892.3922,1360.0073,666.4654,1541.5386
1,7,0,0,0,10.24,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,927.4559,478.7509,754.8606,814.0109,1093.608,868.5274,817.4868,434.5258,694.0929,875.3541,884.9363,869.4542,975.5958,1146.8825,610.5961,1266.3284
6,69,0,0,0,806.56,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,437.9801,183.3082,1194.5121,1370.3123,1002.7101,613.2582,474.8706,232.6609,512.5856,1423.1684,1184.311,930.8081,637.0871,608.4911,411.2333,953.0283
0,92,0,0.1,8,204.49,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1106.6777,517.7201,480.9161,559.434,681.4638,672.4905,962.9026,418.2587,485.0633,464.7864,666.2035,666.8153,652.657,751.2615,475.5964,1202.1396
0,69,0,0,0,171.61,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,453.469,189.7905,1911.1629,1563.942,1008.3964,642.0685,502.8034,246.3466,617.2708,2078.8451,1461.9313,1021.1254,722.3506,704.6595,394.2732,928.932
1,73,0,0,7,285.61,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,414.9322,145.9643,396.4672,508.2925,608.5892,584.2239,243.8715,96.0038,131.6198,409.9864,552.3123,587.7832,530.9448,605.1108,391.4883,872.0384
1,44,0,0,0,88.36,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061.6602,577.4288,709.9171,886.3745,1127.9839,1057.0913,1323.4157,691.7324,975.0553,860.6345,1171.0192,1018.6101,1113.8952,1095.9517,717.4353,1477.0242
1,48,0,0,6,187.69,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1797.2456,1519.3424,1006.003,856.0823,1127.9747,1357.3732,1997.4732,1673.1921,1759.952,1199.3347,984.126,983.681,2087.3434,1373.6306,713.7828,1547.7945
17,27,1,0,10,408.04,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1004.4178,518.4789,860.0347,954.8181,1189.056,910.7776,983.4212,522.7267,760.3064,865.1655,934.94,900.8048,1045.7356,1172.5123,630.6461,1456.1623
3,37,1,0,1,141.61,1,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1036.2832,563.6261,852.0795,1007.241,1151.1015,998.1228,990.9662,517.9651,650.3721,881.4294,1176.7913,1126.3027,1223.6974,1246.0177,715.9344,1706.424
